client_code,product_code,volume
K9732684,Z2458097163,33.0
K9732684,L9826047351,36.0
K9732684,K5307261498,43.0
K9732684,K3891052764,43.0
K9732684,N3915728064,95.0
K9732684,T5192740386,33.0
K9732684,R5934827061,74.0
K9732684,P2978130645,89.0
K9732684,M7342056891,93.0
K9732684,Q5806127349,85.0
K9732684,Y4782563190,59.0
K9732684,M5918473620,86.0
K9732684,P7935486210,94.0
K9732684,K1059483627,34.0
K9732684,C1948703625,55.0
K9732684,D3067845291,41.0
K9732684,P6734928105,34.0
K9732684,F7482031659,43.0
K9732684,W0529438761,61.0
K9732684,P1206384579,71.0
K9732684,V7153682094,99.0
K9732684,E4795016328,103.0
K9732684,B3751248906,34.0
K9732684,R8470295361,55.0
K9732684,D2431659870,104.0
K9732684,F2156973048,39.0
K9732684,W7192640835,38.0
K9732684,X8415032796,58.0
K9732684,H9360578421,41.0
K9732684,N4805179632,44.0
K9732684,O6145903728,90.0
K9732684,F2386791450,48.0
K9732684,S1543286097,87.0
K9732684,F7061398542,91.0
K9732684,M1796534802,66.0
K9732684,W8976041325,78.0
K9732684,V8027645913,39.0
K9732684,Y7390652148,49.0
K9732684,P1593240867,71.0
K9732684,X6041837529,93.0
K9732684,L7820653941,85.0
K9732684,R8132074569,42.0
K9732684,E8913527046,74.0
K9732684,U7902356481,31.0
K9732684,N2487936051,71.0
K9732684,Z8147925360,62.0
K9732684,G3482916570,44.0
T1378592,Z2458097163,99.0
T1378592,L9826047351,36.0
T1378592,K5307261498,66.0
T1378592,I4753169028,81.0
T1378592,K3891052764,44.0
T1378592,P2978130645,43.0
T1378592,L4756129083,98.0
T1378592,L6985132740,45.0
T1378592,F8746123905,44.0
T1378592,M7342056891,82.0
T1378592,R5934827061,31.0
T1378592,M5918473620,112.0
T1378592,K1059483627,49.0
T1378592,C1948703625,89.0
T1378592,F4318672905,67.0
T1378592,D3067845291,52.0
T1378592,D0768943521,77.0
T1378592,A9476032851,56.0
T1378592,P6734928105,111.0
T1378592,F7482031659,72.0
T1378592,W0529438761,35.0
T1378592,P1206384579,96.0
T1378592,R8470295361,81.0
T1378592,E4795016328,98.0
T1378592,X8415032796,75.0
T1378592,D2431659870,34.0
T1378592,I8319275046,45.0
T1378592,V7153682094,49.0
T1378592,B3751248906,48.0
T1378592,F5672408913,93.0
T1378592,R2094876351,74.0
T1378592,Y1928357406,43.0
T1378592,O6145903728,47.0
T1378592,F7061398542,45.0
T1378592,M9135208467,60.0
T1378592,S1543286097,45.0
T1378592,W8976041325,57.0
T1378592,P2370986541,89.0
T1378592,H0854392716,105.0
T1378592,F2386791450,93.0
T1378592,V8027645913,48.0
T1378592,Y7390652148,31.0
T1378592,C7208695314,49.0
T1378592,T4701689253,40.0
T1378592,P1593240867,94.0
T1378592,B8197632504,40.0
T1378592,A9281634750,30.0
T1378592,X6041837529,40.0
T1378592,L7820653941,38.0
T1378592,A1960842375,58.0
T1378592,R8132074569,83.0
T1378592,U0491253687,95.0
T1378592,K7968213054,64.0
T1378592,E8913527046,102.0
T1378592,Z5093268741,62.0
T1378592,N3915728064,38.0
T1378592,Z8147925360,77.0
T1378592,R1258976034,69.0
T1378592,G5924873601,76.0
T1378592,G3482916570,78.0
P1375486,Z2458097163,92.0
P1375486,L9826047351,45.0
P1375486,K3891052764,52.0
P1375486,P2978130645,92.0
P1375486,L4756129083,63.0
P1375486,M7342056891,115.0
P1375486,Z7025643819,48.0
