day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty
1,1277,M8769340,T4701689253,1,11.5,56.0
1,1277,M8769340,B3751248906,2,18.7,40.0
1,1277,M8769340,L6985132740,2,18.7,22.0
1,1277,M8769340,B3751248906,3,18.7,72.0
1,7612,W8264539,U0491253687,4,11.5,38.0
1,7612,W8264539,B3751248906,4,11.5,16.0
1,7612,W8264539,O6145903728,5,18.7,102.0
1,7612,W8264539,B3751248906,6,18.7,72.0
1,7612,W8264539,L4756129083,7,18.7,51.0
2,7612,W8264539,L4756129083,8,11.5,2.0
2,7612,W8264539,B3751248906,8,11.5,2.0
2,7612,W8264539,U0491253687,8,11.5,2.0
2,7612,W8264539,O6145903728,8,11.5,2.0
3,7612,W8264539,L4756129083,9,11.5,2.0
3,7612,W8264539,B3751248906,9,11.5,2.0
3,7612,W8264539,U0491253687,9,11.5,2.0
3,7612,W8264539,O6145903728,9,11.5,2.0
1,6879,W8264539,F2156973048,10,18.7,25.0
1,6879,W8264539,Z2458097163,10,18.7,24.0
1,6879,W8264539,B3751248906,10,18.7,14.0
1,6879,W8264539,O6145903728,10,18.7,7.0
1,6879,W8264539,N4805179632,11,18.7,27.0
1,6879,W8264539,N4805179632,12,18.7,72.0
1,6879,W8264539,Z2458097163,13,18.7,95.0
1,6879,W8264539,F2156973048,14,18.7,95.0
1,1277,H9853721,B8197632504,15,11.5,21.0
1,1277,H9853721,E8913527046,16,18.7,55.0
1,1277,H9853721,E8913527046,17,18.7,63.0
1,6879,X0965748,L4756129083,18,11.5,19.0
1,6879,X0965748,W0529438761,18,11.5,18.0
1,6879,X0965748,U5218094637,19,11.5,62.0
1,6879,X0965748,W8976041325,20,18.7,43.0
1,6879,X0965748,B3751248906,21,18.7,69.0
1,6879,X0965748,W8976041325,22,18.7,61.0
2,6879,X0965748,L4756129083,23,11.5,2.0
2,6879,X0965748,W8976041325,23,11.5,2.0
2,6879,X0965748,B3751248906,23,11.5,2.0
2,6879,X0965748,W0529438761,23,11.5,2.0
2,6879,X0965748,U5218094637,23,11.5,2.0
3,6879,X0965748,L4756129083,24,11.5,2.0
3,6879,X0965748,W8976041325,24,11.5,2.0
3,6879,X0965748,B3751248906,24,11.5,2.0
3,6879,X0965748,W0529438761,24,11.5,2.0
3,6879,X0965748,U5218094637,24,11.5,2.0
1,1494,X0965748,F2386791450,25,18.7,24.0
1,1494,X0965748,S1543286097,25,18.7,12.0
1,1494,X0965748,B3751248906,26,11.5,29.0
1,1494,X0965748,C1948703625,27,18.7,40.0
1,1494,X0965748,R1258976034,27,18.7,33.0
1,1494,X0965748,F2386791450,28,18.7,84.0
1,1494,X0965748,C1948703625,29,18.7,66.0
1,6879,V4387521,E8913527046,30,18.7,23.0
1,6879,V4387521,E8913527046,31,18.7,63.0
2,6879,V4387521,E8913527046,32,11.5,2.0
3,6879,V4387521,E8913527046,33,11.5,2.0
1,1494,V4387521,E8913527046,34,11.5,24.0
1,7612,A4163509,E4795016328,35,11.5,23.0
1,7612,A4163509,K1059483627,35,11.5,39.0
1,7612,A4163509,E8913527046,35,11.5,5.0
1,7612,A4163509,E8913527046,36,18.7,63.0
2,7612,A4163509,E8913527046,37,11.5,2.0
3,7612,A4163509,E8913527046,38,11.5,2.0
1,1494,A4163509,S1543286097,39,18.7,22.0
1,1494,A4163509,A9281634750,39,18.7,12.0
1,1494,A4163509,K1059483627,40,11.5,60.0
1,1494,A4163509,E8913527046,41,11.5,41.0
1,1494,A4163509,A9281634750,42,18.7,61.0
1,1494,A4163509,S1543286097,43,18.7,90.0
1,1494,R7389540,P7935486210,44,18.7,37.0
1,1494,R7389540,T5192740386,44,18.7,31.0
1,1494,R7389540,Z5093268741,45,18.7,39.0
1,1494,R7389540,Z8147925360,45,18.7,45.0
1,1494,R7389540,B3751248906,46,11.5,39.0
1,1494,R7389540,P1593240867,47,18.7,49.0
1,1494,R7389540,P1593240867,48,18.7,66.0
1,1494,R7389540,Z5093268741,49,18.7,76.0
1,1494,R7389540,P7935486210,50,18.7,80.0
2,1494,R7389540,B3751248906,51,11.5,2.0
2,1494,R7389540,Z8147925360,51,11.5,2.0
2,1494,R7389540,F2386791450,51,11.5,1.0
3,1494,R7389540,B3751248906,52,11.5,2.0
3,1494,R7389540,F2386791450,52,11.5,2.0
3,1494,R7389540,Z8147925360,52,11.5,2.0
1,1277,R7389540,L4756129083,53,18.7,9.0
1,1277,R7389540,K5307261498,53,18.7,18.0
1,1277,R7389540,B3751248906,53,18.7,11.0
1,1277,R7389540,M7342056891,54,11.5,25.0
1,1277,R7389540,L4756129083,55,18.7,51.0
1,1277,R7389540,L4756129083,56,18.7,51.0
2,1277,R7389540,M7342056891,57,11.5,2.0
2,1277,R7389540,B3751248906,57,11.5,2.0
2,1277,R7389540,K5307261498,57,11.5,2.0
3,1277,R7389540,M7342056891,58,11.5,2.0
3,1277,R7389540,B3751248906,58,11.5,2.0
3,1277,R7389540,K5307261498,58,11.5,2.0
1,1277,H2801375,Y1928357406,59,11.5,22.0
1,1277,H2801375,E8913527046,59,11.5,17.0
1,1277,H2801375,X8415032796,59,11.5,2.0
1,1277,H2801375,R8132074569,60,18.7,55.0
1,1277,H2801375,W8976041325,61,18.7,57.0
1,1277,H2801375,X8415032796,62,18.7,56.0
1,1277,H2801375,R8132074569,63,18.7,61.0
1,1277,H2801375,W8976041325,64,18.7,61.0
2,1277,H2801375,X8415032796,65,11.5,2.0
2,1277,H2801375,Y1928357406,65,11.5,2.0
2,1277,H2801375,E8913527046,65,11.5,2.0
3,1277,H2801375,X8415032796,66,11.5,2.0
3,1277,H2801375,Y1928357406,66,11.5,2.0
3,1277,H2801375,E8913527046,66,11.5,2.0
1,1494,H2801375,O6145903728,67,18.7,119.0
1,1494,H2801375,E8913527046,67,18.7,5.0
2,1494,H2801375,Y1928357406,68,11.5,2.0
2,1494,H2801375,E8913527046,68,11.5,2.0
3,1494,H2801375,Y1928357406,69,11.5,2.0
3,1494,H2801375,E8913527046,69,11.5,2.0
1,1277,S1240795,A7493106852,70,18.7,40.0
1,1277,S1240795,O7834601952,70,18.7,12.0
1,1277,S1240795,P2978130645,71,18.7,116.0
1,1277,S1240795,A7493106852,72,18.7,80.0
1,1277,S1240795,O7834601952,73,18.7,95.0
1,7612,Y1957436,Y7390652148,74,18.7,26.0
1,7612,Y1957436,G5924873601,74,18.7,20.0
1,7612,Y1957436,P6734928105,74,18.7,18.0
