day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty
1,7387,L6850419,T0735648192,1,13.7,79.0
1,7387,L6850419,T0735648192,2,12.0,40.0
1,7387,S5327849,P3182609457,3,13.7,74.0
1,7387,U4395120,F5902368471,4,13.7,47.0
1,7387,U4395120,F5902368471,5,13.7,47.0
1,7387,U4395120,F5902368471,6,12.0,25.0
1,7387,N6275831,P1902685374,7,13.7,55.0
1,7387,N6275831,P1902685374,8,13.7,55.0
1,7387,N6275831,P1902685374,9,13.7,9.0
1,7387,J4390712,A0718634295,10,13.7,66.0
1,7387,L8361920,A0718634295,11,12.0,53.0
1,7387,F0289637,C7952643018,12,13.7,60.0
1,7387,F0289637,C7952643018,13,13.7,59.0
1,9011,J2897560,S1693827405,14,13.7,60.0
1,9011,J2897560,S1693827405,15,13.7,59.0
1,7387,T5492701,I0784921536,16,13.7,66.0
1,7387,T5492701,I0784921536,17,12.0,53.0
1,7387,M9875134,O4817325069,18,13.7,14.0
1,9011,R5903167,M9863174502,19,13.7,60.0
1,9011,R5903167,M9863174502,20,13.7,58.0
1,7387,I2946310,I0784921536,21,13.7,66.0
1,7387,I2946310,I0784921536,22,12.0,52.0
1,9011,P7248159,X8263071945,23,13.7,48.0
1,9011,P7248159,X8263071945,24,12.0,22.0
1,7387,S4362851,A0718634295,25,13.7,66.0
1,9011,N7302894,Q1584260793,26,12.0,44.0
1,7387,H9631520,B7328094651,27,13.7,84.0
1,7387,H9631520,B7328094651,28,13.7,34.0
1,7387,W8136457,M1085729643,29,13.7,74.0
1,7387,W8136457,M1085729643,30,12.0,43.0
1,7387,H9037856,R2897163450,31,13.7,97.0
1,7387,H9037856,R2897163450,32,13.7,20.0
1,7387,N1653290,I0784921536,33,12.0,45.0
1,9011,N1653290,I0784921536,34,13.7,66.0
1,9011,N1653290,I0784921536,35,13.7,6.0
1,7387,W4681230,F9473816250,36,13.7,47.0
1,7387,W4681230,F9473816250,37,13.7,47.0
1,7387,W4681230,F9473816250,38,12.0,23.0
1,9011,L8361920,I9864071253,39,13.7,115.0
1,7387,S4362851,F5902368471,40,13.7,47.0
1,7387,S4362851,F5902368471,41,13.7,47.0
1,7387,S4362851,F5902368471,42,12.0,23.0
1,7387,R8653109,A0718634295,43,12.0,51.0
1,7387,T5310694,D9067235184,44,13.7,79.0
1,7387,T5310694,D9067235184,45,12.0,38.0
1,9011,S7863142,I9864071253,46,13.7,115.0
1,9011,S7863142,I9864071253,47,13.7,2.0
1,7387,T5492701,B7328094651,48,13.7,84.0
1,7387,M9875134,Q4203791658,49,13.7,79.0
1,7387,M9875134,Q4203791658,50,12.0,38.0
1,7387,U2497630,J8140357926,51,13.7,52.0
1,7387,U2497630,J8140357926,52,13.7,12.0
1,7387,R5903167,C7952643018,53,13.7,60.0
1,7387,R5903167,C7952643018,54,13.7,56.0
1,7387,W8136457,F5902368471,55,13.7,47.0
1,7387,W8136457,F5902368471,56,13.7,47.0
1,7387,W8136457,F5902368471,57,12.0,22.0
1,7387,Q6234950,O4817325069,58,13.7,105.0
1,7387,B2369184,X3915207468,59,13.7,26.0
1,7387,W1326785,B8397205416,60,13.7,43.0
1,7387,W1326785,B8397205416,61,12.0,30.0
1,7387,A2194870,N6372418509,62,13.7,60.0
1,7387,A2194870,N6372418509,63,13.7,56.0
1,7387,P7918623,B8397205416,64,13.7,43.0
1,7387,P7918623,B8397205416,65,12.0,30.0
1,7387,N7302894,F9473816250,66,13.7,47.0
1,7387,N7302894,F9473816250,67,13.7,47.0
1,7387,N7302894,F9473816250,68,12.0,22.0
1,7387,T5492701,C7952643018,69,13.7,60.0
1,7387,T5492701,C7952643018,70,13.7,56.0
1,7387,L0192567,R2897163450,71,13.7,97.0
1,7387,L0192567,R2897163450,72,13.7,19.0
1,7387,H6298354,J8140357926,73,13.7,52.0
1,7387,U4395120,Q4203791658,74,13.7,79.0
1,9011,Q6234950,I9864071253,75,13.7,115.0
1,7387,N6275831,M1085729643,76,13.7,74.0
1,7387,N7265043,P1902685374,77,13.7,55.0
1,7387,N7265043,P1902685374,78,13.7,55.0
1,7387,I2946310,M1085729643,79,12.0,41.0
1,7387,P7248159,C2061843975,80,13.7,47.0
1,7387,P7248159,C2061843975,81,12.0,21.0
1,7387,W4681230,A0718634295,82,13.7,66.0
1,7387,W4681230,A0718634295,83,12.0,49.0
1,7387,A2194870,X3915207468,84,13.7,90.0
1,9011,A2194870,M9863174502,85,13.7,60.0
1,9011,A2194870,M9863174502,86,13.7,55.0
1,7387,J2897560,L6309152478,87,13.7,57.0
1,7387,J2897560,L6309152478,88,13.7,1.0
1,9011,U4395120,Q1584260793,89,13.7,74.0
1,9011,H2958304,R7413659208,90,13.7,114.0
1,7387,S7863142,F5902368471,91,13.7,47.0
1,7387,S7863142,F5902368471,92,13.7,47.0
1,7387,Q6170395,B7328094651,93,13.7,84.0
1,7387,Q6170395,B7328094651,94,13.7,29.0
1,7387,Q6234950,B7328094651,95,13.7,84.0
1,7387,Q6234950,B7328094651,96,13.7,29.0
1,7387,N6275831,W9682145730,97,12.0,38.0
1,7387,I2946310,C2061843975,98,13.7,47.0
1,7387,I2946310,C2061843975,99,13.7,19.0
1,7387,S7863142,M1085729643,100,13.7,74.0
1,7387,S7863142,M1085729643,101,12.0,39.0
1,7387,L6850419,M5910723486,102,13.7,50.0
1,7387,L6850419,M5910723486,103,13.7,50.0
1,7387,L6850419,M5910723486,104,13.7,12.0
1,7387,S5327849,F9473816250,105,13.7,44.0
1,7387,U3207651,K9102658734,106,13.7,57.0
1,7387,U3207651,K9102658734,107,13.7,55.0
1,9011,C2037149,X8263071945,108,13.7,48.0
1,9011,C2037149,X8263071945,109,13.7,16.0
1,7387,Z4319627,W9682145730,110,12.0,33.0
1,7387,N7265043,T0735648192,111,13.7,79.0
1,9011,F6021475,X8263071945,112,13.7,48.0
1,9011,F6021475,X8263071945,113,13.7,16.0
1,7387,F6021475,O4817325069,114,13.7,105.0
1,7387,F6021475,O4817325069,115,13.7,7.0
1,9011,H6298354,I9864071253,116,13.7,111.0
