day,plant_code,client_code,vehicle_id,vehicle_type,qty,carry_standard_size,min_standard_size,occupied_size
1,7387,A2194870,62,13.7,60.0,127,72,126.0
1,7387,A2194870,63,13.7,56.0,127,72,117.60000000000001
1,7387,A2194870,84,13.7,90.0,127,72,125.99999999999999
1,7387,A2194870,130,13.7,47.0,127,72,126.9
1,7387,A2194870,131,13.7,47.0,127,72,126.9
1,7387,A2194870,132,13.7,17.0,127,72,45.900000000000006
1,7387,A2194870,207,13.7,22.0,127,72,33.0
1,7387,A2194870,220,13.7,79.0,127,72,126.4
1,7387,B2369184,59,13.7,26.0,127,72,36.4
1,7387,B2369184,124,13.7,79.0,127,72,126.4
1,7387,B2369184,142,13.7,60.0,127,72,126.0
1,7387,B2369184,143,13.7,50.0,127,72,105.0
1,7387,B2369184,160,13.7,60.0,127,72,126.0
1,7387,B2369184,161,13.7,49.0,127,72,102.9
1,7387,B2369184,212,13.7,105.0,127,72,126.0
1,7387,B2369184,249,12.0,40.0,101,52,64.0
1,7387,B2369184,311,13.7,66.0,127,72,125.39999999999999
1,7387,B2369184,312,12.0,31.0,101,52,58.9
1,7387,B2369184,425,13.7,45.0,127,72,125.99999999999999
1,7387,B2369184,426,13.7,42.0,127,72,117.6
1,7387,B2369184,447,13.7,57.0,127,72,125.4
1,7387,B2369184,448,12.0,28.0,101,52,61.60000000000001
1,7387,B2369184,2102,12.0,41.0,101,52,90.2
1,7387,C5408327,1706,12.0,22.0,101,52,35.2
1,7387,F0289637,12,13.7,60.0,127,72,126.0
1,7387,F0289637,13,13.7,59.0,127,72,123.9
1,7387,F0289637,449,13.7,45.0,127,72,125.99999999999999
1,7387,F0289637,576,12.0,25.0,101,52,55.00000000000001
1,7387,F0289637,637,13.7,9.0,127,72,11.700000000000001
1,7387,F0289637,2149,12.0,33.0,101,52,52.800000000000004
1,7387,F6021475,114,13.7,105.0,127,72,126.0
1,7387,F6021475,115,13.7,7.0,127,72,8.4
1,7387,F6021475,208,13.7,55.0,127,72,126.49999999999999
1,7387,G4017562,297,13.7,50.0,127,72,125.0
1,7387,G4017562,298,13.7,48.0,127,72,120.0
1,7387,G4017562,352,12.0,33.0,101,52,69.3
1,7387,H2958304,162,13.7,47.0,127,72,126.9
1,7387,H2958304,163,13.7,47.0,127,72,126.9
1,7387,H2958304,205,13.7,45.0,127,72,125.99999999999999
1,7387,H2958304,206,13.7,16.0,127,72,44.8
1,7387,H2958304,313,13.7,57.0,127,72,125.4
1,7387,H2958304,314,12.0,40.0,101,52,88.0
1,7387,H2958304,327,13.7,95.0,127,72,114.0
1,7387,H6298354,73,13.7,52.0,127,72,124.8
1,7387,H6298354,169,13.7,11.0,127,72,14.3
1,7387,H6298354,346,13.7,84.0,127,72,126.0
1,7387,H6298354,347,13.7,9.0,127,72,13.5
1,7387,H6298354,348,13.7,55.0,127,72,126.49999999999999
1,7387,H6298354,349,12.0,38.0,101,52,87.39999999999999
1,7387,H6298354,362,12.0,32.0,101,52,67.2
1,7387,H6298354,2169,12.0,30.0,101,52,84.0
1,7387,H9037856,31,13.7,97.0,127,72,126.10000000000001
1,7387,H9037856,32,13.7,20.0,127,72,26.0
1,7387,H9037856,379,13.7,20.0,127,72,34.0
1,7387,H9037856,433,13.7,50.0,127,72,125.0
1,7387,H9037856,625,13.7,63.0,127,72,126.0
1,7387,H9037856,626,13.7,3.0,127,72,6.0
1,7387,H9631520,27,13.7,84.0,127,72,126.0
1,7387,H9631520,28,13.7,34.0,127,72,51.0
1,7387,I2946310,21,13.7,66.0,127,72,125.39999999999999
1,7387,I2946310,22,12.0,52.0,101,52,98.8
1,7387,I2946310,79,12.0,41.0,101,52,69.7
1,7387,I2946310,98,13.7,47.0,127,72,126.9
1,7387,I2946310,99,13.7,19.0,127,72,51.300000000000004
1,7387,I5078461,170,13.7,43.0,127,72,124.7
1,7387,I5078461,171,13.7,43.0,127,72,124.7
1,7387,I5078461,172,12.0,22.0,101,52,63.8
1,7387,J2897560,87,13.7,57.0,127,72,125.4
1,7387,J2897560,88,13.7,1.0,127,72,2.2
1,7387,J2897560,164,13.7,43.0,127,72,124.7
1,7387,J2897560,165,13.7,43.0,127,72,124.7
1,7387,J2897560,288,13.7,57.0,127,72,125.4
1,7387,J2897560,289,12.0,42.0,101,52,92.4
1,7387,J2897560,370,13.7,74.0,127,72,125.8
1,7387,J2897560,371,13.7,18.0,127,72,30.599999999999998
1,7387,J4390712,10,13.7,66.0,127,72,125.39999999999999
1,7387,J4390712,209,12.0,31.0,101,52,52.699999999999996
1,7387,J4390712,227,13.7,79.0,127,72,126.4
1,7387,J4390712,228,13.7,24.0,127,72,38.400000000000006
1,7387,J4390712,245,13.7,84.0,127,72,126.0
1,7387,J4390712,246,13.7,18.0,127,72,27.0
1,7387,J4390712,265,13.7,79.0,127,72,126.4
1,7387,J4390712,266,13.7,21.0,127,72,33.6
1,7387,J4390712,337,13.7,94.0,127,72,122.2
1,7387,J4390712,482,12.0,35.0,101,52,56.0
1,7387,J4390712,573,13.7,50.0,127,72,125.0
1,7387,K5327649,441,12.0,44.0,101,52,52.8
1,7387,L0192567,71,13.7,97.0,127,72,126.10000000000001
1,7387,L0192567,72,13.7,19.0,127,72,24.7
1,7387,L0192567,360,13.7,57.0,127,72,125.4
1,7387,L0192567,500,13.7,57.0,127,72,125.4
1,7387,L0192567,501,12.0,24.0,101,52,52.800000000000004
1,7387,L6850419,1,13.7,79.0,127,72,126.4
1,7387,L6850419,2,12.0,40.0,101,52,64.0
1,7387,L6850419,102,13.7,50.0,127,72,125.0
1,7387,L6850419,103,13.7,50.0,127,72,125.0
