client_code,product_code,volume
J5380941,M7415628390,46.0
Y5863019,M7415628390,31.0
Y5863019,B0981356427,9.0
Y5863019,U8459076231,18.0
Y5863019,N0278364915,69.0
Y5863019,L1376042958,80.0
Y5863019,F2014698375,33.0
T2503984,H5308674291,36.0
T2503984,B0981356427,49.0
T2503984,L1376042958,3.0
T2503984,F2014698375,72.0
T2503984,D1632409578,17.0
T2503984,L6841739250,53.0
C4703619,H5308674291,69.0
C4703619,V7543926018,43.0
C4703619,B0981356427,112.0
C4703619,L1376042958,56.0
C4703619,F2014698375,36.0
C4703619,D1632409578,93.0
C4703619,L6841739250,90.0
U8103459,M8210594763,10.0
U8103459,H5308674291,46.0
S4920685,H5308674291,68.0
S4920685,B0981356427,82.0
S4920685,V7543926018,84.0
S4920685,U8459076231,66.0
S4920685,L1376042958,95.0
S4920685,F2014698375,97.0
S4920685,M8210594763,55.0
S4920685,L6841739250,85.0
S4920685,X4326705189,29.0
K5047826,B0981356427,89.0
K5047826,G1230578496,110.0
K5047826,P8594031627,8.0
K5047826,N0278364915,88.0
A8907514,M7415628390,41.0
A8907514,V7543926018,66.0
A8907514,B0981356427,45.0
A8907514,L1376042958,76.0
A8907514,G1230578496,41.0
Q3790128,B0981356427,46.0
Q3790128,N0278364915,51.0
Q3790128,U8459076231,42.0
Q3790128,L1376042958,92.0
Q3790128,F2014698375,59.0
Q3790128,L6841739250,80.0
Q3790128,X4326705189,58.0
Q3790128,G1230578496,60.0
U4280179,M7415628390,45.0
U4280179,H5308674291,110.0
U4280179,B0981356427,94.0
U4280179,V7543926018,117.0
U4280179,U8459076231,50.0
U4280179,N0278364915,60.0
U4280179,L1376042958,82.0
U4280179,F2014698375,23.0
U4280179,D1632409578,98.0
U4280179,L6841739250,66.0
U4280179,X4326705189,85.0
U4280179,G1230578496,66.0
U4280179,P8594031627,55.0
R9032817,M7415628390,8.0
R9032817,H5308674291,67.0
R9032817,N0278364915,41.0
R9032817,L6841739250,47.0
R9032817,X4326705189,43.0
R9032817,G1230578496,117.0
R9032817,P8594031627,61.0
B4592371,M7415628390,111.0
B4592371,H5308674291,50.0
B4592371,U8459076231,112.0
B4592371,N0278364915,94.0
B4592371,L1376042958,33.0
B4592371,F2014698375,31.0
B4592371,X4326705189,40.0
B4592371,G1230578496,119.0
Y7391654,M7415628390,32.0
Y7391654,H5308674291,61.0
Y7391654,V7543926018,79.0
Y7391654,B0981356427,82.0
Y7391654,U8459076231,20.0
Y7391654,N0278364915,112.0
Y7391654,L1376042958,32.0
Y7391654,L6841739250,53.0
Y7391654,M8210594763,88.0
Y7391654,X4326705189,3.0
Y7391654,G1230578496,108.0
Y7391654,P8594031627,67.0
L5348621,M7415628390,46.0
L5348621,H5308674291,88.0
L5348621,B0981356427,64.0
L5348621,M8210594763,95.0
B1379542,D1632409578,81.0
B1379542,H5308674291,70.0
A9085374,M7415628390,46.0
A9085374,H5308674291,78.0
A9085374,B0981356427,11.0
A9085374,U8459076231,65.0
A9085374,N0278364915,49.0
A9085374,L1376042958,9.0
A9085374,F2014698375,61.0
A9085374,L6841739250,87.0
A9085374,M8210594763,103.0
A9085374,P8594031627,67.0
O3764592,H5308674291,34.0
O3764592,V7543926018,44.0
O3764592,N0278364915,69.0
O3764592,L1376042958,80.0
O3764592,D1632409578,13.0
O3764592,L6841739250,49.0
O3764592,P8594031627,57.0
U9084361,H5308674291,33.0
U9084361,F2014698375,47.0
U9084361,L6841739250,46.0
U9084361,D1632409578,31.0
U9084361,X4326705189,89.0
L5703941,B0981356427,110.0
D4162508,M7415628390,36.0
D4162508,H5308674291,67.0
D4162508,B0981356427,87.0
D4162508,V7543926018,78.0
D4162508,N0278364915,37.0
D4162508,U8459076231,76.0
D4162508,F2014698375,65.0
D4162508,L6841739250,68.0
D4162508,D1632409578,42.0
D4162508,X4326705189,78.0
D4162508,G1230578496,81.0
D4162508,P8594031627,83.0
D1386974,H5308674291,46.0
D1386974,U8459076231,35.0
D1386974,F2014698375,60.0
D1386974,M8210594763,113.0
D1386974,L6841739250,53.0
D1386974,X4326705189,103.0
A1235894,L6841739250,71.0
A1235894,L1376042958,37.0
A1235894,U8459076231,64.0
A1235894,F2014698375,46.0
T7653841,M7415628390,41.0
T7653841,H5308674291,18.0
T7653841,V7543926018,4.0
T7653841,N0278364915,64.0
T7653841,L1376042958,91.0
T7653841,F2014698375,32.0
T7653841,L6841739250,71.0
T7653841,D1632409578,67.0
T7653841,M8210594763,45.0
T7653841,X4326705189,32.0
T7653841,P8594031627,106.0
X1403672,M7415628390,62.0
X1403672,H5308674291,104.0
X1403672,U8459076231,72.0
X1403672,D1632409578,47.0
X1403672,G1230578496,51.0
X1403672,P8594031627,76.0
V5801793,M7415628390,34.0
V5801793,B0981356427,51.0
V5801793,V7543926018,59.0
V5801793,U8459076231,120.0
V5801793,L1376042958,32.0
V5801793,F2014698375,37.0
V5801793,L6841739250,54.0
V5801793,M8210594763,85.0
V5801793,X4326705189,69.0
V5801793,G1230578496,62.0
P4386502,M7415628390,83.0
P4386502,V7543926018,59.0
P4386502,N0278364915,39.0
P4386502,U8459076231,90.0
P4386502,L1376042958,119.0
P4386502,F2014698375,32.0
P4386502,M8210594763,85.0
P4386502,P8594031627,75.0
