day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty,standard_size,carry_standard_size,min_standard_size,occupied_size
3,2701,K1940732,Q7503419862,1,14.7,59.0,1.7,101,63,100.3
3,8730,U2538471,H6130748259,2,14.7,50.0,2.0,101,63,100.0
2,8730,M7301296,U4568032791,3,14.7,59.0,1.7,101,63,100.3
2,8730,M7301296,U4568032791,4,14.7,56.0,1.7,101,63,95.2
2,8730,U2538471,I0384926517,5,14.7,50.0,2.0,101,63,100.0
3,8730,I9418326,I0384926517,6,14.7,50.0,2.0,101,63,100.0
2,8730,U2538471,C8706394521,7,14.7,36.0,2.8,101,63,100.8
2,8730,F5417283,V5107386492,8,14.7,40.0,2.5,101,63,100.0
2,8730,L0532184,G5984360217,9,14.7,50.0,2.0,101,63,100.0
2,8730,L0532184,G5984360217,10,14.7,50.0,2.0,101,63,100.0
3,8730,O6724089,U4568032791,11,14.7,59.0,1.7,101,63,100.3
2,8730,H9512347,W6079514382,12,14.7,72.0,1.4,101,63,100.8
3,8730,U3145862,B1053849726,13,14.7,56.0,1.8,101,63,100.8
2,8730,I9825176,C8706394521,14,14.7,36.0,2.8,101,63,100.8
2,8730,I9825176,C8706394521,15,14.7,36.0,2.8,101,63,100.8
2,8730,F5417283,I0384926517,16,14.7,50.0,2.0,101,63,100.0
2,8730,U2538471,U4568032791,17,14.7,59.0,1.7,101,63,100.3
2,8730,U2538471,U4568032791,18,14.7,25.0,1.7,101,63,42.5
2,8730,I9825176,I0384926517,19,14.7,50.0,2.0,101,63,100.0
3,8730,F5417283,W6973801254,20,14.7,33.0,3.0,101,63,99.0
3,8730,U7185062,H6130748259,21,14.7,50.0,2.0,101,63,100.0
2,8730,L0532184,W6079514382,22,14.7,3.0,1.4,101,63,4.199999999999999
3,8730,H9512347,U4568032791,23,14.7,59.0,1.7,101,63,100.3
2,8730,N3871542,G5984360217,24,4.1,19.0,2.0,41,25,38.0
3,8730,M7301296,H4839201756,25,14.7,34.0,2.9,101,63,98.6
2,8730,F5417283,B1053849726,26,14.7,56.0,1.8,101,63,100.8
2,8730,P2167850,G5984360217,27,4.1,16.0,2.0,41,25,32.0
3,8730,D4035967,M8235014976,28,14.7,45.0,2.2,101,63,99.00000000000001
3,8730,M7301296,B1053849726,29,14.7,56.0,1.8,101,63,100.8
2,8730,I9418326,B1053849726,30,14.7,5.0,1.8,101,63,9.0
3,8730,U2538471,M7482510639,31,14.7,58.0,1.7,101,63,98.6
2,8730,M7301296,I0384926517,32,14.7,50.0,2.0,101,63,100.0
2,8730,M7301296,I0384926517,33,14.7,8.0,2.0,101,63,16.0
2,8730,K1940732,U4568032791,34,14.7,58.0,1.7,101,63,98.6
3,8730,I9418326,G5984360217,35,14.7,50.0,2.0,101,63,100.0
