client_code,product_code,day,volume
Y2804796,F4375629018,1,0.0
Y2804796,R6170243958,1,0.0
Y2804796,G6207958143,1,0.0
Y2804796,L3594781260,1,-0.0
Y2804796,K5783604291,1,0.0
Y2804796,N7915368420,1,0.0
Y2804796,A8934152706,1,0.0
Y2804796,L2861547093,1,0.0
Y2804796,R0516428793,1,0.0
Y2804796,V3150286947,1,0.0
Y2804796,C3649578102,1,0.0
Y2804796,P2957403168,1,-0.0
Y2804796,F5609481273,1,-0.0
Y2804796,O8769531402,1,0.0
Y2804796,O3091854267,1,-0.0
Y2804796,G7610583942,1,0.0
Y2804796,O8675091243,1,-0.0
U7805436,R6170243958,1,0.0
U7805436,K5783604291,1,0.0
U7805436,A8934152706,1,0.0
U7805436,R0516428793,1,0.0
U7805436,V3150286947,1,0.0
U7805436,P2957403168,1,-0.0
U7805436,O3091854267,1,0.0
U7805436,F5609481273,1,-0.0
U7805436,G7610583942,1,0.0
U7805436,L2861547093,1,0.0
I2130495,F4375629018,1,0.0
I2130495,R6170243958,1,0.0
I2130495,G6207958143,1,-0.0
I2130495,N7915368420,1,0.0
I2130495,K5783604291,1,0.0
I2130495,A8934152706,1,0.0
I2130495,L3594781260,1,-0.0
I2130495,C2814970536,1,-0.0
I2130495,R0516428793,1,0.0
I2130495,P2957403168,1,0.0
I2130495,C3649578102,1,-0.0
I2130495,O3091854267,1,-0.0
I2130495,F5609481273,1,0.0
I2130495,O8769531402,1,-0.0
I2130495,G7610583942,1,-0.0
I2130495,L2861547093,1,-0.0
I2130495,O8675091243,1,-0.0
G7958162,F4375629018,1,0.0
G7958162,R6170243958,1,0.0
G7958162,G6207958143,1,0.0
G7958162,N7915368420,1,0.0
G7958162,L3594781260,1,0.0
G7958162,K5783604291,1,-0.0
G7958162,A8934152706,1,-0.0
G7958162,C2814970536,1,-0.0
G7958162,R0516428793,1,-0.0
G7958162,V3150286947,1,-0.0
G7958162,C3649578102,1,0.0
G7958162,P2957403168,1,0.0
G7958162,G7610583942,1,-0.0
G7958162,F5609481273,1,0.0
G7958162,O8769531402,1,0.0
G7958162,O3091854267,1,0.0
G7958162,L2861547093,1,-0.0
G7958162,O8675091243,1,0.0
I4632107,F4375629018,1,0.0
I4632107,R6170243958,1,0.0
I4632107,A8934152706,1,0.0
I4632107,R0516428793,1,0.0
I4632107,V3150286947,1,0.0
I4632107,C3649578102,1,-0.0
I4632107,P2957403168,1,0.0
I4632107,O3091854267,1,0.0
I4632107,F5609481273,1,-0.0
I4632107,O8769531402,1,0.0
I4632107,G7610583942,1,0.0
I4632107,L2861547093,1,-0.0
E0694135,F4375629018,1,0.0
E0694135,R6170243958,1,0.0
E0694135,N7915368420,1,0.0
E0694135,K5783604291,1,0.0
E0694135,A8934152706,1,0.0
E0694135,L2861547093,1,0.0
E0694135,R0516428793,1,-0.0
E0694135,V3150286947,1,0.0
E0694135,C3649578102,1,-0.0
E0694135,P2957403168,1,0.0
E0694135,F5609481273,1,-0.0
E0694135,O8769531402,1,0.0
E0694135,O3091854267,1,0.0
E0694135,G7610583942,1,-0.0
E0694135,O8675091243,1,0.0
F5308417,R6170243958,1,0.0
F5308417,L3594781260,1,0.0
F5308417,A8934152706,1,-0.0
F5308417,R0516428793,1,0.0
F5308417,P2957403168,1,-0.0
F5308417,C3649578102,1,-0.0
F5308417,V3150286947,1,0.0
F5308417,O3091854267,1,-0.0
F5308417,F5609481273,1,-0.0
F5308417,O8769531402,1,-0.0
F5308417,G7610583942,1,0.0
F5308417,L2861547093,1,0.0
F5308417,O8675091243,1,0.0
U0582436,F4375629018,1,0.0
U0582436,R6170243958,1,0.0
U0582436,G6207958143,1,0.0
U0582436,N7915368420,1,-0.0
U0582436,K5783604291,1,0.0
U0582436,C2814970536,1,-0.0
U0582436,A8934152706,1,-0.0
U0582436,R0516428793,1,-0.0
U0582436,P2957403168,1,-0.0
U0582436,V3150286947,1,0.0
U0582436,C3649578102,1,-0.0
U0582436,G7610583942,1,0.0
U0582436,F5609481273,1,0.0
U0582436,O8769531402,1,0.0
U0582436,O3091854267,1,-0.0
U0582436,L2861547093,1,-0.0
U0582436,O8675091243,1,0.0
R8360572,F4375629018,1,0.0
R8360572,R6170243958,1,0.0
R8360572,G6207958143,1,0.0
R8360572,N7915368420,1,0.0
R8360572,L3594781260,1,0.0
R8360572,K5783604291,1,-0.0
R8360572,A8934152706,1,0.0
R8360572,C2814970536,1,0.0
R8360572,L2861547093,1,-0.0
R8360572,P2957403168,1,0.0
R8360572,C3649578102,1,-0.0
R8360572,V3150286947,1,0.0
R8360572,F5609481273,1,0.0
R8360572,O8769531402,1,-0.0
R8360572,O3091854267,1,-0.0
R8360572,G7610583942,1,0.0
R8360572,O8675091243,1,-0.0
L5408927,F4375629018,1,0.0
L5408927,R6170243958,1,0.0
L5408927,G6207958143,1,0.0
L5408927,L3594781260,1,-0.0
L5408927,N7915368420,1,-0.0
L5408927,A8934152706,1,0.0
L5408927,C2814970536,1,-0.0
L5408927,K5783604291,1,-0.0
L5408927,R0516428793,1,-0.0
L5408927,V3150286947,1,0.0
L5408927,C3649578102,1,-0.0
L5408927,P2957403168,1,-0.0
L5408927,O3091854267,1,-0.0
L5408927,F5609481273,1,0.0
L5408927,O8769531402,1,-0.0
L5408927,G7610583942,1,-0.0
L5408927,L2861547093,1,-0.0
L5408927,O8675091243,1,0.0
E9462857,F4375629018,1,0.0
E9462857,R6170243958,1,0.0
E9462857,G6207958143,1,-0.0
E9462857,N7915368420,1,-0.0
E9462857,K5783604291,1,0.0
E9462857,C2814970536,1,0.0
E9462857,A8934152706,1,-0.0
E9462857,L3594781260,1,0.0
E9462857,R0516428793,1,-0.0
E9462857,P2957403168,1,0.0
E9462857,V3150286947,1,-0.0
E9462857,C3649578102,1,-0.0
E9462857,G7610583942,1,-0.0
E9462857,F5609481273,1,-0.0
E9462857,O8769531402,1,0.0
E9462857,O3091854267,1,0.0
E9462857,L2861547093,1,-0.0
E9462857,O8675091243,1,0.0
C6480537,R6170243958,1,0.0
C6480537,G6207958143,1,-0.0
C6480537,N7915368420,1,0.0
C6480537,K5783604291,1,-0.0
C6480537,L3594781260,1,-0.0
C6480537,C2814970536,1,-0.0
C6480537,A8934152706,1,0.0
C6480537,L2861547093,1,0.0
C6480537,R0516428793,1,-0.0
C6480537,V3150286947,1,-0.0
C6480537,C3649578102,1,0.0
C6480537,O8769531402,1,0.0
C6480537,O3091854267,1,0.0
C6480537,G7610583942,1,-0.0
C6480537,O8675091243,1,-0.0
L1286705,F4375629018,1,0.0
L1286705,R6170243958,1,0.0
L1286705,G6207958143,1,0.0
L1286705,L3594781260,1,0.0
L1286705,K5783604291,1,-0.0
L1286705,A8934152706,1,-0.0
L1286705,C2814970536,1,0.0
L1286705,R0516428793,1,0.0
L1286705,P2957403168,1,-0.0
L1286705,O3091854267,1,-0.0
L1286705,F5609481273,1,-0.0
L1286705,O8769531402,1,0.0
L1286705,G7610583942,1,-0.0
L1286705,L2861547093,1,0.0
L1286705,O8675091243,1,-0.0
V0375629,F4375629018,1,0.0
V0375629,R6170243958,1,0.0
V0375629,G6207958143,1,0.0
V0375629,L3594781260,1,0.0
V0375629,N7915368420,1,0.0
V0375629,A8934152706,1,0.0
V0375629,C2814970536,1,-0.0
V0375629,K5783604291,1,-0.0
V0375629,R0516428793,1,-0.0
V0375629,P2957403168,1,-0.0
V0375629,C3649578102,1,-0.0
V0375629,V3150286947,1,0.0
V0375629,F5609481273,1,-0.0
V0375629,O8769531402,1,0.0
V0375629,G7610583942,1,-0.0
V0375629,L2861547093,1,-0.0
V0375629,O8675091243,1,0.0
F3271489,R6170243958,1,0.0
F3271489,G6207958143,1,0.0
F3271489,L3594781260,1,-0.0
F3271489,K5783604291,1,0.0
F3271489,R0516428793,1,-0.0
F3271489,V3150286947,1,-0.0
F3271489,P2957403168,1,0.0
F3271489,O3091854267,1,-0.0
F3271489,F5609481273,1,0.0
F3271489,G7610583942,1,0.0
F3271489,L2861547093,1,-0.0
F3271489,O8675091243,1,0.0
U6798423,R6170243958,1,0.0
U6798423,G6207958143,1,0.0
U6798423,L3594781260,1,0.0
U6798423,K5783604291,1,0.0
U6798423,C2814970536,1,0.0
U6798423,A8934152706,1,0.0
U6798423,R0516428793,1,-0.0
U6798423,O3091854267,1,-0.0
U6798423,F5609481273,1,-0.0
U6798423,O8769531402,1,0.0
U6798423,G7610583942,1,0.0
U6798423,L2861547093,1,0.0
U6798423,O8675091243,1,0.0
Y3405129,R6170243958,1,0.0
Y3405129,G6207958143,1,0.0
Y3405129,K5783604291,1,0.0
Y3405129,A8934152706,1,0.0
Y3405129,R0516428793,1,0.0
Y3405129,P2957403168,1,-0.0
Y3405129,V3150286947,1,0.0
Y3405129,O3091854267,1,-0.0
Y3405129,F5609481273,1,-0.0
Y3405129,O8769531402,1,0.0
Y3405129,G7610583942,1,0.0
Y3405129,L2861547093,1,-0.0
Y3405129,O8675091243,1,0.0
B9041253,R6170243958,1,0.0
B9041253,G6207958143,1,-0.0
B9041253,L3594781260,1,-0.0
B9041253,K5783604291,1,0.0
B9041253,R0516428793,1,0.0
B9041253,V3150286947,1,0.0
B9041253,P2957403168,1,0.0
B9041253,F5609481273,1,-0.0
B9041253,O8769531402,1,0.0
B9041253,G7610583942,1,-0.0
B9041253,L2861547093,1,-0.0
B9041253,O8675091243,1,-0.0
E7235481,F4375629018,1,0.0
E7235481,R6170243958,1,0.0
E7235481,L3594781260,1,0.0
E7235481,P2957403168,1,0.0
E7235481,V3150286947,1,0.0
E7235481,O3091854267,1,-0.0
E7235481,F5609481273,1,-0.0
E7235481,O8769531402,1,0.0
E7235481,G7610583942,1,-0.0
E7235481,O8675091243,1,-0.0
F7619453,R6170243958,1,0.0
F7619453,G6207958143,1,0.0
F7619453,N7915368420,1,-0.0
F7619453,K5783604291,1,0.0
F7619453,C2814970536,1,0.0
F7619453,A8934152706,1,0.0
F7619453,L3594781260,1,0.0
F7619453,R0516428793,1,-0.0
F7619453,P2957403168,1,0.0
F7619453,V3150286947,1,0.0
F7619453,G7610583942,1,0.0
F7619453,C3649578102,1,-0.0
F7619453,F5609481273,1,0.0
F7619453,O8769531402,1,0.0
F7619453,O3091854267,1,-0.0
F7619453,L2861547093,1,0.0
F7619453,O8675091243,1,-0.0
Z9625407,F4375629018,1,0.0
Z9625407,R6170243958,1,-0.0
Z9625407,N7915368420,1,0.0
Z9625407,L3594781260,1,0.0
Z9625407,C2814970536,1,0.0
Z9625407,K5783604291,1,-0.0
Z9625407,R0516428793,1,0.0
Z9625407,V3150286947,1,-0.0
Z9625407,C3649578102,1,-0.0
Z9625407,P2957403168,1,0.0
Z9625407,F5609481273,1,-0.0
Z9625407,O8769531402,1,-0.0
Z9625407,G7610583942,1,-0.0
Z9625407,L2861547093,1,0.0
Z9625407,O8675091243,1,-0.0
O5946317,F4375629018,1,0.0
O5946317,R6170243958,1,0.0
O5946317,L3594781260,1,0.0
O5946317,K5783604291,1,-0.0
O5946317,A8934152706,1,0.0
O5946317,R0516428793,1,-0.0
