day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty
3,4422,D1246593,B7480962513,1,16.2,90.0
3,4422,O2439617,K8140962735,2,9.7,44.0
2,4422,D5042698,L3195670842,3,16.2,76.0
3,2773,T2675438,M8430169572,4,16.2,53.0
3,4422,B6791825,M7809324561,5,12.0,32.0
3,2773,P5713092,M8430169572,6,16.2,53.0
3,4422,P5713092,K8140962735,7,16.2,85.0
2,4422,O2439617,A5328079164,8,16.2,79.0
2,2773,T2675438,H0893712465,9,16.2,50.0
2,4422,F3704659,M7809324561,10,9.7,22.0
2,4422,P5713092,G0752836941,11,9.7,81.0
2,2773,M4380619,J9071243658,12,16.2,57.0
1,2773,K6194203,G8952604371,13,9.7,30.0
2,4422,M4380619,B7480962513,14,9.7,19.0
3,5096,Z2583109,Y6712039845,15,16.2,81.0
2,4422,A6831295,G0752836941,16,9.7,76.0
3,2773,O2439617,H0893712465,17,16.2,57.0
2,4422,M4380619,B7480962513,18,9.7,54.0
2,4422,F3704659,M7809324561,19,16.2,51.0
3,4422,A3950264,G0752836941,20,9.7,44.0
2,4422,P5713092,U2135098746,21,9.7,11.0
2,4422,A6831295,K8140962735,22,16.2,27.0
2,2773,O2439617,B9341058627,23,9.7,77.0
2,2773,P5713092,J9071243658,24,16.2,20.0
2,2773,O2439617,M8430169572,25,16.2,53.0
2,4422,B6791825,T8647391250,26,16.2,53.0
2,4422,M4380619,K8140962735,27,9.7,20.0
3,5096,Y1547632,H0594812637,28,16.2,4.0
3,5096,T2675438,V0798364125,29,16.2,53.0
3,5096,Y1547632,Y6712039845,30,16.2,81.0
3,5096,A3950264,V7583940126,31,9.7,60.0
3,5096,Y1547632,S3984205176,32,12.0,44.0
3,5096,F3704659,H1504698327,33,9.7,38.0
3,5096,D5042698,V0798364125,34,9.7,10.0
1,5096,T2675438,H0594812637,35,16.2,95.0
1,2773,O2439617,C8163457902,36,16.2,107.0
3,5096,O2439617,H1504698327,37,16.2,106.0
3,4422,D5042698,M7809324561,38,16.2,51.0
3,5096,B6791825,H0594812637,39,12.0,81.0
2,4422,Y1547632,U2135098746,40,16.2,70.0
2,4422,B6791825,T8647391250,41,16.2,13.0
1,5096,A6831295,J5436708192,42,16.2,64.0
3,4422,R3715408,A5328079164,43,12.0,63.0
3,2773,P5713092,M8430169572,44,16.2,53.0
3,2773,Y1547632,M8430169572,45,12.0,36.0
3,4422,Z2583109,G0752836941,46,9.7,34.0
3,5096,P5713092,Y6712039845,47,9.7,31.0
2,4422,A6831295,P2159078643,48,9.7,26.0
3,5096,A6831295,B0729386514,49,12.0,99.0
3,5096,A6831295,Z4978532061,50,12.0,94.0
3,5096,T2675438,B0729386514,51,12.0,80.0
2,4422,Y1547632,M7809324561,52,16.2,51.0
2,4422,A6831295,B7480962513,53,12.0,66.0
1,2773,A6831295,J9071243658,54,16.2,57.0
1,2773,A6831295,H0893712465,55,16.2,2.0
3,5096,D1246593,L6974218350,56,16.2,77.0
2,5096,B6791825,W8601379542,57,12.0,104.0
3,5096,P5713092,H1504698327,58,16.2,103.0
2,5096,T2675438,B3729615048,59,16.2,59.0
2,5096,B6791825,H1504698327,60,16.2,87.0
3,5096,R3715408,V0798364125,61,16.2,53.0
2,5096,B6791825,V0798364125,62,16.2,53.0
2,5096,M4380619,V7583940126,63,9.7,74.0
2,5096,P5713092,B3729615048,64,16.2,59.0
2,5096,F3704659,Z4978532061,65,9.7,72.0
2,5096,P5713092,V6405312798,66,16.2,71.0
2,5096,Y1547632,J5436708192,67,16.2,64.0
3,5096,Y1547632,V6405312798,68,16.2,63.0
2,5096,B6791825,U6328479051,69,9.7,61.0
3,5096,P5713092,Q9304568172,70,16.2,59.0
3,5096,K6194203,B3729615048,71,16.2,59.0
3,5096,D5042698,V0798364125,72,16.2,53.0
2,5096,D5042698,Y6712039845,73,12.0,50.0
2,5096,T2675438,A4813206795,74,12.0,40.0
2,5096,Y1547632,H7195803462,75,12.0,35.0
2,5096,T2675438,V6405312798,76,9.7,32.0
2,5096,A6831295,I9371586042,77,9.7,25.0
3,5096,Z2583109,V0798364125,78,9.7,17.0
3,5096,Z2583109,Y6712039845,79,9.7,2.0
2,5096,O2439617,A4813206795,80,16.2,66.0
2,5096,Y1547632,S3984205176,81,16.2,66.0
2,4422,P5713092,D3419562078,82,16.2,51.0
2,5096,B6791825,U1963204587,83,9.7,51.0
3,2773,R3715408,O1604352789,84,9.7,47.0
3,5096,B6791825,R2587963014,85,12.0,97.0
3,4422,T2675438,T8647391250,86,12.0,37.0
3,4422,P5713092,A5328079164,87,12.0,62.0
1,4422,P5713092,T8647391250,88,16.2,53.0
2,5096,B6791825,W2785940136,89,16.2,58.0
2,4422,Y1547632,D3419562078,90,16.2,51.0
