client_code,product_code,volume
N3641827,U9176430825,-0.0
N3641827,X0486297513,-0.0
N3641827,H6927840531,-0.0
N3641827,F2761305948,0.0
N3641827,J4972638051,-0.0
N9267483,P7046938512,0.0
N9267483,A3652908741,-0.0
N9267483,X1208436759,-0.0
N9267483,J4972638051,-0.0
N9267483,F4892036751,-0.0
N9267483,Z3492608715,-0.0
N9267483,C3142075689,-0.0
N9267483,F2197540386,-0.0
N9267483,I9430862751,-0.0
N9267483,Z8647310925,-0.0
N9267483,P4285637910,-0.0
N9267483,L2109654783,-0.0
N9267483,Q1752630984,0.0
N9267483,P9208673415,-0.0
N9267483,B9461258730,0.0
N9267483,R3815906427,0.0
N9267483,V8043762519,0.0
N9267483,A7231406985,-0.0
N9267483,H6927840531,-0.0
N9267483,F2761305948,-0.0
R5134296,P7046938512,0.0
R5134296,N4250763819,-0.0
R5134296,X1208436759,-0.0
R5134296,H5724380619,-0.0
R5134296,K4932765018,0.0
R5134296,F2197540386,-0.0
H2948056,P7046938512,-0.0
H2948056,H5724380619,-0.0
H2948056,K4932765018,-0.0
H2948056,J4972638051,0.0
X6812573,G6384150927,0.0
X6812573,A3652908741,-0.0
X6812573,X1208436759,-0.0
X6812573,K4932765018,-0.0
X6812573,F3150726948,-0.0
X6812573,J4972638051,0.0
X6812573,L3079852164,-0.0
X6812573,F4892036751,-0.0
X6812573,Z3492608715,-0.0
X6812573,C3142075689,-0.0
X6812573,G3016248759,-0.0
X6812573,F2197540386,0.0
X6812573,I9430862751,0.0
X6812573,L2109654783,-0.0
X6812573,Y8912043675,-0.0
X6812573,K5480136792,-0.0
X6812573,H3091287564,0.0
X6812573,A7231406985,0.0
X6812573,Z8647310925,-0.0
M5378960,G6384150927,0.0
M5378960,A3652908741,-0.0
M5378960,J4652708391,-0.0
M5378960,K4932765018,-0.0
M5378960,F3150726948,-0.0
M5378960,R6458012937,0.0
M5378960,J4972638051,-0.0
M5378960,F4892036751,-0.0
M5378960,C3142075689,-0.0
M5378960,G3016248759,0.0
M5378960,F2197540386,-0.0
M5378960,L5317204968,-0.0
M5378960,P4285637910,0.0
M5378960,X0486297513,-0.0
M5378960,Y8912043675,0.0
M5378960,L4539201687,0.0
M5378960,Q1752630984,0.0
M5378960,P9208673415,-0.0
M5378960,K5480136792,-0.0
M5378960,V4982653107,-0.0
M5378960,A7231406985,0.0
K9082145,P7046938512,-0.0
K9082145,A3652908741,-0.0
K9082145,X1208436759,-0.0
K9082145,F3150726948,-0.0
K9082145,Z3492608715,-0.0
K9082145,G3016248759,-0.0
K9082145,I9430862751,-0.0
K9082145,U9176430825,-0.0
K9082145,L2109654783,-0.0
K9082145,Y8912043675,-0.0
K9082145,K5480136792,-0.0
K9082145,B9461258730,0.0
K9082145,V4982653107,-0.0
K9082145,H3091287564,0.0
K9082145,R3815906427,-0.0
X5176920,A3652908741,0.0
X5176920,K4932765018,-0.0
X5176920,R6458012937,-0.0
X5176920,J4972638051,-0.0
X5176920,L3079852164,-0.0
X5176920,G3016248759,-0.0
X5176920,L5317204968,-0.0
X5176920,R7482153096,-0.0
X5176920,U9176430825,-0.0
X5176920,P4285637910,-0.0
X5176920,P9208673415,-0.0
X5176920,B9461258730,-0.0
X5176920,N4250763819,-0.0
X5176920,V4982653107,-0.0
X5176920,H3091287564,0.0
X5176920,V8043762519,-0.0
X5176920,Z8647310925,-0.0
R4832097,P9208673415,-0.0
R4832097,U9176430825,-0.0
R4832097,H3091287564,-0.0
R4832097,X0486297513,-0.0
R4832097,R6458012937,0.0
R4832097,L3079852164,0.0
T8762394,X1208436759,-0.0
T8762394,H5724380619,-0.0
T8762394,K4932765018,-0.0
T8762394,J4972638051,-0.0
T8762394,L3079852164,0.0
T8762394,F2197540386,-0.0
T8762394,I9430862751,-0.0
T8762394,R7482153096,-0.0
T8762394,U9176430825,-0.0
T8762394,X0486297513,-0.0
T8762394,Q1752630984,-0.0
T8762394,K5480136792,-0.0
T8762394,R3815906427,0.0
T8762394,V4982653107,-0.0
T8762394,Z8647310925,-0.0
B4713069,G6384150927,0.0
B4713069,A3652908741,-0.0
B4713069,X1208436759,-0.0
B4713069,R6458012937,-0.0
B4713069,J4972638051,0.0
B4713069,L3079852164,-0.0
B4713069,F4892036751,-0.0
B4713069,Z3492608715,-0.0
B4713069,R7482153096,-0.0
B4713069,U9176430825,-0.0
B4713069,Z8647310925,-0.0
B4713069,P4285637910,0.0
B4713069,X0486297513,-0.0
B4713069,Q1752630984,-0.0
B4713069,Y8912043675,-0.0
B4713069,P9208673415,-0.0
B4713069,K5480136792,-0.0
B4713069,N4250763819,0.0
B4713069,R3815906427,-0.0
B4713069,H6927840531,-0.0
B4713069,F2761305948,0.0
J7453086,F4892036751,-0.0
J7453086,R7482153096,-0.0
J7453086,N4250763819,0.0
J7453086,F3150726948,-0.0
J7453086,Y8912043675,0.0
I5729143,G6384150927,0.0
I5729143,P7046938512,0.0
I5729143,A3652908741,-0.0
I5729143,X1208436759,-0.0
I5729143,H5724380619,-0.0
I5729143,K4932765018,-0.0
I5729143,F3150726948,-0.0
I5729143,R6458012937,-0.0
I5729143,L3079852164,-0.0
I5729143,J4972638051,-0.0
I5729143,G3016248759,-0.0
I5729143,I9430862751,-0.0
I5729143,R7482153096,-0.0
I5729143,P4285637910,0.0
I5729143,X0486297513,0.0
I5729143,Y8912043675,-0.0
I5729143,Q1752630984,0.0
I5729143,B9461258730,0.0
I5729143,K5480136792,-0.0
I5729143,R3815906427,0.0
I5729143,V8043762519,-0.0
I5729143,A7231406985,0.0
I5729143,F2761305948,0.0
T1637098,G6384150927,0.0
T1637098,A3652908741,-0.0
T1637098,X1208436759,-0.0
T1637098,H5724380619,0.0
T1637098,K4932765018,-0.0
T1637098,F3150726948,-0.0
T1637098,R6458012937,-0.0
T1637098,J4972638051,-0.0
T1637098,L3079852164,-0.0
T1637098,F4892036751,-0.0
T1637098,C3142075689,-0.0
T1637098,G3016248759,-0.0
T1637098,F2197540386,-0.0
T1637098,I9430862751,-0.0
T1637098,L5317204968,0.0
T1637098,R7482153096,-0.0
T1637098,P4285637910,0.0
T1637098,X0486297513,0.0
T1637098,L4539201687,0.0
T1637098,Y8912043675,-0.0
T1637098,P9208673415,0.0
T1637098,N4250763819,-0.0
T1637098,R3815906427,0.0
T1637098,H3091287564,-0.0
T1637098,V4982653107,-0.0
T1637098,V8043762519,-0.0
T1637098,A7231406985,-0.0
B8735614,L4539201687,0.0
B8735614,G6384150927,-0.0
B8735614,I9430862751,-0.0
B8735614,A3652908741,-0.0
B8735614,L3079852164,-0.0
B8735614,F3150726948,-0.0
X6174250,G6384150927,0.0
X6174250,P9208673415,-0.0
X6174250,L5317204968,-0.0
X6174250,Q1752630984,0.0
X6174250,C3142075689,-0.0
X6174250,Y8912043675,-0.0
X6174250,U9176430825,-0.0
X6174250,V4982653107,0.0
X6174250,X1208436759,-0.0
X6174250,J4972638051,-0.0
X6174250,X0486297513,-0.0
X6174250,A7231406985,0.0
X6174250,L4539201687,0.0
X6174250,I9430862751,-0.0
K3610524,P7046938512,-0.0
K3610524,A3652908741,-0.0
K3610524,F2761305948,-0.0
K3610524,X1208436759,-0.0
K3610524,H5724380619,-0.0
K3610524,K4932765018,-0.0
K3610524,F3150726948,-0.0
K3610524,R6458012937,-0.0
K3610524,L3079852164,-0.0
K3610524,J4972638051,0.0
K3610524,C3142075689,-0.0
K3610524,G3016248759,0.0
K3610524,F2197540386,-0.0
K3610524,L5317204968,0.0
K3610524,P4285637910,0.0
K3610524,X0486297513,-0.0
K3610524,Y8912043675,-0.0
K3610524,Q1752630984,0.0
K3610524,P9208673415,-0.0
K3610524,K5480136792,-0.0
K3610524,H3091287564,-0.0
K3610524,V4982653107,0.0
K3610524,H6927840531,0.0
K3610524,Z8647310925,-0.0
T4127306,L5317204968,0.0
T4127306,B9461258730,-0.0
T4127306,Q1752630984,0.0
T4127306,A3652908741,0.0
T4127306,Y8912043675,-0.0
T4127306,C3142075689,-0.0
