day,plant_code,client_code,vehicle_id,vehicle_type,qty,carry_standard_size,min_standard_size,occupied_size
1,3715,B1072854,24,15.6,46.0,138,71,138.0
1,3715,B1072854,25,15.6,34.0,138,71,102.0
1,3715,B9421786,55,15.6,40.0,138,71,108.0
1,3715,B9421786,78,15.6,92.0,138,71,138.0
1,3715,B9421786,79,15.6,15.0,138,71,22.5
1,3715,E8934706,80,15.6,47.0,138,71,126.9
1,3715,E8934706,180,15.6,15.0,138,71,31.5
1,3715,I3568210,64,15.6,45.0,138,71,121.50000000000001
1,3715,I3568210,114,15.6,51.0,138,71,137.70000000000002
1,3715,M0861435,10,15.6,65.0,138,71,136.5
1,3715,M9261780,149,15.6,51.0,138,71,107.10000000000001
1,3715,P6427531,57,15.6,35.0,138,71,105.0
1,3715,Q0563789,168,10.9,5.0,102,72,10.5
1,3715,Q0563789,177,15.6,65.0,138,71,136.5
1,3715,R2574108,91,15.6,51.0,138,71,137.70000000000002
1,3715,R2574108,92,15.6,5.0,138,71,13.5
1,3715,R9024518,60,15.6,44.0,138,71,66.0
1,3715,R9024518,179,15.6,65.0,138,71,136.5
1,3715,T1240957,66,15.6,30.0,138,71,90.0
1,3715,T1240957,70,15.6,9.0,138,71,18.900000000000002
1,3715,T1240957,74,15.6,46.0,138,71,69.0
1,3715,T1240957,135,15.6,65.0,138,71,136.5
1,3715,T3578416,46,15.6,46.0,138,71,138.0
1,3715,T3578416,47,15.6,3.0,138,71,9.0
1,3715,T3578416,151,10.9,46.0,102,72,96.60000000000001
1,3715,T3578416,178,15.6,65.0,138,71,136.5
1,3715,T8415602,75,15.6,43.0,138,71,64.5
1,3715,T8415602,169,10.9,4.0,102,72,10.8
1,3715,T8415602,175,15.6,51.0,138,71,107.10000000000001
1,5295,E8934706,176,15.6,36.0,138,71,39.6
1,5295,I3568210,171,15.6,99.0,138,71,108.9
1,5295,Q0563789,174,15.6,56.0,138,71,61.60000000000001
1,5295,R2574108,110,15.6,30.0,138,71,33.0
1,5295,T3578416,173,15.6,80.0,138,71,88.0
1,7781,A6302457,73,15.6,87.0,138,71,130.5
1,7781,A6302457,89,15.6,51.0,138,71,137.70000000000002
1,7781,A6302457,90,15.6,1.0,138,71,2.7
1,7781,C6950874,84,15.6,92.0,138,71,138.0
1,7781,C6950874,85,15.6,11.0,138,71,16.5
1,7781,E8934706,26,15.6,57.0,138,71,136.79999999999998
1,7781,E8934706,27,15.6,47.0,138,71,112.8
1,7781,E8934706,37,15.6,57.0,138,71,136.79999999999998
1,7781,E8934706,38,15.6,39.0,138,71,93.6
1,7781,E8934706,39,15.6,74.0,138,71,111.0
1,7781,E8934706,53,15.6,38.0,138,71,102.60000000000001
1,7781,M9261780,63,15.6,30.0,138,71,72.0
1,7781,M9261780,129,10.9,83.0,102,72,91.30000000000001
1,7781,Q0563789,56,15.6,37.0,138,71,99.9
1,7781,R2574108,109,15.6,30.0,138,71,45.0
1,7781,R9024518,93,15.6,9.0,138,71,21.599999999999998
1,7781,T1240957,40,15.6,57.0,138,71,136.79999999999998
1,7781,T1240957,41,15.6,32.0,138,71,76.8
1,7781,T3578416,172,15.6,87.0,138,71,95.7
1,7781,U2341856,21,15.6,49.0,138,71,132.3
1,7781,U2341856,96,15.6,64.0,138,71,96.0
1,7781,V7268310,42,15.6,57.0,138,71,136.79999999999998
1,7781,V7268310,43,15.6,31.0,138,71,74.39999999999999
2,3715,A6302457,51,15.6,56.0,138,71,84.0
2,3715,B9421786,156,10.9,41.0,102,72,86.10000000000001
2,3715,C6950874,72,10.9,34.0,102,72,71.4
2,3715,C6950874,125,15.6,98.0,138,71,137.2
2,3715,E8934706,9,15.6,88.0,138,71,132.0
2,3715,E8934706,14,15.6,46.0,138,71,138.0
2,3715,E8934706,112,15.6,46.0,138,71,138.0
2,3715,E8934706,113,15.6,7.0,138,71,21.0
2,3715,E8934706,119,15.6,65.0,138,71,136.5
2,3715,E8934706,120,15.6,48.0,138,71,100.80000000000001
2,3715,E8934706,136,15.6,65.0,138,71,136.5
2,3715,E8934706,148,15.6,51.0,138,71,137.70000000000002
2,3715,F3674029,126,15.6,88.0,138,71,132.0
2,3715,I3568210,101,15.6,65.0,138,71,136.5
2,3715,I3568210,102,15.6,10.0,138,71,21.0
2,3715,I3568210,106,15.6,32.0,138,71,44.8
2,3715,M0861435,71,10.9,46.0,102,72,96.60000000000001
2,3715,M0861435,161,10.9,35.0,102,72,52.5
2,3715,M0861435,165,10.9,21.0,102,72,44.1
2,3715,M9261780,28,15.6,51.0,138,71,137.70000000000002
2,3715,M9261780,29,15.6,34.0,138,71,91.80000000000001
2,3715,M9261780,45,15.6,7.0,138,71,21.0
2,3715,M9261780,52,15.6,33.0,138,71,46.199999999999996
2,3715,Q0563789,98,15.6,23.0,138,71,48.300000000000004
2,3715,Q0563789,128,15.6,85.0,138,71,127.5
2,3715,R2574108,18,15.6,46.0,138,71,138.0
2,3715,R2574108,19,15.6,46.0,138,71,138.0
2,3715,R2574108,20,15.6,26.0,138,71,78.0
2,3715,R9024518,67,15.6,51.0,138,71,107.10000000000001
2,3715,R9024518,122,15.6,65.0,138,71,136.5
2,3715,R9024518,123,15.6,43.0,138,71,90.3
2,3715,T1240957,115,15.6,51.0,138,71,137.70000000000002
2,3715,T1240957,146,15.6,51.0,138,71,137.70000000000002
2,3715,T1240957,147,15.6,2.0,138,71,5.4
2,3715,T3578416,138,15.6,64.0,138,71,134.4
2,3715,T8415602,48,15.6,51.0,138,71,137.70000000000002
2,3715,T8415602,68,15.6,65.0,138,71,136.5
2,3715,T8415602,69,15.6,50.0,138,71,105.0
2,5295,H5326947,131,10.9,72.0,102,72,79.2
2,5295,Q8230654,108,15.6,36.0,138,71,39.6
2,7781,A6302457,86,15.6,57.0,138,71,136.79999999999998
2,7781,A6302457,87,15.6,23.0,138,71,55.199999999999996
2,7781,E8934706,132,10.9,70.0,102,72,77.0
2,7781,I3568210,88,15.6,51.0,138,71,137.70000000000002
