day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty,standard_size,carry_standard_size,min_standard_size,occupied_size
2,8538,K8530912,C0812375946,1,12.3,63.0,1.5,95,53,94.5
2,8538,X1985462,C0812375946,2,5.1,40.0,1.5,61,33,60.0
2,8538,X1985462,C0812375946,3,5.1,40.0,1.5,61,33,60.0
3,7095,X1985462,A2187690354,4,5.1,1.0,2.7,61,33,2.7
3,7095,X1985462,P8479531620,4,5.1,34.0,1.7,61,33,57.8
3,4302,X1985462,Y3497501826,5,18.1,55.0,2.6,144,75,143.0
1,8538,K3120457,C0812375946,6,18.1,94.0,1.5,144,75,141.0
1,8538,K3120457,J2670451938,6,18.1,1.0,2.4,144,75,2.4
1,8538,C8103964,J2670451938,7,18.1,6.0,2.4,144,75,14.4
1,8538,C8103964,C0812375946,7,18.1,85.0,1.5,144,75,127.5
3,4795,Y9150764,M3217506849,8,12.3,45.0,2.1,95,53,94.5
3,4795,Y9150764,M3217506849,9,12.3,45.0,2.1,95,53,94.5
3,8538,K3120457,J2670451938,10,5.1,25.0,2.4,61,33,60.0
3,4795,K3120457,T2046715983,11,18.1,72.0,1.1,144,75,79.2
3,4795,K3120457,G3107598462,11,18.1,54.0,1.2,144,75,64.8
2,8538,K3978204,J2670451938,12,18.1,23.0,2.4,144,75,55.2
2,8538,K3978204,C0812375946,12,18.1,58.0,1.5,144,75,87.0
3,8538,A0319468,U8642359710,13,5.1,25.0,2.4,61,33,60.0
1,4302,K3120457,X8517640392,14,18.1,1.0,1.4,144,75,1.4
1,4302,K3120457,C4059213768,14,18.1,53.0,1.1,144,75,58.3
1,4302,K3120457,M1902645783,14,18.1,76.0,1.1,144,75,83.60000000000001
2,4795,G9261875,G3107598462,15,5.1,44.0,1.2,61,33,52.8
2,4795,G9261875,R4362790185,15,5.1,5.0,1.5,61,33,7.5
3,7095,C8103964,N6123579480,16,18.1,90.0,1.6,144,75,144.0
3,8538,I4629105,J2670451938,17,18.1,60.0,2.4,144,75,144.0
3,8538,I4629105,J2670451938,18,18.1,60.0,2.4,144,75,144.0
2,7095,C8103964,P8479531620,19,5.1,1.0,1.7,61,33,1.7
2,7095,C8103964,N6123579480,19,5.1,37.0,1.6,61,33,59.2
3,8538,K3978204,U8642359710,20,12.3,39.0,2.4,95,53,93.6
3,8538,K3978204,U8642359710,21,12.3,39.0,2.4,95,53,93.6
2,7095,K8530912,I2435096178,22,18.1,16.0,1.9,144,75,30.4
2,7095,K8530912,N6123579480,22,18.1,70.0,1.6,144,75,112.0
3,8538,K8530912,J2670451938,23,12.3,39.0,2.4,95,53,93.6
3,7095,A0319468,P8479531620,24,5.1,1.0,1.7,61,33,1.7
3,7095,A0319468,N6123579480,24,5.1,37.0,1.6,61,33,59.2
3,8538,C8103964,U8642359710,25,5.1,25.0,2.4,61,33,60.0
1,4302,C1328495,T3097128456,26,18.1,46.0,1.1,144,75,50.6
1,4302,C1328495,N9681325074,26,18.1,33.0,2.8,144,75,92.4
2,8538,C1328495,J2670451938,27,18.1,58.0,2.4,144,75,139.2
3,4302,K3120457,J8156024793,28,18.1,12.0,1.6,144,75,19.200000000000003
3,4302,K3120457,O3945287610,28,18.1,83.0,1.5,144,75,124.5
2,4795,I4629105,V9362458710,29,18.1,36.0,1.2,144,75,43.2
2,4795,I4629105,M5046193782,29,18.1,84.0,1.2,144,75,100.8
1,7095,X1985462,T4580329716,30,18.1,48.0,3.0,144,75,144.0
1,8538,K3120457,R6715340982,31,5.1,1.0,2.6,61,33,2.6
1,8538,K3120457,U8642359710,31,5.1,24.0,2.4,61,33,57.6
2,8538,I4629105,U8642359710,32,18.1,58.0,2.4,144,75,139.2
2,8538,I4629105,J2670451938,32,18.1,2.0,2.4,144,75,4.8
1,7095,A0319468,I2435096178,33,5.1,32.0,1.9,61,33,60.8
2,4795,C8103964,T8046173925,34,18.1,80.0,1.3,144,75,104.0
2,4795,C8103964,V4218953607,34,18.1,30.0,1.3,144,75,39.0
2,8538,K8530912,U8642359710,35,5.1,25.0,2.4,61,33,60.0
2,8538,K3120457,U8642359710,36,18.1,60.0,2.4,144,75,144.0
2,4302,K3120457,T3097128456,37,5.1,54.0,1.1,61,33,59.400000000000006
2,4302,K3120457,O3945287610,37,5.1,1.0,1.5,61,33,1.5
3,4795,I4629105,G3107598462,38,18.1,73.0,1.2,144,75,87.6
3,4795,I4629105,V9362458710,38,18.1,47.0,1.2,144,75,56.4
1,4302,K3978204,T3097128456,39,18.1,61.0,1.1,144,75,67.10000000000001
1,4302,K3978204,X8517640392,39,18.1,54.0,1.4,144,75,75.6
1,4302,K3978204,M1902645783,39,18.1,1.0,1.1,144,75,1.1
3,8538,A0319468,U8642359710,40,18.1,2.0,2.4,144,75,4.8
3,8538,A0319468,J2670451938,40,18.1,58.0,2.4,144,75,139.2
1,8538,C8103964,R6715340982,41,18.1,50.0,2.6,144,75,130.0
1,8538,C8103964,J2670451938,41,18.1,5.0,2.4,144,75,12.0
1,4302,G9261875,O3945287610,42,18.1,55.0,1.5,144,75,82.5
1,4302,G9261875,T3097128456,42,18.1,55.0,1.1,144,75,60.50000000000001
1,4795,C1328495,H4352706891,43,18.1,1.0,1.3,144,75,1.3
1,4795,C1328495,W7681924035,43,18.1,34.0,2.0,144,75,68.0
1,4795,C1328495,K8703145692,43,18.1,39.0,1.9,144,75,74.1
3,4302,I4629105,Z6451078329,44,18.1,57.0,2.5,144,75,142.5
3,4302,I4629105,O3945287610,44,18.1,1.0,1.5,144,75,1.5
3,4302,I4629105,Z6451078329,45,18.1,57.0,2.5,144,75,142.5
3,4302,I4629105,O3945287610,45,18.1,1.0,1.5,144,75,1.5
3,7095,K3978204,A2187690354,46,12.3,35.0,2.7,95,53,94.5
2,7095,C8103964,I2435096178,47,18.1,75.0,1.9,144,75,142.5
3,7095,G9261875,B1974058362,48,12.3,33.0,2.8,95,53,92.4
1,8538,K8530912,U8642359710,49,18.1,60.0,2.4,144,75,144.0
2,4795,K8530912,M5046193782,50,18.1,76.0,1.2,144,75,91.2
2,4795,K8530912,V4218953607,50,18.1,36.0,1.3,144,75,46.8
2,4795,K8530912,G3107598462,50,18.1,5.0,1.2,144,75,6.0
2,7095,I4629105,A2187690354,51,18.1,9.0,2.7,144,75,24.3
2,7095,I4629105,I2435096178,51,18.1,62.0,1.9,144,75,117.8
2,7095,I4629105,P8479531620,51,18.1,1.0,1.7,144,75,1.7
3,4795,K3978204,C3906215847,52,12.3,1.0,1.4,95,53,1.4
3,4795,K3978204,H4352706891,52,12.3,72.0,1.3,95,53,93.6
2,7095,K8530912,A2187690354,53,5.1,22.0,2.7,61,33,59.400000000000006
3,4302,C1328495,G6278491053,54,18.1,49.0,2.9,144,75,142.1
1,4302,G9261875,O3945287610,55,12.3,63.0,1.5,95,53,94.5
2,4302,I4629105,T3097128456,56,12.3,1.0,1.1,95,53,1.1
2,4302,I4629105,O3945287610,56,12.3,1.0,1.5,95,53,1.5
2,4302,I4629105,N9681325074,56,12.3,33.0,2.8,95,53,92.4
2,4302,A0319468,M4273865190,57,18.1,52.0,1.9,144,75,98.8
