plant_code,product_code,day,volume
4795,V4218953607,3,28.0
4795,H1420876953,3,153.0
4795,K8703145692,3,99.0
4302,C4059213768,3,112.0
4302,M4273865190,3,26.0
4795,C8150479263,3,123.0
4795,V3169827054,3,175.0
4795,V2489513067,3,103.0
4795,U9715062483,3,195.0
4795,C3906215847,3,155.0
4795,W7681924035,3,750.0
8538,J2670451938,3,96.0
4302,Z6451078329,3,161.0
4795,Q2718906453,3,133.0
4302,K9436821570,3,68.0
4795,M3217506849,3,135.0
8538,C0812375946,3,0.0
4795,V9362458710,3,129.0
7095,I2435096178,3,173.0
4302,T3097128456,3,11.0
4795,I4215783690,3,71.0
4795,D0295471638,3,155.0
4302,J8156024793,3,111.0
8538,R6715340982,3,2.0
4302,R0415627893,3,182.0
7095,T4580329716,3,0.0
4795,H4352706891,3,76.0
4302,M1902645783,3,171.0
7095,P8479531620,3,160.0
4795,I5389640127,3,160.0
8538,U8642359710,3,139.0
4795,E4291683075,3,101.0
4302,A1385924670,3,0.0
7095,B1974058362,3,141.0
7095,N6123579480,3,134.0
4302,N4251763089,3,85.0
7095,A2187690354,3,150.0
4795,M5046193782,3,0.0
4302,G6278491053,3,0.0
4795,R4362790185,3,140.0
4795,Y8601427935,3,0.0
4302,Y3497501826,3,190.0
4795,D2715034689,3,104.0
4302,N9681325074,3,106.0
4795,U6209315748,3,120.0
7095,Y0413578296,3,132.0
4795,Z7365018492,3,19.0
4795,G3107598462,3,147.0
4795,T2046715983,3,173.0
4302,Q7928605431,3,117.0
4302,O3945287610,3,77.0
4795,T8046173925,3,36.0
4302,X8517640392,3,0.0
