client_code,product_code,volume
R0768523,N0258743691,0
R0768523,S1827935460,4
R0768523,R6507891342,5
R0768523,B9301245876,1
R0768523,N7956324801,28
R0768523,R2495710638,12
R0768523,V5489607312,9
R0768523,U4309851726,6
R0768523,J2698351740,43
R0768523,F4581206973,3
R0768523,R8714296053,5
R0768523,E0742395618,14
R0768523,X0189425736,17
R0768523,A9246513078,7
R0768523,O4571682039,0
R0768523,A0351948627,6
R0768523,E7602198435,0
R0768523,H8321495760,50
R0768523,T3760198452,9
R0768523,R6574831920,14
R0768523,F1580946237,12
R0768523,X2034956781,25
R0768523,Z2607415983,2
R0768523,O9138762504,0
R0768523,Q4729160835,0
R0768523,P0342791586,5
R0768523,C0932651478,8
R0768523,T3819206547,9
R0768523,K2930541786,8
R0768523,Y6290387451,0
R0768523,G1457326809,2015
R0768523,T3978516024,0
R0768523,X8701634529,2
R0768523,C5861743290,0
D4965721,K2930541786,1
D4965721,D5713240986,30
D4965721,R2495710638,3
E2563914,H8321495760,6
E2563914,W4792613850,1
E2563914,O9138762504,0
E2563914,V5489607312,9
E2563914,J2698351740,17
E2563914,M1270396485,24
E2563914,X8701634529,1
E2563914,Q2798603541,0
E2563914,T3819206547,3
E2563914,T3978516024,11
X0769485,F7418906235,48
X0769485,O4571682039,2
X0769485,B9301245876,4
X0769485,O9138762504,21
X0769485,V5489607312,0
X0769485,D5713240986,0
X0769485,T3819206547,0
X0769485,R6574831920,3
L9348527,E9135426870,6
L9348527,V5489607312,5
L9348527,G1457326809,2
L9348527,D5713240986,20
L9348527,Y6290387451,1
T9834160,F7418906235,0
T9834160,N0258743691,5
T9834160,S1827935460,10
T9834160,L7593124086,0
T9834160,B9301245876,0
T9834160,R6507891342,3
T9834160,N7956324801,16
T9834160,R2495710638,0
T9834160,V5489607312,0
T9834160,R8714296053,3
T9834160,F4581206973,3
T9834160,J2698351740,14
T9834160,E0742395618,1
T9834160,X0189425736,0
T9834160,O4571682039,0
T9834160,A9246513078,16
T9834160,O1942086573,114
T9834160,A0351948627,27
T9834160,C5746103982,8
T9834160,H8321495760,25
T9834160,M1270396485,12
T9834160,D5713240986,7
T9834160,T3760198452,11
T9834160,R6574831920,1
T9834160,F1580946237,5
T9834160,X2034956781,18
T9834160,A8597142630,4
T9834160,Z2607415983,111
T9834160,E9135426870,3
T9834160,P5038241697,13
T9834160,W4792613850,3
T9834160,O9138762504,0
T9834160,Q4729160835,8
T9834160,P0342791586,4
T9834160,Q2798603541,1
T9834160,C0932651478,0
T9834160,Y6290387451,2
T9834160,L5863407129,34
T9834160,Q7843621509,2
T9834160,G1457326809,85
T9834160,T3978516024,0
T9834160,Z1293745860,9
T9834160,C5861743290,1
N7169348,F7418906235,5
N7169348,N0258743691,10
N7169348,R6507891342,0
N7169348,V5489607312,7
N7169348,U4309851726,6
N7169348,F4581206973,11
N7169348,E0742395618,0
N7169348,A9246513078,4
N7169348,O4571682039,0
N7169348,D5713240986,2
N7169348,T3760198452,18
N7169348,R6574831920,1
N7169348,P3792046185,77
N7169348,Z2607415983,1335
N7169348,E9135426870,3
N7169348,P5038241697,110
N7169348,O9138762504,5
N7169348,Q2798603541,14
N7169348,K2930541786,0
N7169348,Q7843621509,6
N7169348,X8701634529,122
Q4790186,F7418906235,8
Q4790186,N0258743691,9
Q4790186,L7593124086,1
Q4790186,B9301245876,0
Q4790186,N7956324801,8
Q4790186,J2698351740,3
Q4790186,X0189425736,344
Q4790186,O4571682039,0
Q4790186,O1942086573,25
Q4790186,A0351948627,29
Q4790186,E7602198435,3
Q4790186,M1270396485,45
Q4790186,D5713240986,24
Q4790186,R6574831920,0
Q4790186,F1580946237,37
Q4790186,A8597142630,7
Q4790186,E9135426870,4
Q4790186,W4792613850,3
Q4790186,Q4729160835,7
Q4790186,P0342791586,0
Q4790186,L5863407129,2
Q4790186,Q7843621509,4
Q4790186,X8701634529,21
Q4790186,C5861743290,0
W7632901,F7418906235,4
W7632901,N0258743691,12
W7632901,S1827935460,3
W7632901,R6507891342,4
W7632901,B9301245876,5
W7632901,L7593124086,11
W7632901,N7956324801,8
W7632901,V5489607312,3
W7632901,U4309851726,10
W7632901,J2698351740,27
W7632901,R8714296053,0
W7632901,F4581206973,11
W7632901,E0742395618,4
W7632901,X0189425736,3
W7632901,O4571682039,5
W7632901,A9246513078,9
W7632901,O1942086573,1
W7632901,C5746103982,6
W7632901,H8321495760,11
W7632901,E7602198435,9
W7632901,A0351948627,13
W7632901,D5713240986,7
W7632901,M1270396485,4
W7632901,P3792046185,4
W7632901,F1580946237,6
W7632901,X2034956781,2
W7632901,A8597142630,4
W7632901,Z2607415983,0
W7632901,E9135426870,0
W7632901,P5038241697,4
W7632901,W4792613850,8
W7632901,O9138762504,0
W7632901,Q4729160835,7
W7632901,P0342791586,3
W7632901,Q2798603541,0
W7632901,C0932651478,0
W7632901,K2930541786,4
W7632901,Y6290387451,2
W7632901,T3819206547,3
W7632901,L5863407129,13
W7632901,Q7843621509,4
W7632901,G1457326809,3
W7632901,X8701634529,5
W7632901,T3978516024,6
W7632901,Z1293745860,0
W7632901,C5861743290,0
F0395176,F7418906235,16
F0395176,N0258743691,0
F0395176,L7593124086,1
F0395176,R6507891342,0
F0395176,N7956324801,3
F0395176,R2495710638,8
F0395176,V5489607312,4
F0395176,R8714296053,0
F0395176,F4581206973,12
F0395176,U4309851726,4
F0395176,E0742395618,20
F0395176,X0189425736,1
F0395176,O1942086573,1
F0395176,A0351948627,8
F0395176,H8321495760,9
F0395176,C5746103982,5
F0395176,E7602198435,10
F0395176,M1270396485,1
F0395176,D5713240986,12
F0395176,T3760198452,7
F0395176,R6574831920,0
F0395176,P3792046185,2
F0395176,F1580946237,22
F0395176,V4357890621,6
F0395176,A8597142630,1
F0395176,Z2607415983,7
F0395176,E9135426870,0
F0395176,P5038241697,5
F0395176,W4792613850,12
F0395176,O9138762504,7
F0395176,Q4729160835,5
F0395176,P0342791586,9
F0395176,Q2798603541,1
F0395176,L5863407129,2
F0395176,Q7843621509,1
F0395176,X8701634529,5
