day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty
3,9040,Q4790186,O4571682039,1,4.6,45.0
2,5196,R0768523,X2034956781,2,10.4,71.0
2,5196,D4965721,K2930541786,3,4.6,22.0
1,5196,T9834160,F7418906235,4,15.6,100.0
1,5196,D4965721,K2930541786,5,10.4,43.0
3,5196,L9348527,V5489607312,6,4.6,23.0
3,5196,Q4790186,F7418906235,7,10.4,78.0
2,9040,W7632901,F1580946237,8,4.6,45.0
2,5196,N7169348,F7418906235,9,15.6,100.0
2,5196,E2563914,T3819206547,10,4.6,25.0
2,5196,E2563914,V5489607312,10,4.6,1.0
2,5196,W7632901,P0342791586,11,15.6,1.0
2,5196,W7632901,F7418906235,11,15.6,98.0
2,5196,W7632901,X2034956781,11,15.6,1.0
1,9040,X0769485,O4571682039,12,4.6,45.0
1,9040,X0769485,O4571682039,13,4.6,45.0
3,5196,F0395176,L7593124086,14,10.4,1.0
3,5196,F0395176,F7418906235,14,10.4,77.0
1,9040,F0395176,F1580946237,15,10.4,86.0
3,9040,T9834160,O4571682039,16,4.6,45.0
2,9040,F0395176,P5038241697,17,10.4,78.0
1,5196,E2563914,V5489607312,18,15.6,58.0
3,5196,L9348527,E9135426870,19,15.6,44.0
3,9040,W7632901,O4571682039,20,10.4,86.0
1,5196,E2563914,V5489607312,21,4.6,22.0
1,5196,E2563914,T3978516024,21,4.6,1.0
3,9040,D4965721,R2495710638,24,4.6,28.0
3,9040,D4965721,R2495710638,25,4.6,28.0
3,9040,D4965721,R2495710638,22,4.6,28.0
3,9040,D4965721,R2495710638,23,4.6,28.0
2,9040,N7169348,P5038241697,26,10.4,77.0
2,9040,N7169348,E0742395618,26,10.4,1.0
3,9040,N7169348,P5038241697,27,4.6,40.0
3,9040,N7169348,O4571682039,27,4.6,1.0
3,9040,N7169348,P5038241697,28,4.6,40.0
3,9040,N7169348,O4571682039,28,4.6,1.0
3,9040,N7169348,P5038241697,29,4.6,40.0
3,9040,N7169348,O4571682039,29,4.6,1.0
3,5196,F0395176,P0342791586,30,15.6,85.0
3,9040,L9348527,G1457326809,32,15.6,46.0
3,9040,L9348527,G1457326809,31,15.6,46.0
1,9040,Q4790186,F1580946237,33,15.6,111.0
1,9040,E2563914,X8701634529,34,4.6,1.0
1,9040,E2563914,H8321495760,34,4.6,25.0
1,5196,W7632901,X2034956781,35,4.6,37.0
1,9040,R0768523,F1580946237,36,10.4,86.0
2,5196,Q4790186,L7593124086,37,10.4,71.0
2,5196,R0768523,A9246513078,38,10.4,1.0
2,5196,R0768523,P0342791586,38,10.4,65.0
1,9040,T9834160,F1580946237,39,10.4,86.0
2,9040,T9834160,P5038241697,40,10.4,76.0
2,9040,T9834160,A0351948627,40,10.4,2.0
3,9040,N7169348,E0742395618,41,16.9,104.0
1,5196,N7169348,K2930541786,42,15.6,1.0
1,5196,N7169348,F4581206973,42,15.6,57.0
2,9040,W7632901,P5038241697,43,10.4,76.0
