day,plant_code,client_code,vehicle_id,vehicle_type,qty,carry_standard_size,min_standard_size,occupied_size
1,5196,D4965721,5,10.4,43.0,86,64,86.0
1,5196,E2563914,18,15.6,58.0,111,66,110.2
1,5196,E2563914,21,4.6,23.0,45,28,44.099999999999994
1,5196,E2563914,99,16.9,54.0,125,94,124.9
1,5196,E2563914,100,16.9,54.0,125,94,124.9
1,5196,E2563914,186,16.9,49.0,125,94,125.0
1,5196,F0395176,47,16.9,83.0,125,94,124.9
1,5196,F0395176,163,10.4,46.0,86,64,86.0
1,5196,F0395176,304,16.9,49.0,125,94,125.0
1,5196,L9348527,84,15.6,58.0,111,66,110.8
1,5196,N7169348,42,15.6,58.0,111,66,110.3
1,5196,N7169348,104,10.4,29.0,86,64,85.9
1,5196,Q4790186,70,4.6,18.0,45,28,45.0
1,5196,R0768523,56,15.6,74.0,111,66,111.0
1,5196,R0768523,82,15.6,65.0,111,66,110.5
1,5196,R0768523,87,4.6,24.0,45,28,44.900000000000006
1,5196,R0768523,109,15.6,58.0,111,66,110.3
1,5196,R0768523,212,15.6,38.0,111,66,110.2
1,5196,R0768523,232,10.4,29.0,86,64,85.5
1,5196,R0768523,273,10.4,61.0,86,64,85.39999999999999
1,5196,R0768523,339,16.9,47.0,125,94,125.0
1,5196,R0768523,417,16.9,49.0,125,94,125.0
1,5196,T9834160,4,15.6,100.0,111,66,110.0
1,5196,T9834160,45,10.4,71.0,86,64,85.2
1,5196,T9834160,69,15.6,85.0,111,66,110.5
1,5196,T9834160,229,15.6,42.0,111,66,111.0
1,5196,T9834160,233,10.4,33.0,86,64,86.00000000000001
1,5196,T9834160,238,4.6,16.0,45,28,45.0
1,5196,T9834160,247,16.9,43.0,125,94,124.8
1,5196,T9834160,254,15.6,38.0,111,66,110.2
1,5196,T9834160,270,10.4,33.0,86,64,85.8
1,5196,T9834160,326,16.9,104.0,125,94,125.0
1,5196,T9834160,358,16.9,85.0,125,94,125.0
1,5196,W7632901,35,4.6,37.0,45,28,44.4
1,5196,W7632901,62,10.4,57.0,86,64,85.5
