client_code,product_code,volume
S5289134,E5041237869,16
S5289134,X1549820376,15
S5289134,F4269850137,16
S5289134,N0351492687,0
S5289134,X0862319475,1
S5289134,W4358906172,17
S5289134,A0965428173,12
S5289134,C3479860251,9
S5289134,I6574321098,8
S5289134,K7249851036,15
S5289134,E0495817326,1
S5289134,S2384910765,14
S5289134,O6037812549,53
S5289134,O7219458603,0
S5289134,C3506178294,27
S5289134,I6835041927,28
S5289134,M3705821694,0
S5289134,A4206587319,4
S5289134,N8409763512,1
S5289134,A8941732065,1
E9516283,E5041237869,6
E9516283,Q0429316875,23
E9516283,I6835041927,50
E9516283,X1549820376,16
E9516283,A4206587319,12
E9516283,O7219458603,17
E9516283,V6418972350,18
E9516283,M3705821694,31
E9516283,H3197485206,1
E9516283,N0351492687,0
E9516283,A8941732065,5
E9516283,S2384910765,0
E9516283,C8206175394,8
E9516283,W4358906172,6
E9516283,I6574321098,1
E9516283,U1496370852,23
E9830745,V6418972350,16
E9830745,O7219458603,4
E9830745,U1496370852,49
E9830745,K7249851036,2
Z2168745,I6835041927,22
Z2168745,V6418972350,22
Z2168745,O6037812549,110
Z2168745,S2384910765,0
Z2168745,X0862319475,0
Z2168745,O7219458603,52
I4763189,E5041237869,12
I4763189,X1549820376,3
I4763189,V6418972350,50
I4763189,F4269850137,0
I4763189,Q7841506392,24
I4763189,N0351492687,9
I4763189,X0862319475,2
I4763189,C8206175394,3
I4763189,W4358906172,26
I4763189,C3479860251,10
I4763189,A0965428173,0
I4763189,I6574321098,7
I4763189,K7249851036,6
I4763189,E0495817326,0
I4763189,S2384910765,11
I4763189,O6037812549,27
I4763189,O7219458603,32
I4763189,C3506178294,52
I4763189,U1496370852,12
I4763189,Q0429316875,38
I4763189,I6835041927,4
I4763189,M3705821694,25
I4763189,A4206587319,10
I4763189,N8409763512,4
I4763189,H3197485206,0
I4763189,A8941732065,1
R5723164,E5041237869,7
R5723164,X1549820376,11
R5723164,V6418972350,7
R5723164,Q7841506392,47
R5723164,N0351492687,6
R5723164,X0862319475,2
R5723164,C8206175394,0
R5723164,W4358906172,19
R5723164,A0965428173,6
R5723164,I6574321098,15
R5723164,K7249851036,2
R5723164,E0495817326,1
R5723164,S2384910765,15
R5723164,O7219458603,4
R5723164,C3506178294,26
R5723164,Q0429316875,36
R5723164,M3705821694,8
R5723164,A4206587319,9
R5723164,N8409763512,8
R5723164,H3197485206,2
R5723164,A8941732065,6
A7260138,Q0429316875,2
A7260138,F4269850137,0
A7260138,A8941732065,0
A7260138,S2384910765,1
A7260138,E0495817326,3
A7260138,C8206175394,0
A7260138,W4358906172,35
A7260138,C3479860251,2
A7260138,U1496370852,8
R2698105,Q0429316875,1
R2698105,I6835041927,15
R2698105,N8409763512,7
R2698105,X0862319475,1
R2698105,O7219458603,19
P9680415,Q0429316875,35
P9680415,A4206587319,4
P9680415,X1549820376,0
P9680415,I6835041927,86
P9680415,V6418972350,49
P9680415,F4269850137,0
P9680415,Q7841506392,40
P9680415,K7249851036,15
P9680415,A8941732065,5
P9680415,S2384910765,1
P9680415,C8206175394,8
P9680415,W4358906172,31
P9680415,C3479860251,1
P9680415,I6574321098,0
P9680415,C3506178294,4
D1987032,F4269850137,3
D1987032,M3705821694,6
D1987032,U1496370852,4
D1987032,H3197485206,5
P0293187,Q0429316875,149
P0293187,E5041237869,1
P0293187,A0965428173,7
P0293187,X1549820376,9
P0293187,V6418972350,6
P0293187,N8409763512,7
P0293187,M3705821694,6
P0293187,K7249851036,2
P0293187,E0495817326,3
P0293187,O6037812549,8
P0293187,S2384910765,0
P0293187,W4358906172,63
P0293187,C3479860251,2
P0293187,O7219458603,27
P0293187,U1496370852,0
X7418530,I6835041927,0
X7418530,F4269850137,9
X7418530,N8409763512,14
X7418530,N0351492687,5
X7418530,U1496370852,4
