day,plant_code,client_code,vehicle_id,vehicle_type,qty,carry_standard_size,min_standard_size,occupied_size
1,5011,A7260138,55,11.0,37.0,93,60,92.6
1,5011,D1987032,9,11.0,40.0,93,60,92.0
1,5011,D1987032,10,11.0,40.0,93,60,92.0
1,5011,D1987032,36,15.9,52.0,126,84,124.8
1,5011,D1987032,37,15.9,52.0,126,84,124.8
1,5011,E9516283,42,11.0,71.0,93,60,92.7
1,5011,E9516283,89,15.9,55.0,126,84,125.5
1,5011,E9516283,105,15.9,50.0,126,84,125.4
1,5011,E9516283,106,15.9,50.0,126,84,125.4
1,5011,E9516283,123,11.0,32.0,93,60,92.8
1,5011,E9516283,124,11.0,32.0,93,60,92.8
1,5011,I4763189,48,11.0,84.0,93,60,93.00000000000001
1,5011,I4763189,94,11.0,71.0,93,60,92.3
1,5011,I4763189,185,15.9,49.0,126,84,126.0
1,5011,I4763189,186,15.9,49.0,126,84,126.0
1,5011,I4763189,201,16.2,47.0,136,91,135.4
1,5011,I4763189,218,16.2,57.0,136,91,136.0
1,5011,I4763189,219,16.2,57.0,136,91,136.0
1,5011,I4763189,220,16.2,57.0,136,91,136.0
1,5011,I4763189,221,16.2,57.0,136,91,136.0
1,5011,P0293187,95,11.0,54.0,93,60,91.8
1,5011,P0293187,152,11.0,39.0,93,60,92.9
1,5011,P0293187,153,11.0,39.0,93,60,92.9
1,5011,P9680415,77,11.0,71.0,93,60,92.3
1,5011,P9680415,109,16.2,104.0,136,91,136.0
1,5011,P9680415,125,15.9,50.0,126,84,126.0
1,5011,P9680415,126,15.9,50.0,126,84,126.0
1,5011,R5723164,47,11.0,77.0,93,60,92.5
1,5011,R5723164,135,15.9,53.0,126,84,125.89999999999999
1,5011,R5723164,177,15.9,74.0,126,84,125.8
1,5011,R5723164,178,11.0,55.0,93,60,92.69999999999999
1,5011,R5723164,198,11.0,71.0,93,60,92.3
1,5011,S5289134,44,16.2,113.0,136,91,135.6
1,5011,S5289134,70,15.9,97.0,126,84,126.0
1,5011,S5289134,107,11.0,46.0,93,60,92.4
1,5011,S5289134,179,11.0,39.0,93,60,92.5
1,5011,S5289134,180,11.0,39.0,93,60,92.5
1,5011,S5289134,202,11.0,55.0,93,60,93.0
1,5011,S5289134,203,11.0,55.0,93,60,93.0
1,5011,X7418530,25,11.0,36.0,93,60,92.1
1,5011,X7418530,26,11.0,36.0,93,60,92.1
