client_code,product_code,day,volume
N8794356,L8043197625,7,0
F4529801,W8276035941,7,0
C8692154,R6489751023,7,0
R6851790,L0234618957,7,0
P9567830,T1675823490,7,0
S3205691,R6489751023,7,1
J0815247,E2718490536,7,8
V5961720,G7329481650,7,0
N8794356,R6489751023,7,4
O7624018,W8276035941,7,2
S3205691,L0234618957,7,0
U5083761,X9502617384,7,0
T4763598,X9502617384,7,0
J0815247,V7206849513,7,0
C8692154,X9502617384,7,8
A9358140,Q1045326987,7,0
X2714950,L8043197625,7,0
L3894506,E2718490536,7,2
N9026371,L0234618957,7,0
Q7259618,L0234618957,7,0
A9358140,G7329481650,7,1
G2160978,V7206849513,7,2
T4763598,R6489751023,7,0
P5038164,T1675823490,7,0
P5038164,G7329481650,7,0
N9026371,Q1045326987,7,0
P5038164,L8043197625,7,10
Z8651720,X9502617384,7,2
R6851790,V7206849513,7,2
W1426053,E2718490536,7,0
Q7259618,Q1045326987,7,18
P9567830,V7206849513,7,0
N0129763,T1675823490,7,0
A9358140,W8276035941,7,0
C8692154,L8043197625,7,0
T4763598,V7206849513,7,0
O7624018,R6489751023,7,0
S3205691,G7329481650,7,0
J0815247,K6084371529,7,1
P9567830,L8043197625,7,12
N5496201,L8043197625,7,7
J0815247,G7329481650,7,0
T4763598,L0234618957,7,0
Z8651720,G7329481650,7,0
P8720356,R6489751023,7,0
L3894506,W8276035941,7,8
P5038164,V7206849513,7,0
N8794356,W8276035941,7,0
Y9674820,T1675823490,7,0
W1426053,V7206849513,7,1
T4763598,T1675823490,7,0
X3270591,L8043197625,7,0
T4763598,G7329481650,7,0
Y0289341,K6084371529,7,1
X3270591,X9502617384,7,10
C2716490,R6489751023,7,0
L3894506,R6489751023,7,0
C8692154,V7206849513,7,3
P9567830,X9502617384,7,6
G2160978,R6489751023,7,0
X2714950,X9502617384,7,0
N9026371,W8276035941,7,0
Y0289341,T1675823490,7,0
T4921653,L8043197625,7,0
X3270591,K6084371529,7,0
P8720356,V7206849513,7,0
C2716490,L0234618957,7,0
A9358140,K6084371529,7,1
Y9674820,L8043197625,7,0
R6851790,R6489751023,7,0
Q7259618,X9502617384,7,3
X3270591,Q1045326987,7,0
T2870351,X9502617384,7,9
Y9674820,W8276035941,7,0
Y9674820,Q1045326987,7,0
N0129763,G7329481650,7,0
L3894506,Q1045326987,7,0
N8794356,G7329481650,7,0
Y9674820,E2718490536,7,1
U5083761,R6489751023,7,0
Z8651720,L8043197625,7,5
G2160978,T1675823490,7,0
P9567830,R6489751023,7,0
T2870351,Q1045326987,7,0
N8794356,E2718490536,7,10
B0672593,E2718490536,7,1
X2714950,K6084371529,7,1
B0672593,X9502617384,7,11
B0672593,K6084371529,7,1
N0129763,L8043197625,7,6
Y0289341,W8276035941,7,0
L3894506,V7206849513,7,0
C8692154,K6084371529,7,0
G2160978,X9502617384,7,1
T2870351,T1675823490,7,4
V5961720,V7206849513,7,0
T4921653,W8276035941,7,0
C8692154,Q1045326987,7,0
S3205691,L8043197625,7,0
V5961720,L0234618957,7,0
F4529801,K6084371529,7,7
N0129763,R6489751023,7,0
F4529801,R6489751023,7,0
Q7259618,R6489751023,7,0
S3205691,V7206849513,7,0
P5038164,K6084371529,7,2
