Index,day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty
0,1,9279,X0781965,B0791645283,1,18.7,9.0
1,1,9279,X0781965,T7162394805,1,18.7,20.0
2,1,9279,X0781965,Z4176285930,1,18.7,4.0
3,1,9279,X0781965,L1379420586,1,18.7,3.0
4,1,9279,X0781965,K6813045297,1,18.7,18.0
5,1,8541,G1740695,F4157086932,2,17.0,19.0
6,1,8541,G1740695,U6219375840,2,17.0,23.0
7,1,8541,G1740695,P2501468793,2,17.0,9.0
8,1,8541,G1740695,D4173690582,2,17.0,6.0
9,1,8541,G1740695,E3721640589,2,17.0,13.0
10,1,8541,G1740695,K6813045297,2,17.0,3.0
11,1,8541,A0436291,U6219375840,3,10.7,15.0
12,1,8541,A0436291,Z4176285930,3,10.7,9.0
13,1,8541,A0436291,P2501468793,3,10.7,26.0
14,1,8541,A0436291,H9486237510,3,10.7,8.0
15,1,8541,A0436291,D4173690582,3,10.7,7.0
16,1,4073,C2473610,H5189263407,4,18.7,10.0
17,1,4073,C2473610,C8140629735,4,18.7,8.0
18,1,4073,C2473610,F4157086932,4,18.7,8.0
19,1,4073,C2473610,U6219375840,4,18.7,17.0
20,1,4073,C2473610,P2501468793,4,18.7,7.0
21,1,4073,C2473610,Z4176285930,4,18.7,8.0
22,1,4073,C2473610,H9486237510,4,18.7,10.0
23,1,4073,C2473610,D4173690582,4,18.7,17.0
24,1,4073,C2473610,K6813045297,4,18.7,4.0
25,1,4073,Q7621893,H5189263407,5,18.7,12.0
26,1,4073,Q7621893,C8140629735,5,18.7,4.0
27,1,4073,Q7621893,F4157086932,5,18.7,18.0
28,1,4073,Q7621893,U6219375840,5,18.7,14.0
29,1,4073,Q7621893,P2501468793,5,18.7,18.0
30,1,4073,Q7621893,Z4176285930,5,18.7,12.0
31,1,4073,Q7621893,D4173690582,5,18.7,16.0
32,1,8541,O9738152,F4157086932,6,17.0,7.0
33,1,8541,O9738152,U6219375840,6,17.0,13.0
34,1,8541,O9738152,Z4176285930,6,17.0,25.0
35,1,8541,O9738152,P2501468793,6,17.0,17.0
36,1,8541,O9738152,H9486237510,6,17.0,6.0
37,1,8541,O9738152,D4173690582,6,17.0,17.0
38,1,4073,A4193865,C8140629735,7,10.7,3.0
39,1,4073,A4193865,H5189263407,7,10.7,16.0
40,1,4073,A4193865,F4157086932,7,10.7,10.0
41,1,4073,A4193865,U6219375840,7,10.7,7.0
42,1,4073,A4193865,P2501468793,7,10.7,4.0
43,1,4073,A4193865,Z4176285930,7,10.7,12.0
44,1,4073,A4193865,D4173690582,7,10.7,15.0
45,1,8541,X3502948,F4157086932,8,18.7,8.0
46,1,8541,X3502948,B0791645283,8,18.7,3.0
47,1,8541,X3502948,T7162394805,8,18.7,16.0
48,1,8541,X3502948,Z4176285930,8,18.7,7.0
49,1,8541,X3502948,P2501468793,8,18.7,19.0
50,1,8541,X3502948,D4173690582,8,18.7,9.0
51,1,8541,X3502948,K6813045297,8,18.7,10.0
52,1,4073,S7459820,C8140629735,9,18.7,2.0
53,1,4073,S7459820,H5189263407,9,18.7,11.0
54,1,4073,S7459820,F4157086932,9,18.7,16.0
55,1,4073,S7459820,P2501468793,9,18.7,21.0
56,1,4073,S7459820,Z4176285930,9,18.7,7.0
57,1,4073,S7459820,H9486237510,9,18.7,20.0
58,1,4073,S7459820,D4173690582,9,18.7,14.0
59,1,4073,X0986417,D2419583607,10,18.7,7.0
60,1,4073,X0986417,H5189263407,10,18.7,22.0
61,1,4073,X0986417,P2501468793,10,18.7,13.0
62,1,4073,X0986417,Z4176285930,10,18.7,9.0
63,1,4073,X0986417,D4173690582,10,18.7,10.0
64,1,4073,X0986417,K6813045297,10,18.7,17.0
65,1,4073,C0239845,H5189263407,11,6.7,6.0
66,1,4073,C0239845,F4157086932,11,6.7,16.0
67,1,4073,C0239845,P2501468793,11,6.7,16.0
68,1,4073,C0239845,D4173690582,11,6.7,11.0
69,1,4073,T3529780,D2419583607,12,17.0,1.0
70,1,4073,T3529780,F4157086932,12,17.0,15.0
71,1,4073,T3529780,B0791645283,12,17.0,21.0
72,1,4073,T3529780,Z4176285930,12,17.0,11.0
73,1,4073,T3529780,P2501468793,12,17.0,15.0
74,1,4073,M4317698,H5189263407,13,17.0,14.0
75,1,4073,M4317698,C8140629735,13,17.0,7.0
76,1,4073,M4317698,F4157086932,13,17.0,11.0
77,1,4073,M4317698,Z4176285930,13,17.0,1.0
