plant_code,day,client_code,vehicle_id,vehicle_type,qty,carry_standard_size,min_standard_size,occupied_size
2659,6,X7513960,1,18.3,6.0,135,86,6.6000000000000005
2659,7,A6948730,1,19.5,15.0,172,109,19.5
4670,1,A4051283,1,19.5,10.0,172,109,11.0
4670,2,C6578439,1,19.5,4.0,172,109,4.4
4670,3,A6948730,1,19.5,5.0,172,109,9.0
4670,4,Q1752983,1,19.5,2.0,172,109,2.2
9473,5,P4523968,1,19.5,12.0,172,109,13.2
2659,6,X7513960,1,18.3,6.0,135,86,7.800000000000001
2659,7,A6948730,1,19.5,8.0,172,109,8.8
4670,1,A4051283,1,19.5,8.0,172,109,14.4
4670,2,C6578439,1,19.5,11.0,172,109,19.8
4670,3,A6948730,1,19.5,8.0,172,109,8.8
4670,4,Q1752983,1,19.5,7.0,172,109,7.700000000000001
9473,5,P4523968,1,19.5,11.0,172,109,19.8
2659,6,X7513960,1,18.3,12.0,135,86,13.2
2659,7,A6948730,1,19.5,15.0,172,109,15.0
4670,1,A4051283,1,19.5,13.0,172,109,14.3
4670,2,C6578439,1,19.5,7.0,172,109,7.700000000000001
4670,3,A6948730,1,19.5,18.0,172,109,18.0
4670,4,Q1752983,1,19.5,23.0,172,109,23.0
9473,5,P4523968,1,19.5,18.0,172,109,23.4
2659,6,X7513960,1,18.3,13.0,135,86,13.0
2659,7,A6948730,1,19.5,2.0,172,109,3.4
4670,1,A4051283,1,19.5,19.0,172,109,34.2
4670,2,C6578439,1,19.5,22.0,172,109,22.0
4670,3,A6948730,1,19.5,5.0,172,109,9.0
4670,4,Q1752983,1,19.5,14.0,172,109,25.2
9473,5,P4523968,1,19.5,7.0,172,109,7.0
2659,6,X7513960,1,18.3,18.0,135,86,25.2
2659,7,A6948730,1,19.5,16.0,172,109,22.4
4670,1,A4051283,1,19.5,7.0,172,109,9.8
4670,2,C6578439,1,19.5,3.0,172,109,5.699999999999999
4670,3,A6948730,1,19.5,8.0,172,109,13.6
4670,4,Q1752983,1,19.5,22.0,172,109,37.4
9473,5,P4523968,1,19.5,20.0,172,109,34.0
2659,6,X7513960,1,18.3,7.0,135,86,9.8
2659,7,A6948730,1,19.5,17.0,172,109,27.200000000000003
4670,1,A4051283,1,19.5,17.0,172,109,27.200000000000003
4670,2,C6578439,1,19.5,9.0,172,109,15.3
4670,3,A6948730,1,19.5,18.0,172,109,25.2
4670,4,Q1752983,1,19.5,28.0,172,109,39.2
9473,5,P4523968,1,19.5,8.0,172,109,14.4
2659,6,X7513960,1,18.3,16.0,135,86,17.6
2659,7,A6948730,1,19.5,10.0,172,109,14.0
4670,1,A4051283,1,19.5,16.0,172,109,22.4
4670,2,C6578439,1,19.5,8.0,172,109,14.4
4670,3,A6948730,1,19.5,11.0,172,109,17.6
4670,4,Q1752983,1,19.5,8.0,172,109,12.8
9473,5,P4523968,1,19.5,11.0,172,109,15.4
2659,6,X7513960,1,18.3,16.0,135,86,17.6
2659,7,A6948730,1,19.5,17.0,172,109,18.700000000000003
4670,1,A4051283,1,19.5,15.0,172,109,19.5
4670,2,C6578439,1,19.5,6.0,172,109,8.399999999999999
4670,3,A6948730,1,19.5,7.0,172,109,9.8
4670,4,Q1752983,1,19.5,7.0,172,109,9.8
9473,5,P4523968,1,19.5,2.0,172,109,3.8
2659,6,X7513960,1,18.3,18.0,135,86,23.4
2659,7,A6948730,1,19.5,20.0,172,109,22.0
4670,1,A4051283,1,19.5,17.0,172,109,18.700000000000003
4670,2,C6578439,1,19.5,10.0,172,109,19.0
4670,3,A6948730,1,19.5,27.0,172,109,29.700000000000003
4670,4,Q1752983,1,19.5,13.0,172,109,14.3
9473,5,P4523968,1,19.5,13.0,172,109,18.2
2659,1,Z9541082,2,19.5,13.0,172,109,14.3
2659,7,A6948730,1,19.5,16.0,172,109,20.8
4670,2,C6578439,1,19.5,10.0,172,109,14.0
4670,3,A6948730,1,19.5,10.0,172,109,11.0
4670,6,A6948730,2,19.5,26.0,172,109,46.8
9473,4,S5286437,2,9.3,11.0,100,58,14.3
9473,5,P4523968,1,19.5,12.0,172,109,22.8
2659,1,Z9541082,2,19.5,18.0,172,109,32.4
4670,2,C6578439,1,19.5,6.0,172,109,7.800000000000001
4670,3,A6948730,1,19.5,15.0,172,109,19.5
4670,6,A6948730,2,19.5,15.0,172,109,16.5
4670,7,E3251784,2,19.5,5.0,172,109,9.0
9473,4,S5286437,2,9.3,23.0,100,58,32.2
9473,5,Q1752983,2,19.5,13.0,172,109,14.3
2659,1,Z9541082,2,19.5,30.0,172,109,33.0
4670,2,C6578439,1,19.5,19.0,172,109,20.9
4670,3,E3251784,2,19.5,18.0,172,109,32.4
4670,6,A6948730,2,19.5,6.0,172,109,6.0
4670,7,E3251784,2,19.5,7.0,172,109,14.7
9473,4,S5286437,2,9.3,9.0,100,58,9.9
9473,5,Q1752983,2,19.5,10.0,172,109,18.0
2659,1,Z9541082,2,19.5,4.0,172,109,4.0
4670,2,C6578439,1,19.5,11.0,172,109,12.1
4670,3,E3251784,2,19.5,7.0,172,109,9.8
4670,6,A6948730,2,19.5,5.0,172,109,9.0
4670,7,E3251784,2,19.5,11.0,172,109,15.4
9473,4,S5286437,2,9.3,11.0,100,58,15.4
9473,5,Q1752983,2,19.5,15.0,172,109,19.5
2659,1,Z9541082,2,19.5,1.0,172,109,1.8
4670,3,E3251784,2,19.5,12.0,172,109,15.6
4670,6,A6948730,2,19.5,6.0,172,109,10.2
4670,7,E3251784,2,19.5,14.0,172,109,28.0
9473,2,C6578439,2,18.3,12.0,135,86,13.2
9473,4,S5286437,2,9.3,16.0,100,58,17.6
9473,5,Q1752983,2,19.5,26.0,172,109,28.6
2659,1,Z9541082,2,19.5,8.0,172,109,11.2
4670,3,E3251784,2,19.5,20.0,172,109,34.0
4670,6,A6948730,2,19.5,8.0,172,109,11.2
4670,7,E3251784,2,19.5,10.0,172,109,13.0
9473,2,C6578439,2,18.3,11.0,135,86,14.3
9473,4,S5286437,2,9.3,6.0,100,58,9.6
9473,5,Q1752983,2,19.5,6.0,172,109,6.0
2659,1,Z9541082,2,19.5,13.0,172,109,20.8
4670,3,E3251784,2,19.5,17.0,172,109,18.700000000000003
4670,4,U2950438,3,19.5,2.0,172,109,2.2
4670,6,A6948730,2,19.5,9.0,172,109,14.4
4670,7,E3251784,2,19.5,11.0,172,109,18.7
9473,2,C6578439,2,18.3,24.0,135,86,26.4
9473,5,Q1752983,2,19.5,17.0,172,109,28.9
2659,1,Z9541082,2,19.5,19.0,172,109,26.6
4670,3,E3251784,2,19.5,8.0,172,109,14.4
4670,4,U2950438,3,19.5,11.0,172,109,19.8
4670,6,A6948730,2,19.5,12.0,172,109,16.799999999999997
4670,7,E3251784,2,19.5,12.0,172,109,13.2
9473,2,C6578439,2,18.3,23.0,135,86,23.0
9473,5,Q1752983,2,19.5,9.0,172,109,12.6
2659,1,Z9541082,2,19.5,4.0,172,109,4.4
4670,3,E3251784,2,19.5,17.0,172,109,27.200000000000003
4670,4,U2950438,3,19.5,3.0,172,109,3.0
4670,6,A6948730,2,19.5,18.0,172,109,19.8
4670,7,E3251784,2,19.5,8.0,172,109,14.4
9473,2,C6578439,2,18.3,5.0,135,86,8.5
9473,5,Q1752983,2,19.5,11.0,172,109,17.6
2659,1,Z9541082,2,19.5,14.0,172,109,15.400000000000002
4670,3,E3251784,2,19.5,18.0,172,109,19.8
4670,4,U2950438,3,19.5,13.0,172,109,22.1
4670,6,A6948730,2,19.5,11.0,172,109,12.1
4670,7,E3251784,2,19.5,9.0,172,109,14.4
9473,2,C6578439,2,18.3,5.0,135,86,7.0
9473,5,Q1752983,2,19.5,14.0,172,109,19.6
2659,1,Z9541082,2,19.5,6.0,172,109,7.800000000000001
2659,3,P4523968,3,19.5,11.0,172,109,12.1
4670,4,U2950438,3,19.5,10.0,172,109,18.0
4670,6,A6948730,2,19.5,6.0,172,109,7.800000000000001
4670,7,E3251784,2,19.5,4.0,172,109,4.4
9473,2,C6578439,2,18.3,1.0,135,86,1.4
9473,5,Q1752983,2,19.5,5.0,172,109,5.5
2659,1,J5840329,3,19.5,13.0,172,109,16.900000000000002
2659,3,P4523968,3,19.5,12.0,172,109,21.6
2659,5,A6948730,3,19.5,15.0,172,109,19.5
2659,6,U2950438,3,18.3,7.0,135,86,7.700000000000001
4670,4,U2950438,3,19.5,20.0,172,109,28.0
4670,7,E3251784,2,19.5,14.0,172,109,26.6
9473,2,C6578439,2,18.3,12.0,135,86,15.6
2659,1,J5840329,3,19.5,11.0,172,109,11.0
2659,3,P4523968,3,19.5,22.0,172,109,28.6
2659,5,A6948730,3,19.5,12.0,172,109,13.2
2659,6,U2950438,3,18.3,10.0,135,86,13.0
2659,7,M7549632,3,18.3,6.0,135,86,6.6000000000000005
4670,4,U2950438,3,19.5,12.0,172,109,19.200000000000003
9473,2,C6578439,2,18.3,23.0,135,86,25.3
2659,1,J5840329,3,19.5,14.0,172,109,19.6
2659,2,D0764382,3,9.3,5.0,100,58,9.0
2659,3,P4523968,3,19.5,14.0,172,109,14.0
2659,5,A6948730,3,19.5,14.0,172,109,14.0
2659,6,U2950438,3,18.3,23.0,135,86,23.0
2659,7,M7549632,3,18.3,9.0,135,86,11.7
4670,4,U2950438,3,19.5,4.0,172,109,7.6
2659,1,J5840329,3,19.5,1.0,172,109,1.9
2659,2,D0764382,3,9.3,14.0,100,58,19.6
2659,3,P4523968,3,19.5,2.0,172,109,3.8
2659,5,A6948730,3,19.5,8.0,172,109,13.6
2659,6,U2950438,3,18.3,2.0,135,86,3.4
2659,7,M7549632,3,18.3,9.0,135,86,9.9
4670,4,U2950438,3,19.5,11.0,172,109,15.4
2659,1,J5840329,3,19.5,22.0,172,109,39.6
2659,2,D0764382,3,9.3,13.0,100,58,16.900000000000002
2659,3,P4523968,3,19.5,6.0,172,109,10.2
2659,5,A6948730,3,19.5,3.0,172,109,4.199999999999999
2659,6,U2950438,3,18.3,13.0,135,86,18.2
2659,7,M7549632,3,18.3,9.0,135,86,15.3
4670,4,U2950438,3,19.5,13.0,172,109,14.3
2659,1,J5840329,3,19.5,28.0,172,109,47.6
2659,2,D0764382,3,9.3,11.0,100,58,15.4
2659,3,P4523968,3,19.5,14.0,172,109,25.2
2659,5,A6948730,3,19.5,23.0,172,109,36.8
2659,6,U2950438,3,18.3,15.0,135,86,24.0
2659,7,M7549632,3,18.3,5.0,135,86,9.0
4670,4,U2950438,3,19.5,20.0,172,109,22.0
2659,1,J5840329,3,19.5,12.0,172,109,16.799999999999997
2659,2,D0764382,3,9.3,11.0,100,58,12.1
2659,3,P4523968,3,19.5,16.0,172,109,22.4
2659,5,A6948730,3,19.5,12.0,172,109,16.799999999999997
2659,6,U2950438,3,18.3,9.0,135,86,12.6
2659,7,M7549632,3,18.3,13.0,135,86,18.2
9473,4,R6275408,4,18.3,13.0,135,86,14.3
2659,1,J5840329,3,19.5,12.0,172,109,13.2
2659,2,D0764382,3,9.3,3.0,100,58,4.800000000000001
2659,3,P4523968,3,19.5,12.0,172,109,16.799999999999997
2659,5,A6948730,3,19.5,15.0,172,109,16.5
2659,6,U2950438,3,18.3,16.0,135,86,17.6
2659,7,M7549632,3,18.3,9.0,135,86,14.4
9473,4,R6275408,4,18.3,8.0,135,86,10.4
2659,1,J5840329,3,19.5,3.0,172,109,4.800000000000001
2659,2,D0764382,3,9.3,20.0,100,58,22.0
2659,3,P4523968,3,19.5,15.0,172,109,16.5
2659,5,A6948730,3,19.5,23.0,172,109,25.3
2659,6,U2950438,3,18.3,14.0,135,86,15.400000000000002
2659,7,M7549632,3,18.3,14.0,135,86,19.6
9473,4,R6275408,4,18.3,14.0,135,86,15.400000000000002
2659,1,Z6715843,4,19.5,12.0,172,109,21.6
2659,3,Q1752983,4,18.3,6.0,135,86,6.6000000000000005
2659,5,A6948730,3,19.5,9.0,172,109,11.7
2659,7,M7549632,3,18.3,11.0,135,86,12.1
4670,6,A4051283,4,9.3,12.0,100,58,13.2
9473,2,Z6923758,4,19.5,14.0,172,109,25.2
9473,4,R6275408,4,18.3,1.0,135,86,1.0
2659,1,Z6715843,4,19.5,14.0,172,109,18.2
2659,3,Q1752983,4,18.3,17.0,135,86,22.1
2659,5,A4051283,4,19.5,11.0,172,109,12.1
2659,7,M7549632,3,18.3,13.0,135,86,16.900000000000002
4670,6,A4051283,4,9.3,25.0,100,58,27.500000000000004
9473,2,Z6923758,4,19.5,1.0,172,109,1.4
9473,4,R6275408,4,18.3,7.0,135,86,11.9
2659,1,Z6715843,4,19.5,9.0,172,109,9.9
2659,3,Q1752983,4,18.3,6.0,135,86,6.6000000000000005
2659,5,A4051283,4,19.5,10.0,172,109,18.0
2659,7,U2950438,4,19.5,6.0,172,109,6.6000000000000005
4670,6,A4051283,4,9.3,17.0,100,58,23.8
9473,2,Z6923758,4,19.5,11.0,172,109,12.1
9473,4,R6275408,4,18.3,11.0,135,86,15.4
2659,1,Z6715843,4,19.5,10.0,172,109,10.0
2659,3,Q1752983,4,18.3,12.0,135,86,12.0
2659,5,A4051283,4,19.5,8.0,172,109,10.4
2659,7,U2950438,4,19.5,6.0,172,109,10.8
4670,6,A4051283,4,9.3,2.0,100,58,2.8
9473,2,Z6923758,4,19.5,22.0,172,109,41.8
9473,4,R6275408,4,18.3,9.0,135,86,14.4
2659,1,Z6715843,4,19.5,5.0,172,109,9.0
2659,3,Q1752983,4,18.3,6.0,135,86,10.2
2659,5,A4051283,4,19.5,8.0,172,109,8.8
2659,7,U2950438,4,19.5,14.0,172,109,18.2
4670,6,A4051283,4,9.3,6.0,100,58,7.800000000000001
9473,2,Z6923758,4,19.5,2.0,172,109,3.4
9473,4,R6275408,4,18.3,19.0,135,86,26.6
2659,1,Z6715843,4,19.5,21.0,172,109,29.4
2659,3,Q1752983,4,18.3,19.0,135,86,26.6
2659,5,A4051283,4,19.5,13.0,172,109,23.4
2659,7,U2950438,4,19.5,12.0,172,109,12.0
4670,6,A4051283,4,9.3,22.0,100,58,24.200000000000003
9473,2,Z6923758,4,19.5,10.0,172,109,18.0
9473,4,R6275408,4,18.3,9.0,135,86,11.7
2659,1,Z6715843,4,19.5,5.0,172,109,9.5
2659,3,Q1752983,4,18.3,14.0,135,86,22.4
2659,5,A4051283,4,19.5,9.0,172,109,12.6
2659,6,R6275408,5,19.5,5.0,172,109,5.5
2659,7,U2950438,4,19.5,9.0,172,109,15.3
9473,2,Z6923758,4,19.5,5.0,172,109,7.0
9473,4,R6275408,4,18.3,12.0,135,86,13.2
2659,1,Z6715843,4,19.5,19.0,172,109,26.6
2659,3,Q1752983,4,18.3,10.0,135,86,14.0
2659,5,A4051283,4,19.5,18.0,172,109,28.8
2659,6,R6275408,5,19.5,17.0,172,109,22.1
2659,7,U2950438,4,19.5,16.0,172,109,22.4
9473,2,Z6923758,4,19.5,24.0,172,109,26.4
9473,4,Z9541082,5,18.3,15.0,135,86,16.5
2659,1,Z6715843,4,19.5,7.0,172,109,7.700000000000001
2659,3,Q1752983,4,18.3,13.0,135,86,14.3
2659,5,A4051283,4,19.5,12.0,172,109,16.799999999999997
2659,6,R6275408,5,19.5,8.0,172,109,8.8
2659,7,U2950438,4,19.5,20.0,172,109,32.0
9473,2,Z6923758,4,19.5,6.0,172,109,9.6
9473,4,Z9541082,5,18.3,15.0,135,86,16.5
2659,1,Z6715843,4,19.5,12.0,172,109,13.2
2659,5,A4051283,4,19.5,13.0,172,109,16.900000000000002
2659,6,R6275408,5,19.5,11.0,172,109,11.0
2659,7,U2950438,4,19.5,15.0,172,109,21.0
4670,3,T2679058,5,9.3,10.0,100,58,18.0
9473,2,Z6923758,4,19.5,14.0,172,109,26.6
9473,4,Z9541082,5,18.3,1.0,135,86,1.0
2659,1,Z6715843,4,19.5,13.0,172,109,16.900000000000002
2659,5,A4051283,4,19.5,22.0,172,109,24.200000000000003
2659,6,R6275408,5,19.5,8.0,172,109,13.6
2659,7,U2950438,4,19.5,6.0,172,109,6.6000000000000005
4670,3,T2679058,5,9.3,7.0,100,58,9.8
9473,2,A4051283,5,9.3,12.0,100,58,13.2
9473,4,Z9541082,5,18.3,6.0,135,86,10.8
2659,6,R6275408,5,19.5,12.0,172,109,16.799999999999997
2659,7,U2950438,4,19.5,24.0,172,109,26.4
4670,1,D0764382,5,18.3,16.0,135,86,28.8
4670,3,T2679058,5,9.3,11.0,100,58,14.3
4670,5,U2950438,5,19.5,5.0,172,109,5.5
9473,2,A4051283,5,9.3,19.0,100,58,24.7
9473,4,Z9541082,5,18.3,12.0,135,86,16.799999999999997
2659,6,R6275408,5,19.5,13.0,172,109,20.8
4670,1,D0764382,5,18.3,15.0,135,86,21.0
4670,3,T2679058,5,9.3,1.0,100,58,1.8
4670,5,U2950438,5,19.5,6.0,172,109,10.8
9473,2,A4051283,5,9.3,6.0,100,58,6.6000000000000005
9473,4,Z9541082,5,18.3,9.0,135,86,14.4
9473,7,S5286437,5,19.5,10.0,172,109,13.0
2659,6,R6275408,5,19.5,16.0,172,109,22.4
4670,1,D0764382,5,18.3,12.0,135,86,15.6
4670,3,T2679058,5,9.3,9.0,100,58,15.3
4670,5,U2950438,5,19.5,25.0,172,109,25.0
9473,2,A4051283,5,9.3,5.0,100,58,7.0
9473,4,Z9541082,5,18.3,23.0,135,86,32.2
9473,7,S5286437,5,19.5,8.0,172,109,11.2
2659,6,R6275408,5,19.5,7.0,172,109,7.700000000000001
4670,1,D0764382,5,18.3,7.0,135,86,9.8
4670,3,T2679058,5,9.3,15.0,100,58,16.5
4670,5,U2950438,5,19.5,17.0,172,109,28.9
9473,2,A4051283,5,9.3,4.0,100,58,6.4
9473,4,Z9541082,5,18.3,16.0,135,86,17.6
9473,7,S5286437,5,19.5,25.0,172,109,42.5
2659,6,R6275408,5,19.5,15.0,172,109,16.5
4670,1,D0764382,5,18.3,10.0,135,86,11.0
4670,3,T2679058,5,9.3,5.0,100,58,9.5
4670,5,U2950438,5,19.5,6.0,172,109,10.8
9473,2,A4051283,5,9.3,1.0,100,58,1.4
9473,4,Z9541082,5,18.3,7.0,135,86,9.1
9473,7,S5286437,5,19.5,17.0,172,109,18.700000000000003
2659,6,R6275408,5,19.5,20.0,172,109,26.0
4670,1,D0764382,5,18.3,18.0,135,86,28.8
4670,3,T2679058,5,9.3,4.0,100,58,5.6
4670,5,U2950438,5,19.5,11.0,172,109,15.4
9473,2,A4051283,5,9.3,16.0,100,58,20.8
9473,4,Q1752983,6,9.3,17.0,100,58,18.700000000000003
9473,7,S5286437,5,19.5,23.0,172,109,32.2
4670,1,D0764382,5,18.3,6.0,135,86,6.6000000000000005
4670,3,T2679058,5,9.3,8.0,100,58,8.8
4670,5,U2950438,5,19.5,6.0,172,109,9.6
9473,2,A4051283,5,9.3,17.0,100,58,18.700000000000003
9473,4,Q1752983,6,9.3,16.0,100,58,20.8
9473,6,Z6923758,6,9.3,17.0,100,58,23.8
9473,7,S5286437,5,19.5,16.0,172,109,17.6
4670,1,D0764382,5,18.3,7.0,135,86,13.3
4670,2,X7513960,6,19.5,4.0,172,109,4.4
4670,3,Z9541082,6,19.5,14.0,172,109,15.400000000000002
4670,5,U2950438,5,19.5,1.0,172,109,1.9
9473,4,Q1752983,6,9.3,16.0,100,58,17.6
9473,6,Z6923758,6,9.3,7.0,100,58,7.700000000000001
9473,7,S5286437,5,19.5,23.0,172,109,36.8
2659,7,J5840329,6,18.3,17.0,135,86,22.1
4670,1,P4523968,6,18.3,18.0,135,86,19.8
4670,2,X7513960,6,19.5,16.0,172,109,28.8
4670,3,Z9541082,6,19.5,18.0,172,109,32.4
4670,5,U2950438,5,19.5,3.0,172,109,4.199999999999999
9473,4,Q1752983,6,9.3,12.0,100,58,16.799999999999997
9473,6,Z6923758,6,9.3,9.0,100,58,15.3
2659,7,J5840329,6,18.3,16.0,135,86,16.0
4670,1,P4523968,6,18.3,1.0,135,86,1.8
4670,2,X7513960,6,19.5,7.0,172,109,7.700000000000001
4670,3,Z9541082,6,19.5,14.0,172,109,15.400000000000002
4670,5,U2950438,5,19.5,12.0,172,109,22.8
9473,4,Q1752983,6,9.3,1.0,100,58,1.6
