plant_code,product_code,day,volume
2659,R5107982634,7,0.0
9473,B2368170549,7,-0.0
9473,F5048123697,7,0.0
9473,E0528417639,7,0.0
9473,H9418765320,7,0.0
2659,C3062795184,7,-0.0
9473,V5379624801,7,0.0
4670,H9418765320,7,0.0
9473,C3062795184,7,0.0
9473,O7821390456,7,-0.0
4670,V3176985204,7,0.0
9473,V3176985204,7,0.0
2659,V5379624801,7,0.0
4670,W1953760284,7,-0.0
4670,V7895613042,7,-0.0
2659,N6278914530,7,0.0
9473,W1953760284,7,0.0
4670,M5689230714,7,0.0
9473,A3697012845,7,0.0
2659,Z7402189653,7,0.0
9473,M7841593260,7,0.0
4670,B5218496037,7,-0.0
4670,X1742906538,7,-0.0
4670,K7824063951,7,0.0
9473,B5218496037,7,2.0
4670,F5048123697,7,0.0
2659,A3697012845,7,-0.0
2659,M7841593260,7,0.0
2659,B5218496037,7,0.0
4670,E0528417639,7,0.0
2659,E2354079618,7,-0.0
4670,P4820561937,7,0.0
4670,V3697584210,7,-0.0
9473,R5107982634,7,0.0
4670,M8057319462,7,0.0
4670,C8302695471,7,0.0
2659,C9620784135,7,-0.0
9473,V3697584210,7,2.0
4670,B2368170549,7,-0.0
2659,O7821390456,7,0.0
2659,P4820561937,7,0.0
2659,V7895613042,7,0.0
2659,V3176985204,7,0.0
9473,E2354079618,7,0.0
2659,M5689230714,7,0.0
4670,Z7402189653,7,-0.0
2659,H9418765320,7,0.0
4670,V5379624801,7,0.0
4670,C3062795184,7,0.0
4670,O7821390456,7,0.0
9473,X6213549870,7,-0.0
2659,K7824063951,7,-0.0
9473,J8013975246,7,0.0
2659,F5048123697,7,-0.0
2659,J8013975246,7,-0.0
9473,N6278914530,7,0.0
9473,K7824063951,7,0.0
4670,M7841593260,7,0.0
2659,V3697584210,7,0.0
9473,C9620784135,7,0.0
4670,X6213549870,7,-0.0
2659,W1953760284,7,0.0
2659,C8302695471,7,0.0
2659,B2368170549,7,0.0
4670,J8013975246,7,0.0
9473,M8057319462,7,-0.0
9473,V7895613042,7,0.0
9473,X1742906538,7,-0.0
4670,A3697012845,7,0.0
2659,M8057319462,7,0.0
2659,X6213549870,7,0.0
4670,R5107982634,7,0.0
9473,E5402638197,7,0.0
9473,M5689230714,7,-0.0
2659,I5164298703,7,0.0
2659,E0528417639,7,0.0
4670,E2354079618,7,0.0
