day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty,standard_size,carry_standard_size,min_standard_size,occupied_size
1,2079,Y4356178,A5094712863,1,8.1,5.0,1.9,91,50,9.5
1,2079,Y4356178,N5473201869,1,8.1,7.0,1.6,91,50,11.2
1,2079,Y4356178,L3589264017,1,8.1,2.0,1.8,91,50,3.6
1,2079,Y4356178,D8392470516,1,8.1,7.0,1.2,91,50,8.4
1,2079,Y4356178,P0143687592,1,8.1,16.0,2.1,91,50,33.6
1,2079,Y4356178,P0389671425,1,8.1,13.0,1.9,91,50,24.7
1,2079,R2549701,G1490753268,2,19.8,9.0,2.2,122,70,19.8
1,2079,R2549701,D4812597630,2,19.8,5.0,2.1,122,70,10.5
1,2079,R2549701,A6095743182,2,19.8,18.0,2.3,122,70,41.4
1,2079,R2549701,B3270184965,2,19.8,10.0,2.3,122,70,23.0
1,2079,R2549701,L2197865304,2,19.8,10.0,2.5,122,70,25.0
1,2079,R2549701,M3054962178,2,19.8,1.0,2.3,122,70,2.3
1,7813,Y4356178,E8213957640,3,8.1,1.0,2.6,91,50,2.6
1,7813,Y4356178,L2197865304,3,8.1,11.0,2.5,91,50,27.5
1,7813,Y4356178,I8714052963,3,8.1,24.0,2.5,91,50,60.0
1,7513,M6207851,G1490753268,4,19.8,15.0,2.2,122,70,33.0
1,7513,M6207851,D4812597630,4,19.8,2.0,2.1,122,70,4.2
1,7513,M6207851,A6095743182,4,19.8,17.0,2.3,122,70,39.1
1,7513,M6207851,P0143687592,4,19.8,15.0,2.1,122,70,31.5
1,7513,M6207851,M3054962178,4,19.8,6.0,2.3,122,70,13.8
1,2079,R2549701,X7256198034,5,8.1,1.0,1.7,91,50,1.7
1,2079,R2549701,K8329754016,5,8.1,13.0,2.6,91,50,33.800000000000004
1,2079,R2549701,C0851694723,5,8.1,24.0,2.3,91,50,55.2
1,7813,M6207851,I8714052963,6,8.1,11.0,2.5,91,50,27.5
1,7813,M6207851,N1697250438,6,8.1,23.0,2.7,91,50,62.1
1,7813,R2549701,Y7563894012,7,8.1,10.0,2.9,91,50,29.0
1,7813,R2549701,G5980314726,7,8.1,21.0,2.9,91,50,60.9
1,7513,Y4356178,E8213957640,8,19.8,27.0,2.6,122,70,70.2
1,7513,Y4356178,N1697250438,8,19.8,19.0,2.7,122,70,51.3
1,2079,M6207851,A8632054917,9,8.1,2.0,2.8,91,50,5.6
1,2079,M6207851,Y7563894012,9,8.1,14.0,2.9,91,50,40.6
1,2079,M6207851,G5980314726,9,8.1,9.0,2.9,91,50,26.1
1,2079,M6207851,I8714052963,9,8.1,1.0,2.5,91,50,2.5
1,2079,M6207851,C6298410357,9,8.1,6.0,2.7,91,50,16.200000000000003
1,2079,R2549701,A5094712863,10,8.1,1.0,1.9,91,50,1.9
1,2079,R2549701,M1986074253,10,8.1,15.0,1.6,91,50,24.0
1,2079,R2549701,T5426803971,10,8.1,3.0,2.7,91,50,8.100000000000001
1,2079,R2549701,B3270184965,10,8.1,10.0,2.3,91,50,23.0
1,2079,R2549701,Z7231096548,10,8.1,3.0,1.4,91,50,4.199999999999999
1,2079,R2549701,I8714052963,10,8.1,9.0,2.5,91,50,22.5
1,2079,R2549701,M3054962178,10,8.1,3.0,2.3,91,50,6.9
1,7813,Y4356178,A8632054917,11,8.1,13.0,2.8,91,50,36.4
1,7813,Y4356178,H1690743582,11,8.1,6.0,2.7,91,50,16.200000000000003
1,7813,Y4356178,O3587921064,11,8.1,24.0,1.6,91,50,38.400000000000006
1,2079,M6207851,A5094712863,12,19.8,8.0,1.9,122,70,15.2
1,2079,M6207851,E8213957640,12,19.8,1.0,2.6,122,70,2.6
1,2079,M6207851,M1986074253,12,19.8,19.0,1.6,122,70,30.4
1,2079,M6207851,B3270184965,12,19.8,8.0,2.3,122,70,18.4
1,2079,M6207851,N5473201869,12,19.8,9.0,1.6,122,70,14.4
1,2079,M6207851,D8392470516,12,19.8,12.0,1.2,122,70,14.4
