day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty
1,6396,R3186940,N7038294516,1,12.2,11.0
1,6396,R3186940,T6930275418,1,12.2,19.0
1,6396,R3186940,P4159768032,1,12.2,14.0
1,6396,R3186940,V4390825617,1,12.2,20.0
1,6396,R3186940,C4721589603,1,12.2,7.0
1,6396,R3186940,C3524180697,1,12.2,5.0
1,6396,R3186940,G4763291805,1,12.2,19.0
1,6396,R3186940,A2468175309,1,12.2,9.0
1,8763,H0647938,P4159768032,2,10.0,16.0
1,8763,H0647938,T6930275418,2,10.0,22.0
1,8763,H0647938,V4390825617,2,10.0,8.0
1,8763,H0647938,P7021635498,2,10.0,14.0
1,8763,H0647938,I9740185326,2,10.0,4.0
1,8763,H0647938,A2468175309,2,10.0,3.0
1,8763,H0647938,G6274158093,2,10.0,6.0
1,6396,F7258930,S3896470125,3,12.2,18.0
1,6396,F7258930,T6930275418,3,12.2,26.0
1,6396,F7258930,C3524180697,3,12.2,13.0
1,6396,F7258930,I9740185326,3,12.2,21.0
1,6396,F7258930,G4763291805,3,12.2,15.0
1,6396,F7258930,N7038294516,3,12.2,8.0
1,7346,R3186940,W6839271405,4,10.0,8.0
1,7346,R3186940,C3524180697,4,10.0,1.0
1,7346,R3186940,P7021635498,4,10.0,11.0
1,7346,R3186940,G8069217345,4,10.0,14.0
1,7346,R3186940,O0298156473,4,10.0,10.0
1,7346,R3186940,L7913082546,4,10.0,6.0
1,8040,F7258930,W6839271405,5,12.2,10.0
1,8040,F7258930,G6274158093,5,12.2,17.0
1,8040,F7258930,C3524180697,5,12.2,11.0
1,8040,F7258930,P7021635498,5,12.2,9.0
1,8040,F7258930,F1293654078,5,12.2,10.0
1,8040,F7258930,O0298156473,5,12.2,6.0
1,8040,F7258930,G8069217345,5,12.2,11.0
1,8040,R3186940,C4721589603,6,12.2,7.0
1,8040,R3186940,W6839271405,6,12.2,4.0
1,8040,R3186940,P7021635498,6,12.2,11.0
1,8040,R3186940,F1293654078,6,12.2,21.0
1,8040,R3186940,I9740185326,6,12.2,23.0
1,8040,R3186940,A2468175309,6,12.2,9.0
1,8040,R3186940,G6274158093,6,12.2,11.0
1,8040,H0647938,C3524180697,7,10.0,26.0
1,8040,H0647938,P7021635498,7,10.0,13.0
1,8040,H0647938,F1293654078,7,10.0,8.0
1,8040,H0647938,G6274158093,7,10.0,6.0
1,8040,H0647938,L7913082546,7,10.0,9.0
1,8040,V7149536,T6930275418,8,10.0,7.0
1,8040,V7149536,V4390825617,8,10.0,15.0
1,8040,V7149536,C3524180697,8,10.0,13.0
1,8040,V7149536,P7021635498,8,10.0,10.0
1,8040,V7149536,F1293654078,8,10.0,14.0
1,8040,V7149536,O0298156473,8,10.0,1.0
1,8040,V7149536,G6274158093,8,10.0,13.0
1,8040,V7149536,L7913082546,8,10.0,1.0
1,6396,H0647938,C4721589603,9,10.0,12.0
1,6396,H0647938,C3524180697,9,10.0,1.0
1,6396,H0647938,P7021635498,9,10.0,9.0
1,6396,H0647938,G8069217345,9,10.0,16.0
1,6396,H0647938,G4763291805,9,10.0,25.0
1,6396,H0647938,G6274158093,9,10.0,6.0
1,8763,V7149536,T6930275418,10,10.0,7.0
1,8763,V7149536,V4390825617,10,10.0,1.0
1,8763,V7149536,W6839271405,10,10.0,13.0
1,8763,V7149536,G8069217345,10,10.0,19.0
1,8763,V7149536,I9740185326,10,10.0,4.0
1,8763,V7149536,G6274158093,10,10.0,12.0
1,8763,V7149536,S3896470125,11,12.2,4.0
1,8763,V7149536,P4159768032,11,12.2,15.0
1,8763,V7149536,T6930275418,11,12.2,7.0
1,8763,V7149536,W6839271405,11,12.2,2.0
1,8763,V7149536,O0298156473,11,12.2,15.0
1,8763,V7149536,A2468175309,11,12.2,18.0
1,8763,V7149536,G6274158093,11,12.2,3.0
1,8763,V7149536,L7913082546,11,12.2,13.0
1,7346,V7149536,S3896470125,12,12.2,4.0
