plant_code,product_code,volume
4851,V5108736492,76
4851,T3160895247,152
4851,O0765198342,140
4851,G9236071485,66
4851,Z8561234970,83
4851,Z3540921867,59
4851,P2174603958,58
4851,X0512874963,94
4851,G8079246351,106
4851,A4189230657,53
4851,E7083129564,112
4851,K5409873621,74
4851,U1278534906,157
4851,C6317428095,150
4851,M7042968531,68
4851,W3168490257,71
4851,K4083965721,108
4851,B2197835604,130
4851,C4576132890,92
4851,K9468350271,58
4851,D4385107692,166
4851,E6709352841,102
4851,S5640987231,98
4851,X8546032917,79
4851,F4813957620,110
4851,F9240786153,97
4851,L3562974018,144
4851,H5864312079,157
4851,S1367025894,156
4851,O3872914605,122
4851,T1932084657,123
4851,P5247839061,125
4851,V0962318475,98
4851,Z9476183520,75
4851,U5921763408,103
4851,F0713658924,115
4851,Q9701684253,114
4851,X9482013657,108
4851,W2314785960,72
4851,T9634521087,92
4851,M6823745091,159
4851,R6791052834,82
4851,J5786041293,106
4851,H8456201973,67
4851,R9506243178,75
4851,A8296017354,132
4851,G2734689510,93
4851,U4238176905,73
4851,I9247581036,120
4851,K9357126048,81
4851,E5132496078,53
4851,K8430965217,107
4851,X5684739120,110
4851,X4275309861,130
4851,R4632057981,45
4851,P4521879360,125
4851,F4920138657,79
4851,T8743165029,90
4851,E3106297458,60
4851,I4213078659,98
4851,O9648102753,150
4851,L4018632579,73
4851,R4172098563,127
4851,W8053197642,176
4851,L3940825176,150
4851,N8952043761,58
4851,L4536179208,134
4851,D8132540697,107
4851,W3265087941,183
4851,R8317954260,55
4851,D7639214850,166
4851,U3205684197,174
4851,Q5391867204,124
4851,C0278931546,113
4851,O8632019547,149
4851,S9380654172,136
4851,X0359612874,116
4851,N8691723405,138
4851,Q0624178539,70
4851,V1093678542,119
4851,I5674329180,56
4851,N0132795846,108
4851,E3869452107,131
4851,M6483951207,134
4851,D3604891257,106
6790,V5108736492,58
6790,T3160895247,164
6790,O0765198342,56
6790,G9236071485,84
6790,Z8561234970,134
6790,Z3540921867,58
6790,P2174603958,62
6790,X0512874963,48
6790,G8079246351,93
6790,A4189230657,77
6790,E7083129564,99
6790,K5409873621,64
6790,U1278534906,136
6790,C6317428095,158
6790,M7042968531,124
6790,W3168490257,80
6790,K4083965721,108
6790,B2197835604,83
6790,C4576132890,91
6790,K9468350271,142
6790,D4385107692,106
6790,E6709352841,151
6790,S5640987231,108
6790,X8546032917,67
6790,F4813957620,62
6790,F9240786153,57
6790,L3562974018,88
6790,H5864312079,102
6790,S1367025894,93
6790,O3872914605,131
6790,T1932084657,125
6790,P5247839061,57
6790,V0962318475,72
6790,Z9476183520,136
6790,U5921763408,107
6790,F0713658924,98
6790,Q9701684253,74
6790,X9482013657,133
6790,W2314785960,79
6790,T9634521087,114
6790,M6823745091,60
6790,R6791052834,143
6790,J5786041293,82
6790,H8456201973,92
6790,R9506243178,95
6790,A8296017354,131
6790,G2734689510,143
6790,U4238176905,117
6790,I9247581036,66
6790,K9357126048,137
6790,E5132496078,116
6790,K8430965217,93
6790,X5684739120,58
6790,X4275309861,128
6790,R4632057981,56
6790,P4521879360,63
6790,F4920138657,77
6790,T8743165029,137
6790,E3106297458,138
6790,I4213078659,169
6790,O9648102753,114
6790,L4018632579,113
6790,R4172098563,173
6790,W8053197642,122
6790,L3940825176,153
6790,N8952043761,56
6790,L4536179208,106
6790,D8132540697,56
6790,W3265087941,82
6790,R8317954260,87
6790,D7639214850,83
6790,U3205684197,163
6790,Q5391867204,75
6790,C0278931546,95
6790,O8632019547,154
6790,S9380654172,96
6790,X0359612874,92
6790,N8691723405,70
