client_code,product_code,volume
G0681439,W2471350968,48
G0681439,W6279485130,77
G0681439,I6185297430,67
G0681439,O5476201893,64
G0681439,F3469825701,108
G0681439,J0295641837,90
G0681439,F4670239851,96
G0681439,T0165724398,51
G0681439,C7258413609,98
G0681439,J3697415082,41
G0681439,C4956287031,79
G0681439,V4587913026,114
G0681439,N5847190632,71
G0681439,Z6708592431,88
G0681439,Y3265490718,104
G0681439,B9253170648,109
G0681439,I1627938504,69
G0681439,W7401826359,112
G0681439,X7451863290,83
G0681439,E0984726153,89
G0681439,I8570342961,111
G0681439,C8513609274,100
G0681439,Q3510628497,50
G0681439,F1542063897,110
G0681439,X1867490325,87
G0681439,F3697018425,72
G0681439,U1328057469,58
G0681439,Y1652304978,118
G0681439,W6079845231,43
G0681439,B1594623087,85
G0681439,B6950827143,108
G0681439,Q2748153690,81
G0681439,B9872056413,86
G0681439,P1278605439,111
G0681439,Y3794580216,36
G0681439,Y7605491283,42
G0681439,N2096351748,62
G0681439,Q3208749516,90
G0681439,G5930826174,67
G0681439,U1675394820,69
G0681439,S8235014976,99
G0681439,R1530672948,70
G0681439,A5629408371,91
G0681439,V8592076341,92
G0681439,I5207436198,41
G0681439,J5126098437,66
G0681439,G5081762439,118
G0681439,J8294015637,85
G0681439,M3792160485,109
G0681439,R3964805172,87
G0681439,Q5726439801,52
G0681439,B7905623418,86
G0681439,A9143502687,85
G0681439,B5360841729,111
G0681439,E3641852790,86
G0681439,D7295843061,109
G0681439,Y0754632981,36
Q7049523,L6283501749,94
Q7049523,W6279485130,93
Q7049523,W2471350968,46
Q7049523,I6185297430,64
Q7049523,O5476201893,102
Q7049523,S7980645321,44
Q7049523,J0295641837,58
Q7049523,F4670239851,52
Q7049523,N1582906374,64
Q7049523,C7258413609,43
Q7049523,J3697415082,31
Q7049523,V4587913026,31
Q7049523,H6194052378,84
Q7049523,N5847190632,48
Q7049523,Z6708592431,40
Q7049523,B9253170648,43
Q7049523,Y3265490718,44
Q7049523,F1485027936,68
Q7049523,V0315679248,55
Q7049523,W7401826359,43
Q7049523,X7451863290,35
Q7049523,H5381097462,53
Q7049523,W4825937160,102
Q7049523,C8513609274,44
Q7049523,I8570342961,108
Q7049523,Q3510628497,106
Q7049523,F1542063897,118
Q7049523,U1328057469,114
Q7049523,T3978602451,33
Q7049523,W6079845231,105
Q7049523,Y1652304978,41
Q7049523,B1594623087,88
Q7049523,Q2748153690,111
Q7049523,N2964570318,104
Q7049523,O2941368705,96
Q7049523,Y3794580216,65
Q7049523,P1278605439,111
Q7049523,N2096351748,47
Q7049523,A5629408371,64
Q7049523,B9872056413,39
Q7049523,Y7605491283,37
Q7049523,B3687094125,44
Q7049523,R1530672948,101
Q7049523,U1675394820,58
Q7049523,S8235014976,39
Q7049523,G5930826174,37
Q7049523,A4083257196,91
Q7049523,J8294015637,53
Q7049523,M3792160485,113
Q7049523,R3964805172,61
Q7049523,H0762489153,114
Q7049523,B5360841729,100
Q7049523,E3641852790,44
Q7049523,Y0754632981,31
Q7049523,S0481973562,34
U1074928,L6283501749,50
U1074928,W2471350968,66
U1074928,I6185297430,119
U1074928,O5476201893,74
U1074928,F3469825701,114
U1074928,S7980645321,33
U1074928,J0295641837,48
U1074928,F4670239851,97
U1074928,C7258413609,62
U1074928,N1582906374,80
U1074928,S5379012486,115
U1074928,H6194052378,102
U1074928,N5847190632,70
U1074928,J9312647085,81
U1074928,V0315679248,32
U1074928,X7451863290,114
U1074928,H5381097462,38
U1074928,C8513609274,37
U1074928,E0984726153,92
U1074928,F1542063897,68
U1074928,Y3794580216,61
U1074928,F3697018425,43
U1074928,W6079845231,33
U1074928,Y1652304978,106
U1074928,B1594623087,52
U1074928,B6950827143,47
U1074928,O2941368705,68
U1074928,N2964570318,80
U1074928,Q2748153690,81
U1074928,Q3208749516,83
U1074928,B9872056413,38
U1074928,A5629408371,53
U1074928,N2096351748,119
U1074928,P1278605439,42
U1074928,Y7605491283,87
U1074928,B3687094125,32
U1074928,R1530672948,37
U1074928,S8235014976,120
U1074928,A4083257196,55
U1074928,W4052691378,113
U1074928,J5126098437,89
U1074928,G5081762439,71
U1074928,X8935061274,81
U1074928,J8294015637,35
U1074928,S2109835467,48
U1074928,H0762489153,49
U1074928,A9143502687,89
U1074928,B5360841729,54
U1074928,E3641852790,83
U1074928,D7295843061,113
U1074928,S0481973562,85
X7321658,L6283501749,56
X7321658,P0956748312,54
X7321658,W2471350968,117
X7321658,S5964780231,83
X7321658,I6185297430,118
X7321658,W6279485130,98
X7321658,O5476201893,106
X7321658,S7980645321,60
X7321658,N1582906374,44
X7321658,C4956287031,57
X7321658,V4587913026,30
X7321658,N5847190632,82
X7321658,Z6708592431,60
X7321658,H6194052378,105
X7321658,J9312647085,110
X7321658,Y3265490718,60
X7321658,B9253170648,57
X7321658,I1627938504,43
X7321658,V0315679248,74
X7321658,W4825937160,99
X7321658,X7451863290,31
X7321658,W7401826359,64
X7321658,T2863945710,63
X7321658,D7295843061,100
X7321658,C8513609274,77
X7321658,H5381097462,40
X7321658,F3697018425,99
X7321658,T3978602451,40
X7321658,U1328057469,107
X7321658,W6079845231,94
X7321658,B1594623087,76
X7321658,B6950827143,79
X7321658,Q2748153690,34
X7321658,O2941368705,112
X7321658,Q3208749516,106
X7321658,P1278605439,88
X7321658,A5629408371,99
X7321658,Y7605491283,63
X7321658,Y3794580216,98
X7321658,B3687094125,83
X7321658,A4083257196,93
X7321658,G5930826174,49
X7321658,R1530672948,86
X7321658,O9516704283,44
X7321658,J5126098437,44
X7321658,I5207436198,118
X7321658,G5081762439,47
X7321658,J8294015637,113
X7321658,X8935061274,93
X7321658,M3792160485,84
X7321658,S2109835467,44
X7321658,R3964805172,33
X7321658,Q5726439801,105
X7321658,B7905623418,73
X7321658,H0762489153,94
X7321658,B5360841729,99
X7321658,X1867490325,52
X7321658,Y0754632981,56
X7321658,S0481973562,101
M0126874,W6279485130,47
M0126874,L6283501749,92
M0126874,I6185297430,57
M0126874,O5476201893,47
M0126874,F3469825701,54
M0126874,J0295641837,103
M0126874,F4670239851,50
M0126874,T0165724398,78
M0126874,J3697415082,57
M0126874,C4956287031,95
M0126874,V4587913026,41
M0126874,S5379012486,36
M0126874,N5847190632,86
M0126874,H6194052378,87
M0126874,Z6708592431,96
M0126874,Y3265490718,72
M0126874,B9253170648,104
M0126874,I1627938504,36
M0126874,F1485027936,76
M0126874,W4825937160,94
M0126874,W7401826359,98
M0126874,T2863945710,38
M0126874,X7451863290,59
M0126874,E0984726153,83
M0126874,D7295843061,59
M0126874,C8513609274,118
M0126874,Q3510628497,42
M0126874,F1542063897,97
M0126874,F3697018425,54
M0126874,U1328057469,66
M0126874,T3978602451,69
M0126874,W6079845231,87
M0126874,B1594623087,67
M0126874,B6950827143,86
M0126874,O2941368705,106
M0126874,Q2748153690,76
M0126874,B9872056413,58
M0126874,Y3794580216,115
M0126874,N2096351748,79
M0126874,Q3208749516,58
M0126874,P1278605439,98
M0126874,A5629408371,97
M0126874,A4083257196,100
M0126874,G5930826174,80
M0126874,S8235014976,64
M0126874,R1530672948,102
M0126874,Y7605491283,63
M0126874,O9516704283,40
M0126874,W4052691378,114
M0126874,V8592076341,31
M0126874,J5126098437,46
M0126874,I5207436198,80
M0126874,S2109835467,66
M0126874,R3964805172,119
M0126874,Q5726439801,64
M0126874,B7905623418,39
M0126874,H0762489153,54
M0126874,B5360841729,41
M0126874,E3641852790,113
M0126874,X1867490325,115
M0126874,M8157493062,53
M0126874,Y0754632981,111
M0126874,S0481973562,104
D2976504,W6279485130,65
D2976504,P0956748312,86
D2976504,U1328057469,61
D2976504,R3964805172,100
D2976504,S7980645321,106
D2976504,X7451863290,89
D2976504,W7401826359,117
D2976504,N2096351748,38
D2976504,Y7605491283,101
D2976504,S8235014976,65
H4953612,T0165724398,119
H4953612,H6194052378,87
H4953612,J9312647085,67
H4953612,Y1652304978,60
H4953612,B1594623087,62
H4953612,N2964570318,35
H4953612,Y7605491283,106
H4953612,U1675394820,47
H4953612,I5207436198,46
H4953612,J8294015637,91
H4953612,X8935061274,43
H4953612,Q5726439801,80
H4953612,B7905623418,36
H4953612,X1867490325,56
H4953612,Y0754632981,62
H4953612,S0481973562,39
H4953612,W6279485130,76
H4953612,P0956748312,116
H4953612,Q2498036571,87
H4953612,J0295641837,112
H4953612,F4670239851,46
H4953612,C7258413609,106
H4953612,V4587913026,117
H4953612,Y3265490718,114
H4953612,I1627938504,64
H4953612,W7401826359,55
H4953612,H5381097462,61
H4953612,E0984726153,36
H4953612,I8570342961,81
H4953612,Q2748153690,35
H4953612,Y3794580216,67
H4953612,N2096351748,34
H4953612,W4052691378,52
H4953612,V8592076341,84
H4953612,M3792160485,38
H4953612,B5360841729,95
H4953612,E3641852790,72
H4953612,D7295843061,75
H4953612,L6283501749,120
H4953612,W2471350968,97
H4953612,S5964780231,108
H4953612,F3469825701,89
H4953612,N5690732418,77
H4953612,Z6708592431,36
H4953612,B9253170648,80
H4953612,F1485027936,34
H4953612,V0315679248,104
H4953612,T2863945710,65
H4953612,Q3510628497,104
H4953612,F3697018425,94
H4953612,W6079845231,51
H4953612,B9872056413,90
H4953612,P1278605439,104
H4953612,B3687094125,40
H4953612,A4083257196,41
H4953612,S8235014976,111
H4953612,O9516704283,67
H4953612,J5126098437,37
H4953612,S2109835467,90
H4953612,R3964805172,61
H4953612,A9143502687,113
H4953612,I6185297430,47
H4953612,O5476201893,42
H4953612,S7980645321,102
H4953612,N1582906374,119
H4953612,J3697415082,53
H4953612,C4956287031,84
H4953612,S5379012486,39
H4953612,X7451863290,100
H4953612,T3978602451,96
H4953612,B6950827143,38
H4953612,O2941368705,66
H4953612,Q3208749516,92
H4953612,G5930826174,104
H4953612,G5081762439,45
