plant_code,product_code,produce_date,volume
4214,T3180456972,1,2
4214,T3180456972,2,2
4214,T3180456972,3,2
4214,X8765931024,1,2
4214,X8765931024,2,2
4214,X8765931024,3,2
4214,J6087419532,1,2
4214,J6087419532,2,2
4214,J6087419532,3,2
4214,F3275941806,1,2
4214,F3275941806,2,2
4214,F3275941806,3,2
4214,S5986134207,1,2
4214,S5986134207,2,2
4214,S5986134207,3,2
4214,N1925734608,1,2
4214,N1925734608,2,2
4214,N1925734608,3,2
4214,N2786195034,1,2
4214,N2786195034,2,2
4214,N2786195034,3,2
4214,L1857460239,1,2
4214,L1857460239,2,2
4214,L1857460239,3,2
4214,Y5472831906,1,2
4214,Y5472831906,2,2
4214,Y5472831906,3,2
4214,X9602483571,1,2
4214,X9602483571,2,2
4214,X9602483571,3,2
4214,K7013489265,1,2
4214,K7013489265,2,2
4214,K7013489265,3,2
4214,E9803517624,1,2
4214,E9803517624,2,2
4214,E9803517624,3,2
4214,A9603147825,1,2
4214,A9603147825,2,2
4214,A9603147825,3,2
4214,W6427185930,1,2
4214,W6427185930,2,2
4214,W6427185930,3,2
4214,V0879615324,1,2
4214,V0879615324,2,2
4214,V0879615324,3,2
4214,D4530127968,1,2
4214,D4530127968,2,2
4214,D4530127968,3,2
4214,D1478952630,1,2
4214,D1478952630,2,2
4214,D1478952630,3,2
4214,D1726495380,1,2
4214,D1726495380,2,2
4214,D1726495380,3,2
4214,G2931605874,1,2
4214,G2931605874,2,2
4214,G2931605874,3,2
4214,H9072365841,1,2
4214,H9072365841,2,2
4214,H9072365841,3,2
4214,V3715028946,1,2
4214,V3715028946,2,2
4214,V3715028946,3,2
4214,H9671802435,1,2
4214,H9671802435,2,2
4214,H9671802435,3,2
4214,M8034296157,1,2
4214,M8034296157,2,2
4214,M8034296157,3,2
4214,W2630145987,1,2
4214,W2630145987,2,2
4214,W2630145987,3,2
4214,C8915673042,1,2
4214,C8915673042,2,2
4214,C8915673042,3,2
4214,J5193608274,1,2
4214,J5193608274,2,2
4214,J5193608274,3,2
4214,E6823017954,1,2
4214,E6823017954,2,2
4214,E6823017954,3,2
4214,B6538709214,1,2
4214,B6538709214,2,2
4214,B6538709214,3,2
4214,M8524637019,1,2
4214,M8524637019,2,2
4214,M8524637019,3,2
4214,D5809127634,1,2
4214,D5809127634,2,2
4214,D5809127634,3,2
4214,Q9263541087,1,2
4214,Q9263541087,2,2
4214,Q9263541087,3,2
4214,R2907183564,1,2
4214,R2907183564,2,2
4214,R2907183564,3,2
4214,J2563047198,1,2
4214,J2563047198,2,2
4214,J2563047198,3,2
4214,V2436857019,1,2
4214,V2436857019,2,2
4214,V2436857019,3,2
4214,P0825946173,1,2
4214,P0825946173,2,2
4214,P0825946173,3,2
4214,H7015894632,1,2
4214,H7015894632,2,2
4214,H7015894632,3,2
4214,E5930874612,1,2
4214,E5930874612,2,2
4214,E5930874612,3,2
4214,Y9320147568,1,2
4214,Y9320147568,2,2
4214,Y9320147568,3,2
4214,J1986237504,1,2
4214,J1986237504,2,2
4214,J1986237504,3,2
4214,A8106795324,1,2
4214,A8106795324,2,2
4214,A8106795324,3,2
4214,R4321695780,1,2
4214,R4321695780,2,2
4214,R4321695780,3,2
4214,X6047213589,1,2
4214,X6047213589,2,2
4214,X6047213589,3,2
4214,M6038549271,1,2
4214,M6038549271,2,2
4214,M6038549271,3,2
4214,H8374196025,1,2
4214,H8374196025,2,2
4214,H8374196025,3,2
4214,R3659801724,1,2
4214,R3659801724,2,2
4214,R3659801724,3,2
4214,P1762853049,1,2
4214,P1762853049,2,2
4214,P1762853049,3,2
4214,C1526039748,1,2
4214,C1526039748,2,2
4214,C1526039748,3,2
4214,I3289456107,1,2
4214,I3289456107,2,2
4214,I3289456107,3,2
4214,I9418520637,1,2
4214,I9418520637,2,2
4214,I9418520637,3,2
4214,F7396108452,1,2
4214,F7396108452,2,2
4214,F7396108452,3,2
4214,L9751406382,1,2
4214,L9751406382,2,2
4214,L9751406382,3,2
4214,U5479823160,1,2
4214,U5479823160,2,2
4214,U5479823160,3,2
4214,U7930428156,1,2
4214,U7930428156,2,2
4214,U7930428156,3,2
4214,N6418073952,1,2
4214,N6418073952,2,2
4214,N6418073952,3,2
4214,Z5981032476,1,2
4214,Z5981032476,2,2
4214,Z5981032476,3,2
4214,R6071324589,1,2
4214,R6071324589,2,2
4214,R6071324589,3,2
4214,D3647521089,1,2
4214,D3647521089,2,2
4214,D3647521089,3,2
4214,M2358470619,1,2
4214,M2358470619,2,2
4214,M2358470619,3,2
4214,J6859023471,1,2
4214,J6859023471,2,2
4214,J6859023471,3,2
4214,I4132978056,1,2
4214,I4132978056,2,2
4214,I4132978056,3,2
4214,A0516284397,1,2
4214,A0516284397,2,2
4214,A0516284397,3,2
4214,B5863712940,1,2
4214,B5863712940,2,2
