product_code,standard_size
O9028516734,2.5
Z3476859021,1.2
N0845762913,1.2
Z0246853917,2.6
N0736598124,2.1
M7382594160,2.5
G5742681309,2.0
A4075938261,2.7
G0389415672,2.8
X5207813964,1.1
X5186372049,2.3
W9470821536,2.3
B6158023974,1.3
I7852046193,2.1
A9546308172,2.2
K2391708456,1.3
M9624075138,1.8
Z9635127084,1.5
B0946378152,2.9
O5762813094,3.0
Y4703189562,1.8
E1980467352,2.7
N1820396457,2.1
F5031268947,1.4
A6137098542,2.9
J3796850241,1.9
Y0586172493,2.6
D0374296158,1.7
X3902561874,1.8
W8017354269,2.5
T7031596284,1.7
D9701284653,1.6
U1502493768,1.3
N5297863410,1.2
D6489120357,1.9
C0285791436,1.8
U6152987034,1.6
B6718942530,3.0
M9068157324,1.4
L4960237581,2.0
D2869510374,3.0
Q8623049751,1.0
W5129038674,1.7
O4862517390,2.8
N5019742863,1.8
X6310275894,2.6
A2697583014,2.3
B4321908657,2.3
K3587419602,1.7
F3254810976,2.5
V1837596204,1.7
G3451278069,1.0
J2087651394,2.3
J8024653917,1.7
S5432916870,2.5
N8607142935,2.3
A4956078132,1.2
W8910572463,2.0
A6845032791,2.0
M9241870365,1.5
S2061738954,2.5
U0912584736,3.0
O4732869510,1.0
I7926854301,2.9
R1249570386,1.3
G6549230178,2.8
G0961472358,2.7
M8105927346,2.0
G5429087631,2.2
