dataset_name,plant_nums,dealer_nums,sku_nums,vehicle_type_nums,horizons
dataset_1,4,73,77,2,3
dataset_2,4,53,71,3,3
dataset_3,5,61,69,3,3
dataset_4,5,71,71,4,3
dataset_5,4,54,79,3,3
dataset_6,4,75,77,3,3
dataset_7,5,86,90,3,3
dataset_8,4,73,87,3,3
dataset_9,4,75,79,4,3
dataset_10,6,84,85,2,3
dataset_11,6,52,77,4,3
dataset_12,5,87,98,4,3
dataset_13,4,85,91,2,3
dataset_14,4,67,68,4,3
dataset_15,6,52,85,4,3
dataset_16,5,74,82,3,3
dataset_17,6,67,88,4,3
dataset_18,5,86,98,4,3
dataset_19,6,64,60,4,3
dataset_20,5,68,70,4,3
dataset_21,6,84,68,3,3
dataset_22,4,51,89,4,3
dataset_23,4,59,88,2,3
dataset_24,4,77,69,2,3
dataset_25,5,64,89,2,3
dataset_26,6,84,81,2,3
dataset_27,6,79,74,3,3
dataset_28,6,85,63,2,3
dataset_29,4,51,70,2,3
dataset_30,5,85,79,4,3
