plant_code,product_code,volume
5436,O9241670358,155
5436,Z5298037641,179
5436,A4785132609,207
5436,A4817235069,145
5436,X8703695214,98
5436,C7826195340,156
5436,F1487629350,84
5436,D2891046537,84
5436,K2016738549,181
5436,O1956408723,95
5436,X5039741268,161
5436,Q6254780391,186
5436,Y3567128409,75
5436,E6403875219,165
5436,X5638791420,165
5436,E5306271849,151
5436,W0681734952,75
5436,D0798625431,103
5436,M6834921705,109
5436,B4106579382,86
5436,J3647851209,105
5436,Y0412963857,67
5436,U8734956120,83
5436,R6587439102,154
5436,F4127063985,182
5436,V9743561802,112
5436,U5169203874,97
5436,S6857312409,93
5436,O7835629401,143
5436,Y3518796042,180
5436,G0714896352,84
5436,G3259146078,172
5436,P2491657803,95
5436,S6798425130,57
5436,G0728391645,72
5436,B7561348920,89
5436,P8209316574,70
5436,N2530819746,74
5436,R5384217609,101
5436,R9861270534,99
5436,B4201653879,133
5436,V1675209348,127
5436,W1076925384,128
5436,G2984635071,152
5436,R2389754610,87
5436,K4631825097,97
2427,O9241670358,158
2427,Z5298037641,67
2427,A4785132609,105
2427,A4817235069,85
2427,X8703695214,98
2427,C7826195340,171
2427,F1487629350,155
2427,D2891046537,115
2427,K2016738549,85
2427,O1956408723,126
2427,X5039741268,171
2427,Q6254780391,129
2427,Y3567128409,149
2427,E6403875219,163
2427,X5638791420,105
2427,E5306271849,146
2427,W0681734952,110
2427,D0798625431,142
2427,M6834921705,79
2427,B4106579382,81
2427,J3647851209,80
2427,Y0412963857,77
2427,U8734956120,126
2427,R6587439102,116
2427,F4127063985,177
2427,V9743561802,85
2427,U5169203874,115
2427,S6857312409,128
2427,O7835629401,151
2427,Y3518796042,97
2427,G0714896352,139
2427,G3259146078,133
2427,P2491657803,132
2427,S6798425130,95
2427,G0728391645,86
2427,B7561348920,111
2427,P8209316574,139
2427,N2530819746,148
2427,R5384217609,90
2427,R9861270534,196
2427,B4201653879,78
2427,V1675209348,73
2427,W1076925384,107
2427,G2984635071,69
2427,R2389754610,147
2427,K4631825097,193
7414,O9241670358,144
7414,Z5298037641,124
7414,A4785132609,111
7414,A4817235069,77
7414,X8703695214,76
7414,C7826195340,120
7414,F1487629350,138
7414,D2891046537,111
7414,K2016738549,114
7414,O1956408723,192
7414,X5039741268,99
7414,Q6254780391,140
7414,Y3567128409,115
7414,E6403875219,156
7414,X5638791420,140
7414,E5306271849,146
7414,W0681734952,63
7414,D0798625431,166
7414,M6834921705,125
7414,B4106579382,66
7414,J3647851209,79
7414,Y0412963857,111
7414,U8734956120,113
7414,R6587439102,98
7414,F4127063985,187
7414,V9743561802,110
7414,U5169203874,105
7414,S6857312409,178
7414,O7835629401,75
7414,Y3518796042,97
7414,G0714896352,153
7414,G3259146078,114
7414,P2491657803,186
7414,S6798425130,152
7414,G0728391645,98
7414,B7561348920,164
7414,P8209316574,188
7414,N2530819746,117
7414,R5384217609,121
7414,R9861270534,190
7414,B4201653879,111
7414,V1675209348,105
7414,W1076925384,79
7414,G2984635071,94
7414,R2389754610,96
7414,K4631825097,104
