client_code,product_code,volume
K1485097,T5178936420,114
K1485097,C1294853076,83
K1485097,W4781503269,45
K1485097,P6128057943,54
K1485097,P2316045978,52
K1485097,N0716538249,78
K1485097,X6801435792,61
K1485097,Q7029564831,102
K1485097,Y9574802136,53
K1485097,F6175038249,109
K1485097,Q6132504789,116
K1485097,R5296038417,37
K1485097,T7423581690,62
K1485097,N2910376845,88
K1485097,H4709158263,87
K1485097,M7642190385,62
K1485097,R6012847935,65
K1485097,P4518709236,41
K1485097,A9061243578,95
K1485097,W7506832149,74
K1485097,W1793642580,93
K1485097,X5893176240,62
K1485097,U2341769508,98
K1485097,K3478502691,38
K1485097,C1726509834,31
K1485097,M8761594320,108
K1485097,W6097458132,56
K1485097,D9021387645,55
K1485097,N9124380765,43
K1485097,E2631789540,110
K1485097,T5729810643,33
R1058394,T5178936420,100
R1058394,C1294853076,46
R1058394,W4781503269,80
R1058394,Y9574802136,99
R1058394,F6175038249,32
R1058394,J6795210483,103
R1058394,A1863079425,118
R1058394,R5296038417,81
R1058394,B9630712845,90
R1058394,N2910376845,51
R1058394,M7642190385,94
R1058394,R6012847935,92
R1058394,P4518709236,83
R1058394,W7506832149,114
R1058394,A9061243578,103
R1058394,U2341769508,61
R1058394,Q1230745698,30
R1058394,M8761594320,45
R1058394,W6097458132,106
R1058394,C9542810763,32
R1058394,D9021387645,38
R1058394,F7961458230,85
R1058394,N9124380765,118
R1058394,E2631789540,61
Z5970126,T5178936420,81
Z5970126,E2631789540,81
Z5970126,P2316045978,41
Z5970126,Y9574802136,34
Z5970126,F6175038249,81
Z5970126,A1863079425,89
Z5970126,R5296038417,77
Z5970126,T7423581690,74
Z5970126,N2910376845,88
Z5970126,X7586049213,67
Z5970126,M7642190385,67
Z5970126,R6012847935,103
Z5970126,P4518709236,80
Z5970126,W7506832149,57
Z5970126,S3268901745,40
Z5970126,H8924670531,100
Z5970126,X5893176240,92
Z5970126,U2341769508,78
Z5970126,B4169752803,68
Z5970126,E6781940532,107
Z5970126,K3478502691,115
Z5970126,Q1230745698,115
Z5970126,L5461298307,35
Z5970126,W6097458132,33
Z5970126,C9542810763,85
Z5970126,D9021387645,82
Z5970126,F7961458230,118
Z5970126,M8761594320,65
M1278603,T5178936420,103
M1278603,L5461298307,116
M1278603,Q7029564831,87
M1278603,H8924670531,68
M1278603,Q6132504789,45
M1278603,A1863079425,52
M1278603,E2631789540,75
M1278603,J6795210483,68
M1278603,H4709158263,99
F7549186,T5178936420,44
F7549186,C1294853076,111
F7549186,F1807394256,45
F7549186,B9630712845,71
F7549186,C9542810763,98
F7549186,U2341769508,84
F7549186,F6175038249,117
F7549186,E6781940532,50
F7549186,N2910376845,90
F7549186,M8761594320,39
F7549186,T5729810643,76
F7549186,M7642190385,41
F7549186,K3478502691,48
I1864230,E2631789540,54
I1864230,F6175038249,105
I1864230,H4709158263,106
I1864230,C1726509834,56
I1746208,T5178936420,104
I1746208,W4781503269,66
I1746208,F1807394256,52
I1746208,P6128057943,36
I1746208,P2316045978,97
I1746208,N0716538249,94
I1746208,X6801435792,99
I1746208,F6175038249,36
I1746208,Q6132504789,83
I1746208,J6795210483,57
I1746208,R5296038417,102
I1746208,T7423581690,114
I1746208,N2910376845,51
I1746208,X7586049213,96
I1746208,M7642190385,113
I1746208,R6012847935,61
I1746208,P4518709236,81
I1746208,A9061243578,59
I1746208,W7506832149,61
I1746208,W1793642580,94
I1746208,S3268901745,48
I1746208,H8924670531,113
I1746208,X5893176240,57
I1746208,U2341769508,64
I1746208,B4169752803,52
I1746208,N1780635249,101
I1746208,E6781940532,57
I1746208,K3478502691,75
I1746208,C1726509834,113
I1746208,Q1230745698,69
I1746208,M8761594320,89
I1746208,C9542810763,72
I1746208,F7961458230,62
I1746208,N9124380765,93
I1746208,E2631789540,118
I1746208,T5729810643,40
N4913582,C1294853076,117
N4913582,W4781503269,88
N4913582,F1807394256,113
N4913582,P6128057943,76
N4913582,N0716538249,45
N4913582,X6801435792,108
N4913582,Q7029564831,76
N4913582,F6175038249,40
N4913582,Q6132504789,60
N4913582,A1863079425,36
N4913582,J6795210483,35
N4913582,R5296038417,78
N4913582,T7423581690,46
N4913582,B9630712845,74
N4913582,N2910376845,119
N4913582,X7586049213,83
N4913582,M7642190385,33
N4913582,H4709158263,63
N4913582,R6012847935,59
N4913582,P4518709236,119
N4913582,W7506832149,50
N4913582,A9061243578,113
N4913582,W1793642580,97
N4913582,H8924670531,48
N4913582,X5893176240,33
N4913582,U2341769508,76
N4913582,B4169752803,55
N4913582,N1780635249,99
N4913582,Q1230745698,90
N4913582,L5461298307,60
N4913582,W6097458132,95
N4913582,C9542810763,94
N4913582,D9021387645,40
N4913582,F7961458230,37
N4913582,N9124380765,87
N4913582,K3478502691,101
N4913582,T5729810643,72
L4185673,T5178936420,66
L4185673,C1294853076,59
L4185673,E2631789540,113
L4185673,W4781503269,78
L4185673,F1807394256,58
L4185673,P6128057943,117
L4185673,P2316045978,34
L4185673,N0716538249,113
L4185673,X6801435792,51
L4185673,Q7029564831,104
L4185673,Y9574802136,45
L4185673,F6175038249,48
L4185673,Q6132504789,64
L4185673,A1863079425,60
L4185673,J6795210483,58
L4185673,R5296038417,99
L4185673,T7423581690,85
L4185673,B9630712845,89
L4185673,N2910376845,45
L4185673,X7586049213,118
L4185673,H4709158263,33
L4185673,M7642190385,69
L4185673,R6012847935,119
L4185673,P4518709236,101
L4185673,A9061243578,70
L4185673,W7506832149,50
L4185673,W1793642580,106
L4185673,S3268901745,102
L4185673,H8924670531,112
L4185673,X5893176240,110
L4185673,U2341769508,81
L4185673,B4169752803,42
L4185673,N1780635249,40
