plant_code,product_code,produce_date,volume
6562,F2719460583,1,2
6562,F2719460583,2,2
6562,F2719460583,3,2
6562,O2893546017,1,2
6562,O2893546017,2,2
6562,O2893546017,3,2
6562,R0427513968,1,2
6562,R0427513968,2,2
6562,R0427513968,3,2
6562,U6385017294,1,2
6562,U6385017294,2,2
6562,U6385017294,3,2
6562,Q8574061932,1,2
6562,Q8574061932,2,2
6562,Q8574061932,3,2
6562,S2693108547,1,2
6562,S2693108547,2,2
6562,S2693108547,3,2
6562,V5239780416,1,2
6562,V5239780416,2,2
6562,V5239780416,3,2
6562,G2185960743,1,2
6562,G2185960743,2,2
6562,G2185960743,3,2
6562,R9160425873,1,2
6562,R9160425873,2,2
6562,R9160425873,3,2
6562,X7160258394,1,2
6562,X7160258394,2,2
6562,X7160258394,3,2
6562,X5361047289,1,2
6562,X5361047289,2,2
6562,X5361047289,3,2
6562,W3192748560,1,2
6562,W3192748560,2,2
6562,W3192748560,3,2
6562,U3468750291,1,2
6562,U3468750291,2,2
6562,U3468750291,3,2
6562,L6824015397,1,2
6562,L6824015397,2,2
6562,L6824015397,3,2
6562,E6035497281,1,2
6562,E6035497281,2,2
6562,E6035497281,3,2
6562,V4830297165,1,2
6562,V4830297165,2,2
6562,V4830297165,3,2
6562,C3802756194,1,2
6562,C3802756194,2,2
6562,C3802756194,3,2
6562,B1659823047,1,2
6562,B1659823047,2,2
6562,B1659823047,3,2
6562,O7054319862,1,2
6562,O7054319862,2,2
6562,O7054319862,3,2
6562,Q7193648250,1,2
6562,Q7193648250,2,2
6562,Q7193648250,3,2
6562,U7695234801,1,2
6562,U7695234801,2,2
6562,U7695234801,3,2
6562,U7206143589,1,2
6562,U7206143589,2,2
6562,U7206143589,3,2
6562,C8153024967,1,2
6562,C8153024967,2,2
6562,C8153024967,3,2
6562,C4958326170,1,2
6562,C4958326170,2,2
6562,C4958326170,3,2
6562,R9617523408,1,2
6562,R9617523408,2,2
6562,R9617523408,3,2
6562,T5896072413,1,2
6562,T5896072413,2,2
6562,T5896072413,3,2
6562,D2964831075,1,2
6562,D2964831075,2,2
6562,D2964831075,3,2
6562,A9613285407,1,2
6562,A9613285407,2,2
6562,A9613285407,3,2
6562,Q4259683107,1,2
6562,Q4259683107,2,2
6562,Q4259683107,3,2
6562,T4095278316,1,2
6562,T4095278316,2,2
6562,T4095278316,3,2
6562,Y9834712650,1,2
6562,Y9834712650,2,2
6562,Y9834712650,3,2
6562,N7845631029,1,2
6562,N7845631029,2,2
6562,N7845631029,3,2
6562,Q0758321964,1,2
6562,Q0758321964,2,2
6562,Q0758321964,3,2
6562,E6052398174,1,2
6562,E6052398174,2,2
6562,E6052398174,3,2
6562,H3056871249,1,2
6562,H3056871249,2,2
6562,H3056871249,3,2
6562,H1986324570,1,2
6562,H1986324570,2,2
6562,H1986324570,3,2
6562,O6143790285,1,2
6562,O6143790285,2,2
6562,O6143790285,3,2
6562,S9234176805,1,2
6562,S9234176805,2,2
6562,S9234176805,3,2
6562,E3675098214,1,2
6562,E3675098214,2,2
6562,E3675098214,3,2
6562,F0479618325,1,2
6562,F0479618325,2,2
6562,F0479618325,3,2
6562,H5381947026,1,2
6562,H5381947026,2,2
6562,H5381947026,3,2
6562,U5946231078,1,2
6562,U5946231078,2,2
6562,U5946231078,3,2
6562,P2479806531,1,2
6562,P2479806531,2,2
6562,P2479806531,3,2
6475,F2719460583,1,2
6475,F2719460583,2,2
6475,F2719460583,3,2
