product_code,standard_size
R5910786234,2.9
Q4831927506,2.6
H7082615394,2.2
K7892651304,2.0
S6307948125,2.0
E0896325714,1.3
K4826953071,1.0
J0748521639,2.8
C9863074152,2.3
S2796138540,1.6
R5492183706,1.2
Q6095483721,2.4
V6194583072,2.8
D2037951864,2.1
X5892107643,1.5
Y2416950783,2.2
O9087145236,2.5
L8390671245,1.7
Z3026947518,2.1
W8690735241,3.0
P7513062849,2.8
D7104592368,1.0
W4162859730,1.4
V8697235401,2.3
O1072896534,1.5
Z5462089713,1.2
I7382465109,1.6
A3016847295,1.3
V6138940725,1.3
L4605218937,2.0
S7916023485,1.7
V7892305641,2.2
C2813456079,2.2
N9541673208,2.4
I2481903765,1.2
E9352104786,1.0
G1206493758,2.5
E2369507184,1.0
E3578290164,2.0
T0395821674,1.9
W6437120958,2.9
K3745260981,2.2
F2417059836,2.3
E2740691538,1.3
J7463805912,2.9
X4376052981,1.1
L8153027694,2.5
L5860432179,2.9
S1048359267,1.0
S8634520197,2.6
U2851793046,2.9
G8320597164,1.6
V8529476031,1.2
U6093478251,2.5
T3869415702,1.6
