plant_code,product_code,produce_date,volume
7426,Y5192384670,1,2
7426,Y5192384670,2,2
7426,Y5192384670,3,2
7426,F3761059482,1,2
7426,F3761059482,2,2
7426,F3761059482,3,2
7426,K7430816529,1,2
7426,K7430816529,2,2
7426,K7430816529,3,2
7426,K6583170924,1,2
7426,K6583170924,2,2
7426,K6583170924,3,2
7426,L4829763501,1,2
7426,L4829763501,2,2
7426,L4829763501,3,2
7426,O8340162597,1,2
7426,O8340162597,2,2
7426,O8340162597,3,2
7426,V3540721689,1,2
7426,V3540721689,2,2
7426,V3540721689,3,2
7426,L9358761204,1,2
7426,L9358761204,2,2
7426,L9358761204,3,2
7426,M8569017234,1,2
7426,M8569017234,2,2
7426,M8569017234,3,2
7426,Y5720618394,1,2
7426,Y5720618394,2,2
7426,Y5720618394,3,2
7426,W4296015837,1,2
7426,W4296015837,2,2
7426,W4296015837,3,2
7426,S2738415690,1,2
7426,S2738415690,2,2
7426,S2738415690,3,2
7426,O4093618725,1,2
7426,O4093618725,2,2
7426,O4093618725,3,2
7426,K9871603452,1,2
7426,K9871603452,2,2
7426,K9871603452,3,2
7426,S0439671825,1,2
7426,S0439671825,2,2
7426,S0439671825,3,2
7426,K2096734815,1,2
7426,K2096734815,2,2
7426,K2096734815,3,2
7426,J7280564391,1,2
7426,J7280564391,2,2
7426,J7280564391,3,2
7426,N4216357890,1,2
7426,N4216357890,2,2
7426,N4216357890,3,2
7426,T6920413578,1,2
7426,T6920413578,2,2
7426,T6920413578,3,2
7426,F2140765389,1,2
7426,F2140765389,2,2
7426,F2140765389,3,2
7426,W2968473015,1,2
7426,W2968473015,2,2
7426,W2968473015,3,2
7426,Q5734106928,1,2
7426,Q5734106928,2,2
7426,Q5734106928,3,2
7426,G6240893715,1,2
7426,G6240893715,2,2
7426,G6240893715,3,2
7426,R3514267890,1,2
7426,R3514267890,2,2
7426,R3514267890,3,2
7426,L6153284097,1,2
7426,L6153284097,2,2
7426,L6153284097,3,2
7426,O7863219450,1,2
7426,O7863219450,2,2
7426,O7863219450,3,2
7426,A7568213409,1,2
7426,A7568213409,2,2
7426,A7568213409,3,2
7426,A8741352096,1,2
7426,A8741352096,2,2
7426,A8741352096,3,2
7426,I1820394756,1,2
7426,I1820394756,2,2
7426,I1820394756,3,2
7426,R1452803976,1,2
7426,R1452803976,2,2
7426,R1452803976,3,2
7426,L6432809175,1,2
7426,L6432809175,2,2
7426,L6432809175,3,2
7426,D0619357248,1,2
7426,D0619357248,2,2
7426,D0619357248,3,2
7426,W8726059431,1,2
7426,W8726059431,2,2
7426,W8726059431,3,2
7426,F9854670132,1,2
7426,F9854670132,2,2
7426,F9854670132,3,2
9660,Y5192384670,1,2
9660,Y5192384670,2,2
9660,Y5192384670,3,2
9660,F3761059482,1,2
9660,F3761059482,2,2
9660,F3761059482,3,2
9660,K7430816529,1,2
9660,K7430816529,2,2
9660,K7430816529,3,2
9660,K6583170924,1,2
9660,K6583170924,2,2
9660,K6583170924,3,2
9660,L4829763501,1,2
9660,L4829763501,2,2
9660,L4829763501,3,2
9660,O8340162597,1,2
9660,O8340162597,2,2
9660,O8340162597,3,2
9660,V3540721689,1,2
9660,V3540721689,2,2
9660,V3540721689,3,2
9660,L9358761204,1,2
9660,L9358761204,2,2
9660,L9358761204,3,2
9660,M8569017234,1,2
9660,M8569017234,2,2
9660,M8569017234,3,2
9660,Y5720618394,1,2
9660,Y5720618394,2,2
9660,Y5720618394,3,2
9660,W4296015837,1,2
9660,W4296015837,2,2
9660,W4296015837,3,2
9660,S2738415690,1,2
9660,S2738415690,2,2
9660,S2738415690,3,2
9660,O4093618725,1,2
9660,O4093618725,2,2
9660,O4093618725,3,2
9660,K9871603452,1,2
9660,K9871603452,2,2
9660,K9871603452,3,2
9660,S0439671825,1,2
9660,S0439671825,2,2
9660,S0439671825,3,2
9660,K2096734815,1,2
9660,K2096734815,2,2
9660,K2096734815,3,2
9660,J7280564391,1,2
9660,J7280564391,2,2
9660,J7280564391,3,2
9660,N4216357890,1,2
9660,N4216357890,2,2
9660,N4216357890,3,2
9660,T6920413578,1,2
9660,T6920413578,2,2
9660,T6920413578,3,2
9660,F2140765389,1,2
9660,F2140765389,2,2
9660,F2140765389,3,2
9660,W2968473015,1,2
9660,W2968473015,2,2
9660,W2968473015,3,2
9660,Q5734106928,1,2
9660,Q5734106928,2,2
9660,Q5734106928,3,2
9660,G6240893715,1,2
9660,G6240893715,2,2
9660,G6240893715,3,2
9660,R3514267890,1,2
9660,R3514267890,2,2
9660,R3514267890,3,2
9660,L6153284097,1,2
9660,L6153284097,2,2
9660,L6153284097,3,2
9660,O7863219450,1,2
9660,O7863219450,2,2
9660,O7863219450,3,2
9660,A7568213409,1,2
9660,A7568213409,2,2
9660,A7568213409,3,2
9660,A8741352096,1,2
9660,A8741352096,2,2
9660,A8741352096,3,2
9660,I1820394756,1,2
9660,I1820394756,2,2
9660,I1820394756,3,2
9660,R1452803976,1,2
9660,R1452803976,2,2
9660,R1452803976,3,2
9660,L6432809175,1,2
9660,L6432809175,2,2
9660,L6432809175,3,2
9660,D0619357248,1,2
9660,D0619357248,2,2
9660,D0619357248,3,2
9660,W8726059431,1,2
9660,W8726059431,2,2
9660,W8726059431,3,2
9660,F9854670132,1,2
9660,F9854670132,2,2
9660,F9854670132,3,2
