client_code,product_code,volume
P4093518,G4730158962,57
P4093518,G9475263801,116
P4093518,E8401573926,113
P4093518,M0983714625,114
P4093518,I5239417806,96
P4093518,P9782065413,110
T2748610,L2790614538,112
T2748610,B6102748935,101
T1697820,Y7094826153,98
T1697820,U3496817520,101
T1697820,J1980765432,74
T1697820,O7394028561,107
T1697820,P9782065413,57
D3062849,Y7094826153,81
D3062849,O0574812936,114
D3062849,E3740985621,107
D3062849,Y4120835967,96
D3062849,Q4527631809,104
D3062849,L2790614538,119
D3062849,W8497125036,44
D3062849,G1835467902,36
D3062849,O7394028561,103
D3062849,H2913607485,82
D3062849,L7942830615,97
D3062849,M8934176052,57
D3062849,K7612895403,42
D3062849,D3576142809,108
D3062849,U2693104857,109
D3062849,L2697085143,68
D3062849,J7034961258,76
D3062849,I5239417806,74
D3062849,H6937415208,73
D3062849,L7834025196,54
D3062849,I1032547968,76
D3062849,U3496817520,72
D3062849,G9475263801,88
D3062849,O0746239158,60
D3062849,S9102364875,105
D3062849,B6102748935,45
D3062849,W7325469180,59
D3062849,G4730158962,54
D3062849,J1980765432,102
D3062849,T1037654298,47
M0859623,Y7094826153,41
M0859623,T6374521890,65
M0859623,J5209847136,104
M0859623,W8497125036,72
M0859623,G1835467902,105
M0859623,O7394028561,66
M0859623,L7942830615,45
M0859623,D3576142809,37
M0859623,E8401573926,115
M0859623,U2693104857,68
M0859623,J7034961258,106
M0859623,I5239417806,97
M0859623,L7834025196,116
M0859623,H6937415208,74
M0859623,U3496817520,44
M0859623,G9475263801,60
M0859623,O0746239158,82
M0859623,B6102748935,81
M0859623,W7325469180,63
M0859623,M0983714625,39
M0859623,T1037654298,52
K7936412,I5239417806,36
K7936412,E3740985621,74
K7936412,O0746239158,44
K7936412,L2697085143,75
N0796832,O0574812936,75
N0796832,E3740985621,116
N0796832,J5209847136,59
N0796832,Q4527631809,113
N0796832,W8497125036,77
N0796832,O7394028561,81
N0796832,H2913607485,81
N0796832,L7942830615,66
N0796832,M8934176052,58
N0796832,D3576142809,117
N0796832,L2697085143,68
N0796832,J7034961258,50
N0796832,I5239417806,97
N0796832,P9782065413,68
N0796832,H6937415208,31
N0796832,I1032547968,57
N0796832,S9102364875,37
N0796832,O0746239158,65
N0796832,B6102748935,101
N0796832,W7325469180,43
N0796832,G4730158962,112
N0796832,M0983714625,102
N0796832,J1980765432,97
N0796832,T1037654298,88
X0935418,Y7094826153,92
X0935418,O0574812936,89
X0935418,E3740985621,49
X0935418,T6374521890,63
X0935418,Y4120835967,110
X0935418,J5209847136,84
X0935418,Q4527631809,76
X0935418,L2790614538,83
X0935418,W8497125036,107
X0935418,O7394028561,32
X0935418,H2913607485,46
X0935418,L7942830615,88
X0935418,M8934176052,87
X0935418,K7612895403,92
X0935418,E8401573926,53
X0935418,U2693104857,78
X0935418,L2697085143,55
X0935418,I5239417806,87
X0935418,P9782065413,119
X0935418,H6937415208,115
X0935418,L7834025196,60
X0935418,I1032547968,32
X0935418,U3496817520,51
X0935418,G9475263801,31
X0935418,O0746239158,70
X0935418,S9102364875,42
X0935418,B6102748935,32
X0935418,W7325469180,81
X0935418,G4730158962,85
X0935418,M0983714625,112
X0935418,J1980765432,58
X0935418,T1037654298,118
X6920751,Y7094826153,45
X6920751,O0574812936,50
X6920751,E3740985621,88
X6920751,T6374521890,77
X6920751,Y4120835967,116
X6920751,J5209847136,80
X6920751,Q4527631809,76
X6920751,L2790614538,101
X6920751,W8497125036,49
X6920751,G1835467902,78
X6920751,H2913607485,43
X6920751,L7942830615,40
X6920751,M8934176052,91
X6920751,K7612895403,63
X6920751,D3576142809,119
X6920751,E8401573926,85
X6920751,U2693104857,93
X6920751,L2697085143,112
X6920751,I5239417806,93
X6920751,P9782065413,120
X6920751,L7834025196,41
X6920751,H6937415208,37
X6920751,I1032547968,40
X6920751,U3496817520,89
X6920751,G9475263801,54
X6920751,S9102364875,98
X6920751,O0746239158,65
X6920751,B6102748935,74
X6920751,W7325469180,113
X6920751,G4730158962,50
X6920751,M0983714625,35
F8320976,Y7094826153,111
F8320976,I1032547968,81
F8320976,K7612895403,81
F8320976,O0574812936,71
F8320976,T6374521890,84
F8320976,G4730158962,58
F8320976,Y4120835967,37
F8320976,E8401573926,119
F8320976,B6102748935,69
F8320976,M0983714625,71
F8320976,W8497125036,90
F8320976,J1980765432,67
F8320976,I5239417806,47
F8320976,L7834025196,115
H4715089,Y7094826153,93
H4715089,L7834025196,40
N5601983,Y7094826153,37
N5601983,E3740985621,99
N5601983,T6374521890,109
N5601983,Y4120835967,111
N5601983,J5209847136,34
N5601983,Q4527631809,99
N5601983,L2790614538,75
N5601983,W8497125036,53
N5601983,G1835467902,46
N5601983,O7394028561,62
N5601983,H2913607485,79
N5601983,L7942830615,35
N5601983,M8934176052,35
N5601983,K7612895403,118
N5601983,E8401573926,63
N5601983,U2693104857,91
N5601983,L2697085143,107
N5601983,J7034961258,104
N5601983,I5239417806,99
N5601983,L7834025196,109
N5601983,I1032547968,52
N5601983,U3496817520,104
N5601983,O0746239158,72
N5601983,S9102364875,68
N5601983,B6102748935,82
N5601983,W7325469180,89
N5601983,G4730158962,114
N5601983,M0983714625,116
N5601983,J1980765432,60
N5601983,T1037654298,111
N9374821,I1032547968,66
N9374821,O0574812936,109
N9374821,T6374521890,46
N9374821,G4730158962,97
N9374821,Y4120835967,45
N9374821,S9102364875,80
N9374821,O0746239158,31
N9374821,Q4527631809,43
N9374821,L2790614538,75
N9374821,M0983714625,71
N9374821,J1980765432,78
N9374821,L2697085143,92
N9374821,G1835467902,65
N9374821,T1037654298,87
N9374821,H2913607485,68
N9374821,P9782065413,35
N9374821,L7942830615,97
N9374821,M8934176052,54
A9320416,T6374521890,110
A9320416,G9475263801,92
A9320416,J1980765432,41
A9320416,O7394028561,68
A9320416,L7942830615,35
N0749256,Y7094826153,96
N0749256,T6374521890,64
