plant_code,product_code,volume
6484,Q6049528173,67
6484,N2385649701,82
6484,X6815034927,76
6484,V2168093457,47
6484,W5917640238,87
6484,W4923871065,39
6484,N2584031976,43
6484,X4362851970,61
6484,G2149768530,103
6484,G4290738651,167
6484,X9048263715,110
6484,R4067395128,64
6484,C4305796128,145
6484,A0359714826,82
6484,F2641758039,28
6484,U9054632871,73
6484,H6193428570,102
6484,E3608521794,42
6484,M5871032946,118
6484,C4821596703,62
2252,Q6049528173,90
2252,N2385649701,45
2252,X6815034927,46
2252,V2168093457,56
2252,W5917640238,74
2252,W4923871065,60
2252,N2584031976,112
2252,X4362851970,75
2252,G2149768530,124
2252,G4290738651,109
2252,X9048263715,74
2252,R4067395128,83
2252,C4305796128,131
2252,A0359714826,82
2252,F2641758039,64
2252,U9054632871,65
2252,H6193428570,47
2252,E3608521794,49
2252,M5871032946,145
2252,C4821596703,73
