product_code,standard_size
D4971286530,1.6
E5702436189,2.8
Q9731265480,1.9
D8607954132,2.3
E7259146803,1.7
A4132765809,2.3
O8407265931,2.3
I8570629413,2.7
Z2594016378,2.5
Z1409267385,2.6
X7402815396,1.2
Q9584631702,2.6
D6054837912,2.4
R1539680247,2.0
L7243591068,2.9
I9724581306,1.2
K9217543086,2.1
T5713946802,1.5
N0182634795,2.1
L3294506781,1.9
E0691258437,2.4
M2643758019,1.2
A4157260389,1.9
Z2981036475,2.6
K6253481790,2.0
P1534728609,2.1
B2758014639,2.4
L0516847923,2.0
Y5180629743,1.4
T6921740835,1.6
D7148259063,2.0
V2851934607,2.3
