dataset_name,plant_nums,dealer_nums,sku_nums,vehicle_type_nums,horizons
dataset_1,2,26,14,2,3
dataset_2,2,27,34,2,3
dataset_3,2,17,20,3,3
dataset_4,2,9,35,3,3
dataset_5,2,3,32,3,3
dataset_6,3,25,17,2,3
dataset_7,3,7,36,3,3
dataset_8,2,29,38,3,3
dataset_9,3,29,25,2,3
dataset_10,2,21,18,2,3
dataset_11,3,27,29,3,3
dataset_12,2,13,34,3,3
dataset_13,2,9,30,2,3
dataset_14,3,10,31,3,3
dataset_15,3,11,15,2,3
dataset_16,2,30,18,2,3
dataset_17,2,11,27,3,3
dataset_18,2,18,27,2,3
dataset_19,2,20,18,2,3
dataset_20,3,29,29,2,3
dataset_21,2,13,11,2,3
dataset_22,3,11,39,3,3
dataset_23,2,13,29,3,3
dataset_24,3,13,17,3,3
dataset_25,2,25,14,3,3
dataset_26,3,30,35,2,3
dataset_27,3,24,40,2,3
dataset_28,3,15,39,2,3
dataset_29,3,5,31,3,3
dataset_30,2,23,26,2,3
