Elapsed: 0.6595 seconds

         632790 function calls (630413 primitive calls) in 0.653 seconds

   Ordered by: cumulative time
   List reduced from 924 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.659    0.659 D:\Gurobi_code\Problem2\scripts\profile_initial_solution.py:41(do_run)
        1    0.000    0.000    0.599    0.599 D:\Gurobi_code\Problem2\ALNSCode\alnsopt.py:666(initial_solution)
        1    0.001    0.001    0.599    0.599 D:\Gurobi_code\Problem2\ALNSCode\initial_solution_utils.py:87(improved_initial_solution)
        1    0.108    0.108    0.510    0.510 D:\Gurobi_code\Problem2\ALNSCode\initial_solution_utils.py:390(_parallel_allocation)
        5    0.004    0.001    0.254    0.051 D:\Software\Miniconda\Lib\threading.py:641(wait)
        1    0.000    0.000    0.245    0.245 D:\Software\Miniconda\Lib\concurrent\futures\_base.py:646(__exit__)
        1    0.000    0.000    0.245    0.245 D:\Software\Miniconda\Lib\concurrent\futures\thread.py:220(shutdown)
        4    0.000    0.000    0.245    0.061 D:\Software\Miniconda\Lib\threading.py:1058(join)
        4    0.001    0.000    0.245    0.061 {method 'join' of '_thread._ThreadHandle' objects}
      4/1    0.000    0.000    0.244    0.244 D:\Software\Miniconda\Lib\threading.py:1000(_bootstrap)
      4/1    0.001    0.000    0.244    0.244 D:\Software\Miniconda\Lib\threading.py:1027(_bootstrap_inner)
      4/1    0.004    0.001    0.244    0.244 D:\Software\Miniconda\Lib\threading.py:983(run)
      4/1    0.006    0.002    0.244    0.244 D:\Software\Miniconda\Lib\concurrent\futures\thread.py:70(_worker)
      4/1    0.000    0.000    0.234    0.234 {method 'get' of '_queue.SimpleQueue' objects}
        9    0.000    0.000    0.229    0.025 D:\Software\Miniconda\Lib\threading.py:327(wait)
        4    0.008    0.002    0.209    0.052 D:\Software\Miniconda\Lib\concurrent\futures\thread.py:165(submit)
        5    0.000    0.000    0.192    0.038 D:\Software\Miniconda\Lib\concurrent\futures\_base.py:199(as_completed)
        4    0.004    0.001    0.116    0.029 D:\Software\Miniconda\Lib\concurrent\futures\thread.py:184(_adjust_thread_count)
        1    0.075    0.075    0.104    0.104 D:\Gurobi_code\Problem2\ALNSCode\initial_solution_utils.py:516(_handle_unmet_demands)
 1254/679    0.072    0.000    0.082    0.000 D:\Gurobi_code\Problem2\ALNSCode\alnsopt.py:500(veh_loading)
      4/1    0.002    0.000    0.068    0.068 D:\Software\Miniconda\Lib\concurrent\futures\thread.py:54(run)
